technology,parameter,year,value,unit,valyear,source,comment
solar,capital_cost,2020,560000,EUR/MW,2020,"technology_data_for_el_and_dh.xslx 22 Utility-scale PV",""
solar,capital_cost,2030,380000,EUR/MW,2020,"technology_data_for_el_and_dh.xslx 22 Utility-scale PV",""
solar,capital_cost,2040,320000,EUR/MW,2020,"technology_data_for_el_and_dh.xslx 22 Utility-scale PV",""
solar,capital_cost,2050,290000,EUR/MW,2020,"technology_data_for_el_and_dh.xslx 22 Utility-scale PV",""
solar,FOM,2020,0.020179,factor,"","technology_data_for_el_and_dh.xslx 22 Utility-scale PV: total fixed O&M div. by nom. investment",""
solar,FOM,2030,0.025000,factor,"","technology_data_for_el_and_dh.xslx 22 Utility-scale PV: total fixed O&M div. by nom. investment",""
solar,FOM,2040,0.025313,factor,"","technology_data_for_el_and_dh.xslx 22 Utility-scale PV: total fixed O&M div. by nom. investment",""
solar,FOM,2050,0.025517,factor,"","technology_data_for_el_and_dh.xslx 22 Utility-scale PV: total fixed O&M div. by nom. investment",""
solar,VOM,"",0,EUR/MWh,2020,"technology_data_for_el_and_dh.xslx 22 Utility-scale PV",""
solar,lifetime,2020,25,years,"","technology_data_for_el_and_dh.xslx 22 Utility-scale PV",""
solar,lifetime,2030,40,years,"","technology_data_for_el_and_dh.xslx 22 Utility-scale PV",""
solar,lifetime,2040,40,years,"","technology_data_for_el_and_dh.xslx 22 Utility-scale PV",""
solar,lifetime,2050,40,years,"","technology_data_for_el_and_dh.xslx 22 Utility-scale PV",""
solar,unit_size,2020,0.7273,MWe/ha,"","technology_data_for_el_and_dh.xslx 22 Utility-scale PV",""
solar,unit_size,2030,0.8157,MWe/ha,"","technology_data_for_el_and_dh.xslx 22 Utility-scale PV",""
solar,unit_size,2040,0.8688,MWe/ha,"","technology_data_for_el_and_dh.xslx 22 Utility-scale PV",""
solar,unit_size,2050,0.9225,MWe/ha,"","technology_data_for_el_and_dh.xslx 22 Utility-scale PV",""
onwind,capital_cost,2020,1105500,EUR/MW,2020,"technology_data_for_el_and_dh.xslx - 20 Onshore turbines",""
onwind,capital_cost,2025,1184600,EUR/MW,2020,"technology_data_for_el_and_dh.xslx - 20 Onshore turbines",""
onwind,capital_cost,2030,1146600,EUR/MW,2020,"technology_data_for_el_and_dh.xslx - 20 Onshore turbines",""
onwind,capital_cost,2040,1109700,EUR/MW,2020,"technology_data_for_el_and_dh.xslx - 20 Onshore turbines",""
onwind,capital_cost,2050,1090300,EUR/MW,2020,"technology_data_for_el_and_dh.xslx - 20 Onshore turbines",""
onwind,FOM,2020,0.014832,factor,"","technology_data_for_el_and_dh.xslx - 20 Onshore turbines",""
onwind,FOM,2025,0.014677,factor,"","technology_data_for_el_and_dh.xslx - 20 Onshore turbines",""
onwind,FOM,2030,0.014532,factor,"","technology_data_for_el_and_dh.xslx - 20 Onshore turbines",""
onwind,FOM,2040,0.014387,factor,"","technology_data_for_el_and_dh.xslx - 20 Onshore turbines",""
onwind,FOM,2050,0.014310,factor,"","technology_data_for_el_and_dh.xslx - 20 Onshore turbines",""
onwind,VOM,2020,2.11,EUR/MWh,2020,"technology_data_for_el_and_dh.xslx - 20 Onshore turbines",""
onwind,VOM,2025,2.06,EUR/MWh,2020,"technology_data_for_el_and_dh.xslx - 20 Onshore turbines",""
onwind,VOM,2030,1.98,EUR/MWh,2020,"technology_data_for_el_and_dh.xslx - 20 Onshore turbines",""
onwind,VOM,2040,1.89,EUR/MWh,2020,"technology_data_for_el_and_dh.xslx - 20 Onshore turbines",""
onwind,VOM,2060,1.85,EUR/MWh,2020,"technology_data_for_el_and_dh.xslx - 20 Onshore turbines",""
onwind,lifetime,2020,27,years,"","technology_data_for_el_and_dh.xslx - 20 Onshore turbines",""
onwind,lifetime,2025,27,years,"","technology_data_for_el_and_dh.xslx - 20 Onshore turbines",""
onwind,lifetime,2030,30,years,"","technology_data_for_el_and_dh.xslx - 20 Onshore turbines",""
onwind,lifetime,2040,30,years,"","technology_data_for_el_and_dh.xslx - 20 Onshore turbines",""
onwind,lifetime,2050,30,years,"","technology_data_for_el_and_dh.xslx - 20 Onshore turbines",""
onwind,unit_size,2020,4.2,MWe/turbine,"","technology_data_for_el_and_dh.xslx - 20 Onshore turbines",""
onwind,unit_size,2025,4.5,MWe/turbine,"","technology_data_for_el_and_dh.xslx - 20 Onshore turbines",""
onwind,unit_size,2030,5,MWe/turbine,"","technology_data_for_el_and_dh.xslx - 20 Onshore turbines",""
onwind,unit_size,2040,5.5,MWe/turbine,"","technology_data_for_el_and_dh.xslx - 20 Onshore turbines",""
onwind,unit_size,2050,6,MWe/turbine,"","technology_data_for_el_and_dh.xslx - 20 Onshore turbines",""
offwind,capital_cost,2020,2120000,EUR/MW,2020,"technology_data_for_el_and_dh.xslx - 21 Offshore turbines",""
offwind,capital_cost,2025,1880000,EUR/MW,2020,"technology_data_for_el_and_dh.xslx - 21 Offshore turbines",""
offwind,capital_cost,2030,1800000,EUR/MW,2020,"technology_data_for_el_and_dh.xslx - 21 Offshore turbines",""
offwind,capital_cost,2040,1680000,EUR/MW,2020,"technology_data_for_el_and_dh.xslx - 21 Offshore turbines",""
offwind,capital_cost,2050,1640000,EUR/MW,2020,"technology_data_for_el_and_dh.xslx - 21 Offshore turbines",""
offwind,FOM,2020,0.023585,factor,"","technology_data_for_el_and_dh.xslx - 21 Offshore turbines",""
offwind,FOM,2025,0.022340,factor,"","technology_data_for_el_and_dh.xslx - 21 Offshore turbines",""
offwind,FOM,2030,0.021667,factor,"","technology_data_for_el_and_dh.xslx - 21 Offshore turbines",""
