snapshot,onwind
2023-01-01,12958.010249564619
2023-01-08,204402.62097268165
2023-01-15,205184.91548200417
2023-01-22,134151.40226677433
2023-01-29,191944.9948001704
2023-02-05,162149.02682345724
2023-02-12,183098.25877395086
2023-02-19,168120.77485573018
2023-02-26,173599.01550732553
2023-03-05,138661.58408430227
2023-03-12,149575.4994871606
2023-03-19,155872.30795400284
2023-03-26,164715.13001345925
2023-04-02,147657.9281192606
2023-04-09,91648.58251633875
2023-04-16,90912.6396877232
2023-04-23,53238.20784914645
2023-04-30,89732.7371302745
2023-05-07,54439.82092767183
2023-05-14,35284.908863987774
2023-05-21,57700.75948738954
2023-05-28,41055.29052550434
2023-06-04,44094.483656484226
2023-06-11,28834.836273602392
2023-06-18,45513.54138655618
2023-06-25,32000.556825437736
2023-07-02,50494.82697459476
2023-07-09,54003.32489604898
2023-07-16,41718.45812562784
2023-07-23,24620.35079422223
2023-07-30,34259.1002961206
2023-08-06,66223.27423942399
2023-08-13,101694.0940819676
2023-08-20,74153.57869137792
2023-08-27,90435.20402110956
2023-09-03,67249.13410005189
2023-09-10,86256.27228306791
2023-09-17,101856.72569486866
2023-09-24,112085.13524301125
2023-10-01,118127.2029667074
2023-10-08,134988.80690631657
2023-10-15,124433.96620559097
2023-10-22,143257.92514742768
2023-10-29,152652.74809117493
2023-11-05,211451.10550223742
2023-11-12,112835.08079211332
2023-11-19,120740.40786859192
2023-11-26,179231.22879162608
2023-12-03,228823.4961928793
2023-12-10,155279.04250734136
2023-12-17,219298.8541480103
2023-12-24,213345.30692143406
2023-12-31,180787.11890729447
