snapshot,offwind
2023-01-01,-1.0400699433366343e-13
2023-01-08,0.0
2023-01-15,0.0
2023-01-22,8.526512829121202e-14
2023-01-29,-8.185452315956354e-12
2023-02-05,-2.7631328354174005e-12
2023-02-12,0.0
2023-02-19,0.0
2023-02-26,-1.0658141036401503e-14
2023-03-05,0.0
2023-03-12,-2.046352845536364e-12
2023-03-19,0.0
2023-03-26,-3.75162471100243e-12
2023-04-02,0.0
2023-04-09,0.0
2023-04-16,0.0
2023-04-23,0.0
2023-04-30,0.0
2023-05-07,0.0
2023-05-14,0.0
2023-05-21,0.0
2023-05-28,0.0
2023-06-04,0.0
2023-06-11,0.0
2023-06-18,0.0
2023-06-25,0.0
2023-07-02,0.0
2023-07-09,0.0
2023-07-16,0.0
2023-07-23,0.0
2023-07-30,0.0
2023-08-06,0.0
2023-08-13,0.0
2023-08-20,0.0
2023-08-27,0.0
2023-09-03,0.0
2023-09-10,0.0
2023-09-17,0.0
2023-09-24,0.0
2023-10-01,0.0
2023-10-08,0.0
2023-10-15,0.0
2023-10-22,1.4241812052030627e-13
2023-10-29,0.0
2023-11-05,0.0
2023-11-12,0.0
2023-11-19,-6.821210263296962e-13
2023-11-26,0.0
2023-12-03,2.7284841053187847e-12
2023-12-10,0.0
2023-12-17,0.0
2023-12-24,0.0
2023-12-31,6.821210263296962e-13
