snapshot,solar
2023-01-01,2058.394119591999
2023-01-02,167.26023407142512
2023-01-03,2445.0583060946783
2023-01-04,401.16556856800935
2023-01-05,315.5615917464378
2023-01-06,295.22137357780986
2023-01-07,178.24212111714408
2023-01-08,121.02970519358469
2023-01-09,149.19527057365553
2023-01-10,281.69367178161474
2023-01-11,107.43954451106762
2023-01-12,238.6178668635429
2023-01-13,399.0901043129703
2023-01-14,194.80635281650598
2023-01-15,1154.1091289440733
2023-01-16,2394.5038060530946
2023-01-17,383.8079765661397
2023-01-18,1929.2591995705516
2023-01-19,1977.947905133149
2023-01-20,2526.1728251493423
2023-01-21,3053.664313569135
2023-01-22,2714.917659614454
2023-01-23,1631.3951904972632
2023-01-24,807.5364399033629
2023-01-25,595.2240101396702
2023-01-26,3460.925232826014
2023-01-27,3905.7255139208087
2023-01-28,1941.0418085222077
2023-01-29,3078.816786675246
2023-01-30,3249.489238322943
2023-01-31,5482.510893764549
2023-02-01,1592.3200526624319
2023-02-02,4480.754217138676
2023-02-03,3134.8048037373032
2023-02-04,5205.390570337215
2023-02-05,727.0734017635223
2023-02-06,6118.83678009285
2023-02-07,1182.9882371823162
2023-02-08,1100.424761696217
2023-02-09,1420.2591312016782
2023-02-10,6166.602457709753
2023-02-11,3596.244235923443
2023-02-12,4768.97047824715
2023-02-13,6285.043283117507
2023-02-14,6407.489229571491
2023-02-15,1490.9496713620438
2023-02-16,1574.5431868794553
2023-02-17,1471.5953689708876
2023-02-18,4037.463456743586
2023-02-19,7471.591794955949
2023-02-20,1545.5097195060453
2023-02-21,2068.1265097162254
2023-02-22,3777.4134634964166
2023-02-23,848.6566227383038
2023-02-24,2291.385319215534
2023-02-25,3471.984558637377
2023-02-26,4988.627236323471
2023-02-27,6396.289992664551
2023-02-28,7856.703668650851
2023-03-01,7983.500383343004
2023-03-02,7113.887215560366
2023-03-03,5053.086257731274
2023-03-04,5310.476851686125
2023-03-05,6899.484125620788
2023-03-06,6000.2450426917
2023-03-07,3838.3325908560987
2023-03-08,1679.2253785275964
2023-03-09,4499.154257796409
2023-03-10,6424.42251169283
2023-03-11,4576.766839111835
2023-03-12,7771.784742675467
2023-03-13,2132.7623875522713
2023-03-14,1981.9259743282723
2023-03-15,10149.511811975784
2023-03-16,10374.76004863676
2023-03-17,4122.466003157181
2023-03-18,999.5396660085241
2023-03-19,3117.1318687716766
2023-03-20,1198.0644018510475
2023-03-21,8183.686272096198
2023-03-22,1834.7089272950818
2023-03-23,9765.205607336666
2023-03-24,2643.9550606657463
2023-03-25,2173.166794649709
2023-03-26,3165.1318345821956
2023-03-27,3853.0613655360294
2023-03-28,7157.85547790572
