snapshot,solar
2023-01-01,1856.1655080550545
2023-01-08,2759.4397016611642
2023-01-15,933.0517465869399
2023-01-22,9177.622428811668
2023-01-29,11961.910066055278
2023-02-05,16650.06704888962
2023-02-12,18668.698002259815
2023-02-19,17218.026353457608
2023-02-26,15512.19772686329
2023-03-05,28297.38989346475
2023-03-12,25662.02981702767
2023-03-19,24425.86915855596
2023-03-26,19167.40361125811
2023-04-02,42612.906202376376
2023-04-09,43446.30753474328
2023-04-16,48068.238976695044
2023-04-23,58059.148019819215
2023-04-30,37766.50197773853
2023-05-07,54696.549326346656
2023-05-14,66310.5047503087
2023-05-21,49342.69548481432
2023-05-28,56574.04969448169
2023-06-04,58519.69421732412
2023-06-11,64497.68587274073
2023-06-18,58313.69719691109
2023-06-25,53028.548171547
2023-07-02,47879.32463121326
2023-07-09,46836.1581131019
2023-07-16,48452.262725390734
2023-07-23,48750.55036747061
2023-07-30,44548.663927577785
2023-08-06,30070.927219082125
2023-08-13,25550.42750134807
2023-08-20,39812.59387559705
2023-08-27,31123.85586830129
2023-09-03,24533.49384102454
2023-09-10,40013.14217378545
2023-09-17,31745.2076412796
2023-09-24,27456.993084216403
2023-10-01,23419.459021214137
2023-10-08,25639.08754687981
2023-10-15,31118.05543231329
2023-10-22,21371.301106215084
2023-10-29,8313.929085565724
2023-11-05,3656.479963494734
2023-11-12,2920.383275963631
2023-11-19,6088.597958582942
2023-11-26,5888.079168771323
2023-12-03,5513.761217649563
2023-12-10,4372.386012055601
2023-12-17,1550.5797260594545
2023-12-24,5603.219370243888
2023-12-31,3946.8784659578746
