snapshot,battery
2023-01-01,-1465.7320131661488
2023-01-08,1408.006931878003
2023-01-15,-12.638058576213552
2023-01-22,-5801.299835115957
2023-01-29,-854.6580261260233
2023-02-05,6412.078870478854
2023-02-12,-7953.666099791604
2023-02-19,-76.34705098231802
2023-02-26,-104.18613129235882
2023-03-05,-98.65082617199118
2023-03-12,-40.130932557781534
2023-03-19,4299.787345307391
2023-03-26,-4502.872524591736
2023-04-02,-382.83743501552794
2023-04-09,-1040.9313200053214
2023-04-16,-325.36646077620117
2023-04-23,-85.55267508932798
2023-04-30,-1103.8846808277938
2023-05-07,-338.7002986586117
2023-05-14,-315.9770870338825
2023-05-21,-197.97752771338287
2023-05-28,-127.20788707634438
2023-06-04,-182.21404234554052
2023-06-11,-123.25675824898917
2023-06-18,50.02176789063401
2023-06-25,-460.9725872187016
2023-07-02,-187.71699019470657
2023-07-09,-228.58270647365134
2023-07-16,-225.04684491761532
2023-07-23,-218.9575711974362
2023-07-30,-173.1616197945741
2023-08-06,771.7728258976551
2023-08-13,-603.0398489563042
2023-08-20,495.4298902010855
2023-08-27,-243.62987550706384
2023-09-03,383.64375936857937
2023-09-10,-50.51403022322074
2023-09-17,-33.5421223698811
2023-09-24,-166.7908386293816
2023-10-01,-79.66087357261495
2023-10-08,349.7453641521704
2023-10-15,-197.23957342023368
2023-10-22,8066.429267148386
2023-10-29,-970.6274206727076
2023-11-05,877.7835148207237
2023-11-12,-31.249385268087508
2023-11-19,-47.86696579475665
2023-11-26,-68.26134388233277
2023-12-03,-53.77869022443019
2023-12-10,-53.66989845463263
2023-12-17,-19.60495572807349
2023-12-24,-5757.340417997436
2023-12-31,5678.750095899229
