snapshot,onwind
2023-01-01,12662.97994425328
2023-01-08,208519.59784999304
2023-01-15,241240.68323453146
2023-01-22,171200.19546916606
2023-01-29,250678.80365401474
2023-02-05,194445.61441316045
2023-02-12,233238.2143136735
2023-02-19,213189.6351173996
2023-02-26,197235.2243539358
2023-03-05,194582.38574648398
2023-03-12,165374.32493941454
2023-03-19,211690.66714974772
2023-03-26,189405.35942967585
2023-04-02,228401.85461023354
2023-04-09,94818.12826962897
2023-04-16,125560.44799309892
2023-04-23,95179.78184488916
2023-04-30,109333.58884203102
2023-05-07,90987.03096632956
2023-05-14,82321.0522021953
2023-05-21,71788.81216276088
2023-05-28,67029.5152841589
2023-06-04,77327.17512572625
2023-06-11,73350.17372170332
2023-06-18,63919.04415357497
2023-06-25,62558.36905275032
2023-07-02,71771.8386720116
2023-07-09,79576.73226808119
2023-07-16,82397.88454714563
2023-07-23,69516.96378570866
2023-07-30,69084.63331816542
2023-08-06,77119.35053035473
2023-08-13,143984.42475566876
2023-08-20,131903.6424864653
2023-08-27,152678.12937722448
2023-09-03,74730.06044298469
2023-09-10,133095.5515222105
2023-09-17,98576.6571870369
2023-09-24,125297.54686916199
2023-10-01,128659.70705499446
2023-10-08,181138.8573382303
2023-10-15,140213.31094355974
2023-10-22,234891.00668394438
2023-10-29,213911.46765980482
2023-11-05,254128.40984412373
2023-11-12,104256.43936338392
2023-11-19,145083.92597307087
2023-11-26,241384.72018000338
2023-12-03,217812.96685781723
2023-12-10,159634.94163390124
2023-12-17,186815.72562492642
2023-12-24,281511.6421375605
2023-12-31,245163.6680342781
