snapshot,backstop
2023-01-01,27731.725990470622
2023-01-08,207895.06145157546
2023-01-15,197599.15239663477
2023-01-22,61872.47041633413
2023-01-29,68276.49763004914
2023-02-05,20158.34645811622
2023-02-12,19834.113095201978
2023-02-19,28143.74047981924
2023-02-26,34427.5404201035
2023-03-05,0.0
2023-03-12,12090.734490022067
2023-03-19,29041.373901169136
2023-03-26,0.0
2023-04-02,123.60458988431992
2023-04-09,0.0
2023-04-16,0.0
2023-04-23,0.0
2023-04-30,0.0
2023-05-07,0.0
2023-05-14,0.0
2023-05-21,0.0
2023-05-28,0.0
2023-06-04,0.0
2023-06-11,0.0
2023-06-18,0.0
2023-06-25,0.0
2023-07-02,0.0
2023-07-09,0.0
2023-07-16,0.0
2023-07-23,0.0
2023-07-30,0.0
2023-08-06,0.0
2023-08-13,0.0
2023-08-20,0.0
2023-08-27,0.0
2023-09-03,0.0
2023-09-10,0.0
2023-09-17,0.0
2023-09-24,0.0
2023-10-01,0.0
2023-10-08,12600.846130474543
2023-10-15,0.0
2023-10-22,27352.096468138614
2023-10-29,128145.54089789982
2023-11-05,189783.15039484994
2023-11-12,135201.03246571313
2023-11-19,125640.65646262029
2023-11-26,77072.69320176046
2023-12-03,168456.98397488953
2023-12-10,202205.74010546884
2023-12-17,245397.92293319938
2023-12-24,196780.5895427638
2023-12-31,173377.00687088186
