snapshot,battery
2023-01-01,-2.2737367544323206e-13
2023-01-08,-32.22232212361189
2023-01-15,-1751.2917349913328
2023-01-22,-1603.2177059365108
2023-01-29,366.3949960818404
2023-02-05,737.419884810534
2023-02-12,-2996.58528334756
2023-02-19,-60.51571125015835
2023-02-26,-77.7163801212298
2023-03-05,-51.26344898503271
2023-03-12,-1808.2110115483038
2023-03-19,2902.476674038149
2023-03-26,1465.2167756738095
2023-04-02,-3042.3025514731717
2023-04-09,-911.5799720240589
2023-04-16,-191.15178837194753
2023-04-23,-198.97141948487933
2023-04-30,-692.7395943534511
2023-05-07,-187.1714942336598
2023-05-14,-473.47382947938695
2023-05-21,-364.8833925603403
2023-05-28,-111.07699247480605
2023-06-04,-121.66889755354896
2023-06-11,-89.05536304538327
2023-06-18,319.7521873557639
2023-06-25,-634.0209111613499
2023-07-02,-140.07958045244095
2023-07-09,-181.51322792495193
2023-07-16,-177.4204209898735
2023-07-23,-172.25058025539693
2023-07-30,-14.767794614508375
2023-08-06,819.2203925952925
2023-08-13,-323.86443180858396
2023-08-20,2021.0532072556073
2023-08-27,-1847.2661661637085
2023-09-03,311.6404044645931
2023-09-10,1.0439288213410691
2023-09-17,16.703988501881668
2023-09-24,-111.76467914290652
2023-10-01,-27.546041952047062
2023-10-08,387.3395178536575
2023-10-15,-145.27390781018948
2023-10-22,5182.6186826255025
2023-10-29,-612.601839684999
2023-11-05,561.0603160851451
2023-11-12,-29.692050776945052
2023-11-19,-33.90836101134312
2023-11-26,-3369.1566928201228
2023-12-03,3277.775994821623
2023-12-10,-31.203643136151072
2023-12-17,-21.33609577112611
2023-12-24,-825.4624090974032
2023-12-31,761.6868512603796
