snapshot,solar
2023-01-01,2107.223109225368
2023-01-08,39542.99469427541
2023-01-15,66048.9458982774
2023-01-22,196783.79950107256
2023-01-29,156519.86872380596
2023-02-05,210129.63220474796
2023-02-12,214886.15738282318
2023-02-19,192852.90148110635
2023-02-26,195355.95925713572
2023-03-05,224915.47534426625
2023-03-12,235395.84577212192
2023-03-19,199017.8043994982
2023-03-26,200611.44676107078
2023-04-02,232484.95783074794
2023-04-09,211456.03118595827
2023-04-16,201344.80702812856
2023-04-23,188719.98050233332
2023-04-30,201013.8569319103
2023-05-07,191301.88863525324
2023-05-14,182933.57874174716
2023-05-21,175751.34852545056
2023-05-28,179812.90880871177
2023-06-04,181986.72910728995
2023-06-11,174280.049137283
2023-06-18,180288.01972301016
2023-06-25,170372.8422152794
2023-07-02,177234.5170037293
2023-07-09,169367.2500298786
2023-07-16,159316.85224628574
2023-07-23,148659.66524018155
2023-07-30,146559.81989698004
2023-08-06,153218.54766445793
2023-08-13,171677.34923783198
2023-08-20,179551.14328423887
2023-08-27,180686.5610265281
2023-09-03,179612.4606265872
2023-09-10,184573.7222219851
2023-09-17,183325.17377273875
2023-09-24,183535.64747087972
2023-10-01,185914.3828755287
2023-10-08,175775.68822982887
2023-10-15,204229.44451912135
2023-10-22,186715.51504028484
2023-10-29,85671.32840933539
2023-11-05,92166.52435990686
2023-11-12,114948.84475175488
2023-11-19,146823.46689463512
2023-11-26,171315.9513834638
2023-12-03,114722.01781320047
2023-12-10,81301.95740696575
2023-12-17,56642.14048234464
2023-12-24,78139.55019274927
2023-12-31,79475.51888835391
