snapshot,solar
2023-01-01,536.6057684270279
2023-01-08,8689.90065633849
2023-01-15,29964.475664495665
2023-01-22,57840.34492956097
2023-01-29,62986.22509901168
2023-02-05,98065.38845126715
2023-02-12,121594.33070962937
2023-02-19,108775.30169306154
2023-02-26,111844.85249468504
2023-03-05,230015.47071392907
2023-03-12,210184.16838587
2023-03-19,111799.39273780813
2023-03-26,83571.19174863303
2023-04-02,173766.3752503348
2023-04-09,220603.9918289264
2023-04-16,196062.16353258892
2023-04-23,261552.43067996585
2023-04-30,253315.01588318954
2023-05-07,265969.37277434353
2023-05-14,264941.721252103
2023-05-21,254756.81266437427
2023-05-28,257792.2820917925
2023-06-04,264404.55936053715
2023-06-11,253692.67926407975
2023-06-18,254862.01186133808
2023-06-25,245307.9033705052
2023-07-02,231378.30762127275
2023-07-09,244944.760450383
2023-07-16,220655.48030971692
2023-07-23,216698.08902439594
2023-07-30,215254.7726960898
2023-08-06,183307.19705415782
2023-08-13,150424.26749524925
2023-08-20,202208.24662165754
2023-08-27,201446.15655092263
2023-09-03,167230.06132027248
2023-09-10,224836.77044133426
2023-09-17,176476.82043853577
2023-09-24,175988.64247188572
2023-10-01,166746.9593185593
2023-10-08,130215.62108352667
2023-10-15,129756.91225950039
2023-10-22,121647.08059056848
2023-10-29,32617.441745387707
2023-11-05,41853.38928292308
2023-11-12,35434.294193316215
2023-11-19,46573.99610688813
2023-11-26,68653.20193794965
2023-12-03,57641.252970907764
2023-12-10,26818.282016405858
2023-12-17,22192.347505573533
2023-12-24,27267.97759194195
2023-12-31,33013.25966418111
