technology,parameter,value,year
backstop,capital_cost,0.0,2030.0
backstop,lifetime,40.0,2030.0
backstop,marginal_cost,10512.0,2030.0
battery_inverter,FOM,0.0,
battery_inverter,VOM,0.0,
battery_inverter,capital_cost,2590618.194675001,mean
battery_inverter,efficiency,0.959166,
battery_inverter,lifetime,24.75,mean
battery_inverter,unit_size,3.0,
battery_storage,FOM,0.0026096249999999995,mean
battery_storage,VOM,27.485610768,mean
battery_storage,capital_cost,2289284.4712500004,mean
battery_storage,lifetime,24.75,mean
battery_storage,unit_size,1.0,
biogas,cost,1277.7401700000003,
biogas,efficiency,0.58,2030.0
combined_cycle_gas_turbine,FOM,0.033397050000000005,mean
combined_cycle_gas_turbine,VOM,63.78762870900001,mean
combined_cycle_gas_turbine,capital_cost,12634149.458015667,mean
combined_cycle_gas_turbine,efficiency,0.57775,mean
combined_cycle_gas_turbine,lifetime,25.0,
combined_cycle_gas_turbine,unit_size,300.0,
general,discount_rate,0.05,
h2,efficiency,0.6,2030.0
h2_electrolysis,FOM,0.02,
h2_electrolysis,VOM,0.0,
h2_electrolysis,capital_cost,10576849.185000002,mean
h2_electrolysis,efficiency,0.5768083333333333,mean
h2_electrolysis,lifetime,25.0,
h2_electrolysis,unit_size,100.0,
h2_storage,FOM,0.02,
h2_storage,VOM,0.0,
h2_storage,capital_cost,141971.13000000003,
h2_storage,lifetime,50.0,
nuclear_conv,FOM,0.013244,
nuclear_conv,VOM,51.146,
nuclear_conv,capital_cost,56977500.0,mean
nuclear_conv,fuel,121.34520444375,
nuclear_conv,lifetime,60.0,
nuclear_conv,p_nom,1500.0,
nuclear_smr,FOM,0.0127,
nuclear_smr,VOM,50.33,
nuclear_smr,capital_cost,53613000.0,
nuclear_smr,fuel,93.62,
nuclear_smr,lifetime,60.0,
nuclear_smr,p_nom,300.0,
offwind,FOM,0.02173345833333333,mean
offwind,VOM,55.91414645775001,mean
offwind,capital_cost,25777224.837,mean
offwind,lifetime,29.95,mean
offwind,unit_size,18.848333333333333,mean
onwind,FOM,0.014564791666666665,mean
onwind,VOM,28.340986826250003,mean
onwind,capital_cost,16374039.152782502,mean
onwind,lifetime,29.0,mean
onwind,unit_size,4.890833333333334,mean
simple_cycle_gas_turbine,FOM,0.0332730375,mean
simple_cycle_gas_turbine,VOM,63.78762870900001,mean
simple_cycle_gas_turbine,capital_cost,9186135.875378953,mean
simple_cycle_gas_turbine,efficiency,0.4095,mean
simple_cycle_gas_turbine,lifetime,25.0,
simple_cycle_gas_turbine,unit_size,82.5,
solar,FOM,0.024195449999999997,mean
solar,VOM,0.0,
solar,capital_cost,5735633.652,mean
solar,lifetime,37.375,mean
solar,unit_size,0.8068675,mean
