snapshot,solar
2023-01-01,2659.7041693262217
2023-01-02,834.389438717363
2023-01-03,16526.61636091115
2023-01-04,720.1120293117519
2023-01-05,3300.611857425608
2023-01-06,1021.3913215771589
2023-01-07,1913.85356848268
2023-01-08,1274.6847716007142
2023-01-09,1929.0956495914497
2023-01-10,7195.833361624295
2023-01-11,7654.352243400905
2023-01-12,4667.5560140742145
2023-01-13,4751.062441330873
2023-01-14,10818.504862020436
2023-01-15,8225.502429122309
2023-01-16,22470.44269812809
2023-01-17,2517.190839481736
2023-01-18,7853.817780928504
2023-01-19,9268.60987288207
2023-01-20,5738.61233966955
2023-01-21,13442.559511833617
2023-01-22,15982.182456092669
2023-01-23,9492.608348840851
2023-01-24,3924.712798521975
2023-01-25,2371.8737159848474
2023-01-26,26489.74240755401
2023-01-27,29112.784220320762
2023-01-28,10729.203764975216
2023-01-29,10204.561108728605
2023-01-30,29145.73404815039
2023-01-31,17198.89691876283
2023-02-01,20765.748139775253
2023-02-02,29823.24292910573
2023-02-03,11577.303671996473
2023-02-04,27408.986335716017
2023-02-05,9002.105954438592
2023-02-06,29988.02911621819
2023-02-07,12782.067460780629
2023-02-08,7155.246605883756
2023-02-09,23217.103988913084
2023-02-10,25569.497280522766
2023-02-11,26528.090353023195
2023-02-12,25086.66711414069
2023-02-13,28487.53758883611
2023-02-14,13156.614477870331
2023-02-15,9609.994247196824
2023-02-16,9192.889688029392
2023-02-17,3997.1219455041232
2023-02-18,26104.00444016304
2023-02-19,26714.813448237113
2023-02-20,29131.002794624044
2023-02-21,29479.693268911047
2023-02-22,23509.78096876917
2023-02-23,6494.195997716301
2023-02-24,7778.388763623863
2023-02-25,26938.1523408723
2023-02-26,26422.402340997985
2023-02-27,28076.99584730775
2023-02-28,28349.170814458463
2023-03-01,28244.9470872337
2023-03-02,28251.393552190028
2023-03-03,27823.656581022304
2023-03-04,26057.3713376523
2023-03-05,26310.33932609181
2023-03-06,29058.444003034325
2023-03-07,8621.393909624458
2023-03-08,29107.1448697323
2023-03-09,29466.975443084717
2023-03-10,29369.34436586494
2023-03-11,26848.10082912243
2023-03-12,26499.712741452302
2023-03-13,4505.83230540507
2023-03-14,28712.71703000043
2023-03-15,28032.3004372623
2023-03-16,28631.436504631518
2023-03-17,8654.407333574103
2023-03-18,13219.863780053238
2023-03-19,17274.61375285424
2023-03-20,24313.576790985982
2023-03-21,28594.46382634538
2023-03-22,7979.728627660512
2023-03-23,18925.85695394427
2023-03-24,7356.959490422337
2023-03-25,20995.809073547665
2023-03-26,23633.007159836718
2023-03-27,31811.29539077054
2023-03-28,31499.003121819478
2023-03-29,25331.67602761493
2023-03-30,17353.535592512995
2023-03-31,17115.183998833385
2023-04-01,28837.69789409628
2023-04-02,27358.58855388799
2023-04-03,31171.952230754963
2023-04-04,30710.837147775488
2023-04-05,31939.17305337263
2023-04-06,29957.197953495557
2023-04-07,28663.512383190813
2023-04-08,25696.113128373996
2023-04-09,24748.10886759817
2023-04-10,25528.183195684087
2023-04-11,25385.26049515048
2023-04-12,30492.680235203272
2023-04-13,29989.804042521857
2023-04-14,31234.65333002689
2023-04-15,27190.325946333993
2023-04-16,24835.244146922483
2023-04-17,28665.174721191852
2023-04-18,28249.243645025956
2023-04-19,28552.41548147451
2023-04-20,28130.608367132518
2023-04-21,26682.75941442027
2023-04-22,22555.126481939737
2023-04-23,22155.95088766602
2023-04-24,28194.278899452493
2023-04-25,28124.13521734404
2023-04-26,31957.997601864707
2023-04-27,29443.679280083797
2023-04-28,28887.430907268496
2023-04-29,23815.017030061244
2023-04-30,24178.906777439905
2023-05-01,23651.252352409043
2023-05-02,29287.363923606255
2023-05-03,28470.34984873666
2023-05-04,29117.346713595754
2023-05-05,28421.1659522449
2023-05-06,24210.032950006094
2023-05-07,22985.06784374685
2023-05-08,27004.851816023678
2023-05-09,27225.060529824677
2023-05-10,27021.659588959523
2023-05-11,26914.572442514735
2023-05-12,25395.697162826094
2023-05-13,22102.88620383588
2023-05-14,20781.599641133114
2023-05-15,25560.41219254173
2023-05-16,26811.667837772857
2023-05-17,26873.569759126633
2023-05-18,23893.065509389366
2023-05-19,24064.401699315586
2023-05-20,20869.2714501624
2023-05-21,21131.470518807728
2023-05-22,24700.258037409454
2023-05-23,26153.83529093038
2023-05-24,26537.944022236712
2023-05-25,26250.790585248702
2023-05-26,26218.99599676837
2023-05-27,21752.18836162753
2023-05-28,21787.881166434792
2023-05-29,25639.554704382615
2023-05-30,26852.896758280647
2023-05-31,27565.57380995152
2023-06-01,27408.406923530878
2023-06-02,26810.224099369876
2023-06-03,22402.85248667011
2023-06-04,21866.410290743483
2023-06-05,24367.96486856585
2023-06-06,22295.358766578123
2023-06-07,25758.80895752726
2023-06-08,26342.87962432637
2023-06-09,26477.621336916643
2023-06-10,22743.324458589876
2023-06-11,22384.888938115208
2023-06-12,26252.441719258313
2023-06-13,26025.577122028248
2023-06-14,26138.900579244506
2023-06-15,26120.41929718963
2023-06-16,25819.78620027052
2023-06-17,22100.032452374446
2023-06-18,21783.281314539505
2023-06-19,26321.03698627298
2023-06-20,26973.986340387502
2023-06-21,25555.97561962989
2023-06-22,26498.30774351344
2023-06-23,20915.247165342676
2023-06-24,19522.482893246346
2023-06-25,20225.747876148707
2023-06-26,24184.908258079224
2023-06-27,27457.000761404164
2023-06-28,26809.89773554326
2023-06-29,26777.35392178894
2023-06-30,25404.542634186026
2023-07-01,20916.337355208474
2023-07-02,21790.759054753835
2023-07-03,25060.012886063105
2023-07-04,24391.14897058845
2023-07-05,24202.42908158176
2023-07-06,26798.422861790008
2023-07-07,23994.341529855945
2023-07-08,20438.614358537085
2023-07-09,20262.473418597994
2023-07-10,21913.093802167372
2023-07-11,23899.2763104344
2023-07-12,15506.778007908631
2023-07-13,30507.656944392267
2023-07-14,22051.49412106591
2023-07-15,19960.262914106974
2023-07-16,19926.15442591502
2023-07-17,22018.079881022684
2023-07-18,21400.354147708847
2023-07-19,21058.696613227923
2023-07-20,21004.691227370557
2023-07-21,20594.735539677185
2023-07-22,18776.276011845122
2023-07-23,19044.463600985982
2023-07-24,20978.434846208715
2023-07-25,20936.05342521906
2023-07-26,20505.02769527659
2023-07-27,20769.454082781736
2023-07-28,20516.54998884233
2023-07-29,18999.161579186322
2023-07-30,18843.145871464636
2023-07-31,21116.127710022356
2023-08-01,21522.799135869027
2023-08-02,22574.324064015258
2023-08-03,22748.385121863223
2023-08-04,22239.635087213774
2023-08-05,20189.179055306467
2023-08-06,18332.72181211075
2023-08-07,24943.53648840879
2023-08-08,10698.906628956222
2023-08-09,11390.78927904939
2023-08-10,30082.1813914493
2023-08-11,24819.652645489714
2023-08-12,21309.107356415305
2023-08-13,21694.07874842714
2023-08-14,26078.128302353078
2023-08-15,26774.371346198837
2023-08-16,27131.403426060293
