snapshot,solar
2023-01-01,2659.7041693262227
2023-01-02,834.3894387173633
2023-01-03,16526.616360911157
2023-01-04,720.1120293117523
2023-01-05,3300.6118574256097
2023-01-06,1021.3913215771594
2023-01-07,1913.8535684826807
2023-01-08,1274.6847716007146
2023-01-09,1929.0956495914506
2023-01-10,7195.833361624299
2023-01-11,7654.352243400908
2023-01-12,4667.556014074216
2023-01-13,4751.062441330875
2023-01-14,10818.50486202044
2023-01-15,8225.502429122313
2023-01-16,22470.442698128096
2023-01-17,2517.1908394817374
2023-01-18,7853.817780928508
2023-01-19,9268.609872882076
2023-01-20,5738.612339669553
2023-01-21,13442.559511833624
2023-01-22,15982.182456092676
2023-01-23,9492.608348840855
2023-01-24,3924.7127985219763
2023-01-25,2371.873715984849
2023-01-26,26489.74240755402
2023-01-27,29112.784220320784
2023-01-28,10729.203764975222
2023-01-29,10204.561108728609
2023-01-30,29145.7340481504
2023-01-31,17198.89691876284
2023-02-01,20765.74813977526
2023-02-02,29823.24292910574
2023-02-03,11577.30367199648
2023-02-04,27060.166490839463
2023-02-05,9002.105954438595
2023-02-06,29589.91690574754
2023-02-07,12782.067460780634
2023-02-08,7155.24660588376
2023-02-09,23217.1039889131
2023-02-10,25363.095555812037
2023-02-11,26734.49207773395
2023-02-12,25086.667114140702
2023-02-13,28693.93931354687
2023-02-14,13156.614477870335
2023-02-15,9609.994247196828
2023-02-16,9192.889688029396
2023-02-17,3997.1219455041246
2023-02-18,26404.329691609484
2023-02-19,26714.81344823713
2023-02-20,29131.00279462405
2023-02-21,29479.69326891107
2023-02-22,23509.780968769184
2023-02-23,6494.195997716302
2023-02-24,7778.388763623867
2023-02-25,27266.085086592724
2023-02-26,26628.804065708748
2023-02-27,28423.553830111872
2023-02-28,28555.572539169218
2023-03-01,28451.348811944463
2023-03-02,28457.79527690079
2023-03-03,28030.058305733055
2023-03-04,26361.714497384848
2023-03-05,26202.987056993057
2023-03-06,29058.444003034347
2023-03-07,8621.393909624461
2023-03-08,29107.144869732314
2023-03-09,29715.208368059448
2023-03-10,29369.34436586496
2023-03-11,26534.41826479231
2023-03-12,27024.24351566338
2023-03-13,4505.8323054050725
2023-03-14,28347.676669076613
2023-03-15,28585.724436402248
2023-03-16,28631.43650463153
2023-03-17,8654.407333574109
2023-03-18,13219.863780053243
2023-03-19,17274.613752854246
2023-03-20,24313.57679098599
2023-03-21,28946.539736531246
2023-03-22,7979.7286276605155
2023-03-23,18925.856953944276
2023-03-24,7356.9594904223395
2023-03-25,20995.809073547676
2023-03-26,23633.00715983673
2023-03-27,31811.29539077056
2023-03-28,31499.00312181949
2023-03-29,25331.676027614943
2023-03-30,17353.535592513002
2023-03-31,17115.183998833392
2023-04-01,28631.296169385547
2023-04-02,27358.58855388799
2023-04-03,31503.47430788
2023-04-04,31250.385970295167
2023-04-05,31939.173053372644
2023-04-06,29636.926019574785
2023-04-07,28663.512383190806
2023-04-08,25696.11312837399
2023-04-09,24748.10886759817
2023-04-10,25528.915347858805
2023-04-11,25385.260495150487
2023-04-12,30699.08195991403
2023-04-13,29989.80404252187
2023-04-14,31564.42538487453
2023-04-15,27449.97210854182
2023-04-16,24835.244146922483
2023-04-17,28978.14299071515
2023-04-18,28249.243645025952
2023-04-19,28236.35788691267
2023-04-20,28130.608367132518
2023-04-21,26682.759414420267
2023-04-22,23011.34657493056
