snapshot,onwind
2023-01-01,6.193689658565543e-14
2023-01-08,0.0
2023-01-15,0.0
2023-01-22,5.075632169089972e-12
2023-01-29,0.0
2023-02-05,-3.880925095416024e-11
2023-02-12,0.0
2023-02-19,0.0
2023-02-26,0.0
2023-03-05,0.0
2023-03-12,0.0
2023-03-19,0.0
2023-03-26,0.0
2023-04-02,0.0
2023-04-09,0.0
2023-04-16,0.0
2023-04-23,0.0
2023-04-30,0.0
2023-05-07,0.0
2023-05-14,0.0
2023-05-21,0.0
2023-05-28,0.0
2023-06-04,0.0
2023-06-11,0.0
2023-06-18,0.0
2023-06-25,0.0
2023-07-02,0.0
2023-07-09,0.0
2023-07-16,0.0
2023-07-23,0.0
2023-07-30,0.0
2023-08-06,0.0
2023-08-13,0.0
2023-08-20,0.0
2023-08-27,0.0
2023-09-03,0.0
2023-09-10,0.0
2023-09-17,0.0
2023-09-24,0.0
2023-10-01,0.0
2023-10-08,3.437439448693603e-13
2023-10-15,0.0
2023-10-22,-5.4569682106375694e-12
2023-10-29,0.0
2023-11-05,0.0
2023-11-12,-1.2852758857206936e-09
2023-11-19,0.0
2023-11-26,4.092726157978177e-12
2023-12-03,0.0
2023-12-10,0.0
2023-12-17,0.0
2023-12-24,-2.7284841053187847e-12
2023-12-31,0.0
