snapshot,solar
2023-01-01,15971.363924971929
2023-01-08,139405.297932258
2023-01-15,271674.9365243812
2023-01-22,441382.4432368046
2023-01-29,436761.8444875021
2023-02-05,657617.7463245234
2023-02-12,627795.5993298931
2023-02-19,505164.2252081027
2023-02-26,589859.6421778006
2023-03-05,666734.7632674077
2023-03-12,667836.6326622933
2023-03-19,572783.1966228513
2023-03-26,593932.0878432726
2023-04-02,696598.1475552344
2023-04-09,626565.8019220833
2023-04-16,597508.6490534793
2023-04-23,557946.8733861144
2023-04-30,585723.6261338454
2023-05-07,560920.955598669
2023-05-14,535942.9082582897
2023-05-21,510871.3488217746
2023-05-28,528289.2034741242
2023-06-04,539175.1551055799
2023-06-11,516658.8365710433
2023-06-18,530126.601845699
2023-06-25,504841.77129780507
2023-07-02,522471.6325273625
2023-07-09,500430.67889391305
2023-07-16,469453.9079729327
2023-07-23,435918.3767878292
2023-07-30,429014.0230484255
2023-08-06,451286.7114441076
2023-08-13,510774.7495054702
2023-08-20,530101.4286715147
2023-08-27,538001.9221776521
2023-09-03,534839.8957165227
2023-09-10,545370.6530813401
2023-09-17,544776.4952666173
2023-09-24,547438.2972595787
2023-10-01,548671.9261571561
2023-10-08,553472.663658258
2023-10-15,605321.445736131
2023-10-22,542823.2129379092
2023-10-29,260172.065837157
2023-11-05,271302.5764378713
2023-11-12,320429.07976917294
2023-11-19,403271.15724973567
2023-11-26,488468.58136491984
2023-12-03,360525.83427436126
2023-12-10,253101.6727988994
2023-12-17,222766.37112031577
2023-12-24,334089.8168200339
2023-12-31,277179.6277004078
