snapshot,battery
2023-01-01,11181.156713639853
2023-01-08,-2593.021532191696
2023-01-15,7565.483403246682
2023-01-22,-90.94652182434356
2023-01-29,-56.15081370046373
2023-02-05,-10903.830812973634
2023-02-12,10732.32394946335
2023-02-19,-59.13307535673522
2023-02-26,-13197.420271194565
2023-03-05,-1313.9878877198255
2023-03-12,14202.73770410948
2023-03-19,-102.32406994890562
2023-03-26,-10977.071703726906
2023-04-02,-4019.2366693344466
2023-04-09,12403.874196269979
2023-04-16,-8320.970281844282
2023-04-23,4765.098952269109
2023-04-30,-1630.4771458857444
2023-05-07,2956.204337069201
2023-05-14,-758.2954099406243
2023-05-21,-6149.311293701621
2023-05-28,-847.5434057312636
2023-06-04,6652.05005907329
2023-06-11,-6349.881183800038
2023-06-18,7459.711677545889
2023-06-25,-1208.9068127848777
2023-07-02,2168.0589285926067
2023-07-09,-681.3753269463296
2023-07-16,-754.4754077493753
2023-07-23,-4507.087022901749
2023-07-30,-3236.727342997421
2023-08-06,10955.987551716857
2023-08-13,-1264.6283309841278
2023-08-20,1134.6570546558953
2023-08-27,-9796.001471385742
2023-09-03,9619.072152779205
2023-09-10,-9904.471795794218
2023-09-17,9714.043696792576
2023-09-24,-271.1795356000224
2023-10-01,-681.8561158953978
2023-10-08,-14582.26763995389
2023-10-15,713.8756344314234
2023-10-22,-1816.01216481922
2023-10-29,16214.858273725575
2023-11-05,-12505.782522484815
2023-11-12,12305.865639330546
2023-11-19,-15097.712103696353
2023-11-26,14848.668853047408
2023-12-03,-101.17658658343362
2023-12-10,-47.30682045358644
2023-12-17,-75.07273842118971
2023-12-24,-3700.63528413542
2023-12-31,-12763.801250649321
