snapshot,h2
2023-01-01,41287.830539384086
2023-01-02,47627.42659822547
2023-01-03,79200.0
2023-01-04,-10855.756859344543
2023-01-05,-16178.135419859102
2023-01-06,-23533.779999986393
2023-01-07,-21469.64561753923
2023-01-08,-19104.169679938128
2023-01-09,0.0
2023-01-10,-13071.806496867615
2023-01-11,-23533.779999986404
2023-01-12,-17585.295504654216
2023-01-13,-23111.389858218226
2023-01-14,-20592.05749998809
2023-01-15,-23533.77999998642
2023-01-16,-20592.05749998816
2023-01-17,-22670.21074045829
2023-01-18,-17650.334999989816
2023-01-19,43185.9728788642
2023-01-20,67200.0
2023-01-21,67200.0
2023-01-22,67199.99999999999
2023-01-23,28516.09115155002
2023-01-24,-23533.7799999864
2023-01-25,-23533.7799999864
2023-01-26,-17749.238702535175
2023-01-27,25848.967524182946
2023-01-28,-23533.779999986404
2023-01-29,-23533.77999998642
2023-01-30,-23533.7799999864
2023-01-31,-19783.193727253125
2023-02-01,-11253.668866502767
2023-02-02,46314.791725166186
2023-02-03,-18131.313615218718
2023-02-04,30244.514430857547
2023-02-05,27833.110000006796
2023-02-06,28716.821487408248
2023-02-07,-23533.779999986415
2023-02-08,-23533.77999998641
2023-02-09,-23533.77999998642
2023-02-10,-23533.779999986375
2023-02-11,-6305.889245578581
2023-02-12,-23533.77999998636
2023-02-13,-15352.349120910396
2023-02-14,64786.57188190632
2023-02-15,26453.44979962334
2023-02-16,-22839.465638343197
2023-02-17,-23533.779999986375
2023-02-18,-23533.779999986404
2023-02-19,-19955.64564200058
2023-02-20,-23533.77999998639
2023-02-21,-9246.022739050206
2023-02-22,16213.460889120357
2023-02-23,37942.508211987835
2023-02-24,-5423.897035243293
2023-02-25,-23533.77999998639
2023-02-26,-18687.337088695927
2023-02-27,37392.34946804877
2023-02-28,33176.37020566255
2023-03-01,1473.3272454817027
2023-03-02,-10523.10887599418
2023-03-03,-14708.612499991505
2023-03-04,-23533.779999986404
2023-03-05,-6996.171998861024
2023-03-06,79200.0
2023-03-07,-20632.00767465296
2023-03-08,-17659.859292319175
2023-03-09,8820.506347855418
2023-03-10,49702.447505077216
2023-03-11,17543.784790310863
2023-03-12,-20066.973117358702
2023-03-13,-23533.779999986404
2023-03-14,-17127.938537518916
2023-03-15,-17650.334999989762
2023-03-16,14046.452591451814
2023-03-17,-23533.779999986404
2023-03-18,41859.557547154574
2023-03-19,46452.554758795166
2023-03-20,5673.715775732966
2023-03-21,48531.41772272334
2023-03-22,-23533.7799999864
2023-03-23,-23533.779999986396
2023-03-24,-21221.541147713804
2023-03-25,-17650.334999989802
2023-03-26,-7628.782203988151
2023-03-27,16375.589812402879
2023-03-28,-13846.259158208399
2023-03-29,-9266.60847131624
2023-03-30,-18816.20452390707
2023-03-31,-23533.779999986375
2023-04-01,-17650.334999989787
2023-04-02,10607.447883263712
2023-04-03,49607.021487000064
2023-04-04,70194.81017591948
2023-04-05,27756.04791656199
2023-04-06,4247.018048539514
2023-04-07,-4456.838074111181
2023-04-08,-12736.26626142504
2023-04-09,16000.730239692792
2023-04-10,-5575.114548978707
2023-04-11,-12850.754986702963
2023-04-12,25335.76732214238
2023-04-13,-2877.609339566614
2023-04-14,2877.609339566614
2023-04-15,-21666.717870000142
2023-04-16,-3527.2560039105497
2023-04-17,-413.4886884037405
2023-04-18,-12142.534710499836
2023-04-19,-18166.782330109698
2023-04-20,-4424.072581012257
2023-04-21,34039.86146750208
2023-04-22,17851.140420505162
2023-04-23,-2444.4063651095476
2023-04-24,0.0
2023-04-25,0.0
2023-04-26,-5883.444999996598
2023-04-27,-14934.83580332691
2023-04-28,16634.10954228749
2023-04-29,7919.818890453402
2023-04-30,-14708.612499991501
2023-05-01,-9229.549670456137
