snapshot,solar
2023-01-01,616.5376965217813
2023-01-08,5008.08009957352
2023-01-15,18624.514544897964
2023-01-22,27699.53717820591
2023-01-29,27610.551963173635
2023-02-05,51810.5046572949
2023-02-12,53564.99800918485
2023-02-19,55384.63811774032
2023-02-26,70295.66758718199
2023-03-05,118012.15399076068
2023-03-12,81686.15187246937
2023-03-19,58109.90734325962
2023-03-26,43720.6246311158
2023-04-02,91308.57690706325
2023-04-09,125800.40276954908
2023-04-16,87626.43069664185
2023-04-23,133002.416305974
2023-04-30,124031.3023510613
2023-05-07,133641.95180056663
2023-05-14,144747.05430467823
2023-05-21,138393.14389393866
2023-05-28,135132.25231710702
2023-06-04,152182.2818992153
2023-06-11,149680.25172775215
2023-06-18,140977.16368573194
2023-06-25,125547.36097152485
2023-07-02,117659.06450160997
2023-07-09,118330.66218037429
2023-07-16,101642.28913650753
2023-07-23,129065.0861949254
2023-07-30,117217.27561598414
2023-08-06,106107.6687333516
2023-08-13,65588.38925276544
2023-08-20,92758.4939774011
2023-08-27,100825.67369485421
2023-09-03,103009.90906350753
2023-09-10,111060.84843927894
2023-09-17,80266.32235954747
2023-09-24,78761.01071402185
2023-10-01,73476.66998638012
2023-10-08,76996.11003266035
2023-10-15,68154.16610403212
2023-10-22,69596.20567779185
2023-10-29,15236.826819801568
2023-11-05,22608.720764404166
2023-11-12,20315.89697548623
2023-11-19,23853.397045994563
2023-11-26,30759.771097099107
2023-12-03,26063.89567378771
2023-12-10,12797.173157681042
2023-12-17,14518.820299063136
2023-12-24,19009.56629857999
2023-12-31,16644.931929571914
