snapshot,solar
2023-01-01,4898.795111046191
2023-01-02,2035.116579237193
2023-01-03,18595.572442530116
2023-01-04,1817.9193739295058
2023-01-05,7415.41720735094
2023-01-06,2092.5163068133816
2023-01-07,4385.92712762988
2023-01-08,3450.0017975047886
2023-01-09,4610.901561356087
2023-01-10,24499.94720362412
2023-01-11,24294.186535068842
2023-01-12,14383.576495931196
2023-01-13,16011.477417913466
2023-01-14,32364.98333738239
2023-01-15,28352.909228086573
2023-01-16,41141.52208649066
2023-01-17,7762.503058628295
2023-01-18,29963.376018599753
2023-01-19,11422.297542007092
2023-01-20,13631.47582970414
2023-01-21,34629.456308213055
2023-01-22,37387.8414210212
2023-01-23,15711.998569506031
2023-01-24,8800.551061491306
2023-01-25,3695.343807147689
2023-01-26,43377.909668007254
2023-01-27,34724.70282035254
2023-01-28,15791.129659011962
2023-01-29,20227.80142761331
2023-01-30,43832.37998544623
2023-01-31,22828.484685371976
2023-02-01,40968.18859741861
2023-02-02,38284.493963581415
2023-02-03,16870.696933640276
2023-02-04,42018.75641358641
2023-02-05,9956.60811307127
2023-02-06,44074.66210784679
2023-02-07,34423.5169270976
2023-02-08,29595.431015059174
2023-02-09,40252.31404653971
2023-02-10,32013.65286184051
2023-02-11,31963.69082616189
2023-02-12,30066.60266799329
2023-02-13,32917.83085216774
2023-02-14,32709.904674410518
2023-02-15,21559.003304928727
2023-02-16,25548.78557411083
2023-02-17,17832.26784815182
2023-02-18,40788.49998975418
2023-02-19,28853.908142352295
2023-02-20,33992.60063772043
2023-02-21,34624.36694939785
2023-02-22,35043.87927115693
2023-02-23,10454.278746112228
2023-02-24,20170.39913660014
2023-02-25,41887.2824992839
2023-02-26,30504.286914975975
2023-02-27,32694.639702873967
2023-02-28,33772.23381673653
2023-03-01,33333.576364827815
2023-03-02,33236.14307362283
2023-03-03,32832.90740959321
2023-03-04,29276.682297034546
2023-03-05,29004.110132914153
2023-03-06,34310.06136553705
2023-03-07,31220.18838890898
2023-03-08,39889.38218496399
2023-03-09,36750.80639629821
2023-03-10,35915.60100447508
2023-03-11,31366.138238102336
2023-03-12,31085.655536033388
2023-03-13,9875.626755736424
2023-03-14,42641.484417667554
2023-03-15,34012.61467822068
2023-03-16,33831.10750393353
2023-03-17,23421.085966637394
2023-03-18,28022.96308673652
2023-03-19,37787.461330748294
2023-03-20,31524.296123395903
2023-03-21,33443.87589543563
2023-03-22,16170.601616098491
2023-03-23,36823.50483298074
2023-03-24,27655.142994707167
2023-03-25,37335.761376879396
2023-03-26,30190.949170380223
2023-03-27,35327.72158198845
2023-03-28,35524.38078185181
2023-03-29,34503.70198863045
2023-03-30,21258.584957729203
