snapshot,battery
2023-01-01,0.0
2023-01-08,-72.52477470199119
2023-01-15,-13518.125129060272
2023-01-22,-7473.048546774807
2023-01-29,18677.986467327788
2023-02-05,1330.1134368042917
2023-02-12,-21185.248218789406
2023-02-19,-216.37670182529973
2023-02-26,-279.86460663213757
2023-03-05,-285.9387273852394
2023-03-12,-167.96000994702172
2023-03-19,-1005.2208165794882
2023-03-26,427.7145718357842
2023-04-02,-1845.3622618420877
2023-04-09,-2322.1271314129162
2023-04-16,-547.7664948485526
2023-04-23,-1584.8267101902397
2023-04-30,-404.8090298185971
2023-05-07,-332.57177119057815
2023-05-14,-717.9717963439507
2023-05-21,-483.6620585661367
2023-05-28,-338.8416587511738
2023-06-04,-448.40345994182235
2023-06-11,-330.05223481122084
2023-06-18,-505.29072851843875
2023-06-25,-485.18891014591145
2023-07-02,-457.7504138091872
2023-07-09,-540.541818622698
2023-07-16,-531.0871783896855
2023-07-23,-521.8943951063252
2023-07-30,-428.53623602509924
2023-08-06,790.7074027929125
2023-08-13,-1210.7848237029784
2023-08-20,-176.44626841497575
2023-08-27,-338.1453728902079
2023-09-03,1337.6961631942731
2023-09-10,138.2983453432562
2023-09-17,306.2132980547426
2023-09-24,-413.67506827747593
2023-10-01,-241.1084694897936
2023-10-08,600.5708768715713
2023-10-15,-450.1234126561999
2023-10-22,5862.284591415317
2023-10-29,15433.359818887136
2023-11-05,-153.33996536216182
2023-11-12,-1540.7626681249867
2023-11-19,750.8692344498595
2023-11-26,-15348.555860657636
2023-12-03,3023.977697667694
2023-12-10,12332.882517382794
2023-12-17,-106.97237497782953
2023-12-24,-135.647754334409
2023-12-31,-135.21330830882246
