snapshot,h2
2023-01-01,42275.71946893996
2023-01-02,29176.80281429783
2023-01-03,30600.0
2023-01-04,-5080.805903819971
2023-01-05,5080.80590381997
2023-01-06,0.0
2023-01-07,-8202.1862395094
2023-01-08,-8652.712167054286
2023-01-09,1233.056772476727
2023-01-10,8845.72144475369
2023-01-11,-17996.419999989597
2023-01-12,-3291.8182063166623
2023-01-13,-17996.419999989594
2023-01-14,-16119.693066429858
2023-01-15,-17996.419999989583
2023-01-16,-16345.902191992345
2023-01-17,-13497.314999992215
2023-01-18,-7316.820173370728
2023-01-19,26250.254573358754
2023-01-20,30600.0
2023-01-21,21600.0
2023-01-22,19986.67425404508
2023-01-23,18900.0
2023-01-24,-15489.259200424392
2023-01-25,-17844.659484337426
2023-01-26,-7999.381995345817
2023-01-27,17120.366263546064
2023-01-28,-17996.4199999896
2023-01-29,-17996.419999989594
2023-01-30,-17996.419999989597
2023-01-31,-17996.419999989605
2023-02-01,-5719.201099786028
2023-02-02,22110.261808924894
2023-02-03,-14156.260778288848
2023-02-04,2230.140900828907
2023-02-05,19801.790000005196
2023-02-06,44317.905725002434
2023-02-07,-11809.231237067157
2023-02-08,-14699.192225121038
2023-02-09,-17996.419999989597
2023-02-10,-17996.4199999896
2023-02-11,-7557.482675640618
2023-02-12,-11247.76249999349
2023-02-13,-2569.252435802152
2023-02-14,55027.1128462058
2023-02-15,50889.19319519642
2023-02-16,5191.721039083184
2023-02-17,-13585.104503839953
2023-02-18,-17996.419999989594
2023-02-19,-11994.034723082263
2023-02-20,-17996.419999989594
2023-02-21,-11636.16371089085
2023-02-22,2106.1207314758713
2023-02-23,20402.649354620436
2023-02-24,6601.154137032687
2023-02-25,-17996.419999989612
2023-02-26,-11573.1546951134
2023-02-27,35590.524128023564
2023-02-28,27920.400216033435
2023-03-01,5073.500027047957
2023-03-02,389.9271943221438
2023-03-03,-6021.786561621495
2023-03-04,-17476.350304049083
2023-03-05,-3205.4873981755127
2023-03-06,31778.77796113692
2023-03-07,-15746.8674999909
2023-03-08,-12801.603444332735
2023-03-09,-477.8808435045976
2023-03-10,20926.35178782823
2023-03-11,-3147.7624999934983
2023-03-12,-17399.19167626294
2023-03-13,-17996.419999989594
2023-03-14,-17996.41999998957
2023-03-15,-1872.7043013746525
2023-03-16,12173.450787234258
2023-03-17,-17996.41999998961
2023-03-18,34527.4523253879
2023-03-19,32174.693310261515
2023-03-20,-2466.6779452838023
2023-03-21,6121.405193217468
2023-03-22,-17996.419999989597
2023-03-23,-17996.4199999896
2023-03-24,-17996.41999998959
2023-03-25,-7631.440909983225
2023-03-26,18821.80267571941
2023-03-27,19801.72242022412
2023-03-28,-5417.066575234242
2023-03-29,262.22041946217763
2023-03-30,-11496.609396198503
2023-03-31,-17996.41999998959
2023-04-01,-17996.41999998959
2023-04-02,-8083.725845395835
2023-04-03,23083.107696912633
2023-04-04,23291.672679918207
2023-04-05,19685.382587726508
2023-04-06,19107.90951808977
2023-04-07,-2495.3673289670014
2023-04-08,-4345.02538343711
2023-04-09,-4800.365072452535
2023-04-10,-4791.048947051544
2023-04-11,0.0
2023-04-12,16091.23848063029
2023-04-13,0.0
2023-04-14,530.4523256590054
2023-04-15,0.0
2023-04-16,-2469.2537133053816
2023-04-17,-4909.441043606856
2023-04-18,-4869.639719818496
2023-04-19,-4819.8812494321355
2023-04-20,-5150.775312371516
2023-04-21,-5264.837420701045
2023-04-22,-6510.476581650339
2023-04-23,0.0
2023-04-24,0.0
2023-04-25,431.39376492102747
2023-04-26,3110.725479945748
2023-04-27,-3630.6024767084573
2023-04-28,1186.9780649231197
2023-04-29,9962.699718593924
2023-04-30,-5983.284123745507
2023-05-01,0.0
2023-05-02,-5141.651192073974
2023-05-03,5624.422941309099
2023-05-04,0.0
2023-05-05,-4871.362976973438
2023-05-06,-6748.657499996098
2023-05-07,-5638.121458483401
2023-05-08,-5708.312664544912
2023-05-09,-4975.405089644627
2023-05-10,-5498.107589505173
2023-05-11,-2734.034288431725
2023-05-12,-3068.1376662916123
2023-05-13,-4642.947795688436
2023-05-14,-4074.392095696175
2023-05-15,-2334.344170343586
2023-05-16,15682.777476525625
2023-05-17,-2728.3358652920215
2023-05-18,-6703.381273483516
2023-05-19,6809.803133491543
2023-05-20,-5878.541984105459
2023-05-21,-5838.008668340077
2023-05-22,-2630.3900664351804
2023-05-23,40655.14689563328
2023-05-24,18211.47572236482
2023-05-25,-6109.177626065826
2023-05-26,-5984.773908688371
2023-05-27,-6748.657499996099
2023-05-28,-5380.106829051238
2023-05-29,-3624.679842077302
2023-05-30,2211.181470821877
2023-05-31,-5603.113085016409
2023-06-01,-2939.080483918654
2023-06-02,-5400.491309046207
2023-06-03,457.8969690673166
2023-06-04,1672.8991394867026
2023-06-05,5216.201593857517
2023-06-06,-6372.621235712471
2023-06-07,10866.006264991202
2023-06-08,9755.112360881163
2023-06-09,-4722.3788288923515
2023-06-10,-6748.657499996098
2023-06-11,-6748.657499996083
2023-06-12,-5848.386477640601
2023-06-13,-3204.2554168043293
2023-06-14,-3261.677050949357
2023-06-15,-2249.5524999986997
2023-06-16,-2164.7324139736593
2023-06-17,-5451.404913577965
2023-06-18,0.0
2023-06-19,15807.162418155087
2023-06-20,175.71069904106787
2023-06-21,-7.275957614183426e-12
2023-06-22,-3590.9293588266632
2023-06-23,-6399.588096575204
2023-06-24,-5594.665103313688
2023-06-25,-4583.98877654064
2023-06-26,9453.394907478447
2023-06-27,1587.2178977155004
2023-06-28,18185.476987637747
2023-06-29,5525.823342952521
2023-06-30,-3741.3460856167544
2023-07-01,0.0
2023-07-02,-2573.3894415181276
2023-07-03,0.0
2023-07-04,-214.22475128282844
2023-07-05,-86.96397382573196
2023-07-06,0.0
2023-07-07,-4448.767600440055
2023-07-08,-6748.657499996102
2023-07-09,-1737.0894806341598
2023-07-10,0.0
2023-07-11,0.0
2023-07-12,528.3459948063426
2023-07-13,-1168.4567970281205
2023-07-14,-5026.084819268119
2023-07-15,0.0
2023-07-16,-4325.947958451574
2023-07-17,-576.4122413091068
2023-07-18,-5075.858684510124
2023-07-19,-5899.134637724506
2023-07-20,-3895.0112199915643
2023-07-21,-4592.704271227372
2023-07-22,-4499.10499999738
2023-07-23,-2345.7469891252995
2023-07-24,-921.1094102644668
2023-07-25,-4499.104999997399
2023-07-26,-2746.032792055995
2023-07-27,-3475.7060834979056
2023-07-28,1524.2184988347062
2023-07-29,-1776.8660188296053
2023-07-30,-4499.104999997409
2023-07-31,0.0
2023-08-01,21159.388115123154
2023-08-02,7068.165031412269
2023-08-03,-3481.417536992917
2023-08-04,-6231.049858302595
2023-08-05,-6269.870115934667
2023-08-06,-1213.1509137092507
2023-08-07,0.0
2023-08-08,0.0
2023-08-09,0.0
2023-08-10,0.0
2023-08-11,-3122.3985833016363
2023-08-12,0.0
2023-08-13,-5519.081979358277
2023-08-14,-2390.5841589361066
2023-08-15,0.0
2023-08-16,0.0
2023-08-17,35384.24682679281
2023-08-18,10835.472967487603
2023-08-19,-13851.075834157065
2023-08-20,-4756.350804700298
2023-08-21,-8308.704146998252
2023-08-22,-5808.889642678847
2023-08-23,-6247.7317541744105
2023-08-24,-5856.190369494658
2023-08-25,12086.721489266543
2023-08-26,17366.611045877824
2023-08-27,-9956.956847363661
2023-08-28,13270.050491786575
2023-08-29,-226.11220684139406
2023-08-30,28087.834084656424
2023-08-31,37151.739991753246
2023-09-01,19927.316268486786
2023-09-02,-6748.6574999961
2023-09-03,-7848.308540866439
2023-09-04,-17980.15539732614
2023-09-05,-13497.314999992186
2023-09-06,19703.855718387294
2023-09-07,15181.145092822742
