snapshot,onwind
2023-01-01,33644.1884217156
2023-01-08,643455.1990876276
2023-01-15,795689.6043614827
2023-01-22,484884.8337817234
2023-01-29,722640.5121382815
2023-02-05,690924.5084827284
2023-02-12,706878.9139484514
2023-02-19,552287.1009621597
2023-02-26,672712.5759438485
2023-03-05,306737.6774610818
2023-03-12,510759.0797730587
2023-03-19,616282.3824979628
2023-03-26,630571.5436903371
2023-04-02,542896.7888092195
2023-04-09,191453.65637483605
2023-04-16,334807.8460058322
2023-04-23,190135.2046896557
2023-04-30,231504.82356484202
2023-05-07,168346.4642103501
2023-05-14,141644.10339088915
2023-05-21,117316.39564031693
2023-05-28,108424.44038281648
2023-06-04,87076.4395369144
2023-06-11,62066.72003863005
2023-06-18,136926.06290553263
2023-06-25,136766.56244553678
2023-07-02,168597.17574510904
2023-07-09,153334.75948470808
2023-07-16,198394.75083496372
2023-07-23,111095.309845037
2023-07-30,111129.81611536778
2023-08-06,140591.30475821902
2023-08-13,332028.9303201923
2023-08-20,262013.89786574748
2023-08-27,332761.96425509674
2023-09-03,187518.23090822803
2023-09-10,291997.8058267518
2023-09-17,286128.97707685054
2023-09-24,337894.5606698245
2023-10-01,359443.27369785006
2023-10-08,461024.15313038434
2023-10-15,568058.859519242
2023-10-22,618155.5141249236
2023-10-29,674494.269286536
2023-11-05,642730.1421921198
2023-11-12,229932.78199299084
2023-11-19,642462.7537233478
2023-11-26,667648.873560447
2023-12-03,466105.4359167777
2023-12-10,653487.6843254362
2023-12-17,575504.1518428364
2023-12-24,896437.9408950354
2023-12-31,775504.5453436913
