snapshot,solar
2023-01-01,14398.902104743418
2023-01-08,116960.98307254958
2023-01-15,427539.9462451209
2023-01-22,542548.2483167114
2023-01-29,435155.06347241893
2023-02-05,653844.5517053575
2023-02-12,759142.39973606
2023-02-19,614007.7342560503
2023-02-26,641386.4427592587
2023-03-05,693141.9546832157
2023-03-12,742331.3273895634
2023-03-19,638481.7160198408
2023-03-26,652328.3999820163
2023-04-02,676073.858814379
2023-04-09,638967.6801385063
2023-04-16,602473.7919236831
2023-04-23,566318.796074295
2023-04-30,597585.1705003963
2023-05-07,577310.9842047365
2023-05-14,556443.1904414056
2023-05-21,527394.2929644928
2023-05-28,540822.0633376802
2023-06-04,547302.2328726521
2023-06-11,524754.6701114229
2023-06-18,543548.1172455559
2023-06-25,510651.8249525706
2023-07-02,529470.1377565874
2023-07-09,506896.47418468277
2023-07-16,475688.8303459438
2023-07-23,444674.22486158134
2023-07-30,442617.0217086787
2023-08-06,469321.33044935093
2023-08-13,513128.8039734013
2023-08-20,540012.6330465316
2023-08-27,544080.3424192539
2023-09-03,543765.5289285918
2023-09-10,554858.5852679763
2023-09-17,550708.0224540854
2023-09-24,554396.4528573606
2023-10-01,575091.92716886
2023-10-08,610596.239494442
2023-10-15,630206.0024459498
2023-10-22,630099.1748121209
2023-10-29,355847.7916321552
2023-11-05,469122.9517616832
2023-11-12,454356.7779001191
2023-11-19,549987.5155780235
2023-11-26,541729.4983334962
2023-12-03,565175.4591609611
2023-12-10,298871.0091117514
2023-12-17,316332.25411373086
2023-12-24,390088.07429391093
2023-12-31,324114.38477691414
