snapshot,onwind
2023-01-01,12681.168678163525
2023-01-02,20311.488905998307
2023-01-03,7462.730688386982
2023-01-04,33879.62125097052
2023-01-05,31902.72798126127
2023-01-06,29879.479570727763
2023-01-07,27401.458506111834
2023-01-08,26671.75988976935
2023-01-09,31153.18510302408
2023-01-10,27514.329759532226
2023-01-11,27305.44237383179
2023-01-12,29107.999742183372
2023-01-13,27316.98238229886
2023-01-14,21088.453990646107
2023-01-15,24141.52984209314
2023-01-16,23911.632639926334
2023-01-17,30909.406167338533
2023-01-18,45675.01281701782
2023-01-19,23307.42268412215
2023-01-20,5784.827492092447
2023-01-21,4658.626980380986
2023-01-22,3408.723584792056
2023-01-23,10354.60028422558
2023-01-24,31509.00245459443
2023-01-25,32579.51984378215
2023-01-26,28555.30845523917
2023-01-27,13286.14502293322
2023-01-28,26118.447038526254
2023-01-29,24285.543329019576
2023-01-30,20942.472219374005
2023-01-31,29134.207899182715
2023-02-01,26399.408493509247
2023-02-02,13360.190121898104
2023-02-03,35439.290986165244
2023-02-04,10953.539658911497
2023-02-05,32041.930679360794
2023-02-06,11364.529879990128
2023-02-07,28088.908247509316
2023-02-08,28316.344210964235
2023-02-09,26147.842618028848
2023-02-10,22579.287348756596
2023-02-11,12087.534252181007
2023-02-12,19250.78231566909
2023-02-13,25037.878859987475
2023-02-14,13440.730557313318
2023-02-15,17545.150410419024
2023-02-16,27873.512655566126
2023-02-17,27261.688715085085
2023-02-18,16213.738939473744
2023-02-19,18364.141836535153
2023-02-20,23595.91248247922
2023-02-21,11622.314296898028
2023-02-22,24015.957025940665
2023-02-23,18236.162351804156
2023-02-24,27537.680364304753
2023-02-25,18024.586896243745
2023-02-26,16568.69088470477
2023-02-27,8161.834019565202
2023-02-28,3442.8340194494604
2023-03-01,14933.903795883307
2023-03-02,14628.937190356835
2023-03-03,8862.606040024577
2023-03-04,16806.91976385
2023-03-05,6807.139060325797
2023-03-06,2853.752790859502
2023-03-07,29572.262969722557
2023-03-08,20007.816081685844
2023-03-09,30522.47981117632
2023-03-10,11641.616729086585
2023-03-11,10499.576993460745
2023-03-12,18326.687214621998
2023-03-13,31732.220800086656
2023-03-14,19679.722055001992
2023-03-15,5081.359033015537
2023-03-16,11100.843024743688
2023-03-17,36886.54240778157
2023-03-18,11159.189258939601
2023-03-19,11055.157993010833
2023-03-20,29387.343117819677
2023-03-21,10713.614690385708
2023-03-22,28059.713474367116
2023-03-23,24726.106910712533
2023-03-24,25151.270866996507
2023-03-25,22136.706794866164
2023-03-26,27364.374468430728
2023-03-27,9275.010916818104
2023-03-28,16055.914459063202
2023-03-29,25191.276951339973
2023-03-30,30001.182370164577
2023-03-31,27869.635491744644
2023-04-01,6344.3947035131605
2023-04-02,3032.206842600431
2023-04-03,5730.938874079492
2023-04-04,5057.998186981643
2023-04-05,4936.303358477487
2023-04-06,13426.801249726834
2023-04-07,12739.128222205141
2023-04-08,9032.24712908045
2023-04-09,0.0
2023-04-10,8698.459344680314
2023-04-11,18092.902320873538
2023-04-12,11368.217639918985
2023-04-13,19807.990577407494
2023-04-14,14948.066545009506
2023-04-15,15083.158142722099
2023-04-16,2729.4446060089654
2023-04-17,2641.8453975385837
2023-04-18,2453.75269022562
2023-04-19,2509.2371879042375
2023-04-20,1302.4258372170057
2023-04-21,0.0
2023-04-22,4537.537986861476
2023-04-23,8344.577080086496
2023-04-24,16843.50887172053
2023-04-25,15348.455335009166
2023-04-26,6120.175435568762
2023-04-27,2415.2971240444094
2023-04-28,0.0
2023-04-29,2219.7579376857047
2023-04-30,5039.0712662022715
2023-05-01,6791.016320502245
2023-05-02,1766.6617341664635
2023-05-03,2308.874553248088
2023-05-04,9354.974065236122
2023-05-05,0.0
2023-05-06,0.0
2023-05-07,589.4712108980581
2023-05-08,458.98666583195956
2023-05-09,0.0
2023-05-10,0.0
2023-05-11,0.0
