snapshot,solar
2023-01-01,330.4649032938981
2023-01-02,178.01473941855767
2023-01-03,1502.0466291453547
2023-01-04,158.53715132927533
2023-01-05,685.01025937085
2023-01-06,170.24247894994704
2023-01-07,371.82921108406
2023-01-08,298.0343774402531
2023-01-09,341.79569841643854
2023-01-10,2035.111846358624
2023-01-11,2319.9455496757087
2023-01-12,1416.3927476931385
2023-01-13,1472.5697840261364
2023-01-14,3222.3700651339936
2023-01-15,1843.505700818659
2023-01-16,4667.082853999568
2023-01-17,606.721543872613
2023-01-18,2079.0967722262917
2023-01-19,1036.9069981529128
2023-01-20,956.8831555679734
2023-01-21,2462.5166742615365
2023-01-22,5559.958671965408
2023-01-23,1162.503344447142
2023-01-24,593.7993014083715
2023-01-25,305.3620412289182
2023-01-26,6127.372684870144
2023-01-27,7297.713505019545
2023-01-28,1287.554474403683
2023-01-29,1713.7193228754097
2023-01-30,7888.744221970463
2023-01-31,1786.063459920305
2023-02-01,4285.054760310654
2023-02-02,8960.829457728787
2023-02-03,1382.568987733579
2023-02-04,9525.780261979506
2023-02-05,781.0639321404831
2023-02-06,4223.499944415359
2023-02-07,2777.4418491073397
2023-02-08,2264.1805912535406
2023-02-09,4006.394625255157
2023-02-10,7339.6079217724255
2023-02-11,8711.90240083451
2023-02-12,5785.732433171512
2023-02-13,9932.277481686906
2023-02-14,2419.64677491
2023-02-15,1614.8206654383594
2023-02-16,2113.9612249737825
2023-02-17,1601.8882016962132
2023-02-18,11139.973192641122
2023-02-19,9333.305891702388
2023-02-20,6635.12942236572
2023-02-21,11580.844720681189
2023-02-22,5439.5032626239445
2023-02-23,877.8037373185534
2023-02-24,1570.6109171619987
2023-02-25,12116.153032793412
2023-02-26,12178.706284484228
2023-02-27,10954.039450331633
2023-02-28,10730.370685209939
2023-03-01,12268.400458430533
2023-03-02,12639.648823571368
2023-03-03,12421.469876660649
2023-03-04,12200.802225182997
2023-03-05,13441.158597805657
2023-03-06,6984.795023900759
2023-03-07,2284.3239452480557
2023-03-08,14209.278142535994
2023-03-09,3944.8843658722117
2023-03-10,5771.318163847995
