snapshot,solar
2023-01-01,1670.873033087692
2023-01-02,900.065406709992
2023-01-03,7594.540848554867
2023-01-04,801.5842174412228
2023-01-05,3463.4999310448493
2023-01-06,860.7678586384936
2023-01-07,1880.0162907529511
2023-01-08,1506.9001253519577
2023-01-09,1728.1629898273854
2023-01-10,10289.787113561582
2023-01-11,11729.942933569368
2023-01-12,7161.463812926313
2023-01-13,7445.502130314938
2023-01-14,16292.717292501773
2023-01-15,9321.001810294812
2023-01-16,23511.097201225886
2023-01-17,3067.6621212888676
2023-01-18,10512.180553113274
2023-01-19,5242.735079473118
2023-01-20,4838.1242441121385
2023-01-21,12450.80086732576
2023-01-22,24622.62980725673
2023-01-23,5877.766352039864
2023-01-24,3002.3256022052688
2023-01-25,1543.949735455712
2023-01-26,28411.458898686127
2023-01-27,29492.69287293761
2023-01-28,6510.040940714427
2023-01-29,8664.785199072283
2023-01-30,29525.659839742635
2023-01-31,9030.56645597875
2023-02-01,21283.526037912867
2023-02-02,30245.79736962248
2023-02-03,6990.446534447581
2023-02-04,27777.685206688577
2023-02-05,3949.1596484916818
2023-02-06,21354.558659728307
2023-02-07,14043.103035711563
2023-02-08,11447.988135071471
2023-02-09,20256.846256659403
2023-02-10,25456.636195704265
2023-02-11,27164.645599381773
2023-02-12,27109.247563702018
2023-02-13,29106.327717395972
2023-02-14,12234.045145178887
2023-02-15,8164.740873417577
2023-02-16,10688.45970811127
2023-02-17,8099.352674238921
2023-02-18,26860.976941899815
2023-02-19,27171.460698527466
2023-02-20,25657.074396650038
2023-02-21,29936.340519201403
2023-02-22,22834.87176527215
2023-02-23,4438.288539599494
2023-02-24,7941.210702866089
2023-02-25,27929.134061593795
2023-02-26,27085.45131599908
2023-02-27,29087.496899057493
2023-02-28,29012.219789459552
2023-03-01,28907.996062234793
2023-03-02,28631.434654573473
2023-03-03,28822.781262538974
2023-03-04,26741.755599768272
2023-03-05,26376.62643466574
2023-03-06,29438.204717587803
2023-03-07,11549.835522342857
2023-03-08,30150.841547184376
2023-03-09,19945.842477931983
2023-03-10,29180.526552820305
2023-03-11,26914.459367175736
2023-03-12,27480.890765953714
2023-03-13,4258.2379140092935
2023-03-14,28726.338782615047
2023-03-15,29042.371686692582
2023-03-16,29087.925531375357
2023-03-17,9576.07783865588
2023-03-18,13519.035945793883
2023-03-19,17218.267180663806
2023-03-20,27737.793759536544
2023-03-21,28959.867998437276
2023-03-22,6345.756348311659
2023-03-23,14043.280576022778
2023-03-24,11042.633282508452
2023-03-25,22727.752322815486
2023-03-26,25091.70184396761
2023-03-27,31993.603120116433
2023-03-28,31585.21262394605
2023-03-29,17057.152148599973
2023-03-30,8422.2670473645
2023-03-31,9772.380602427911
2023-04-01,28632.10997504124
2023-04-02,27938.72040504483
2023-04-03,31812.326660652554
2023-04-04,31222.55159592727
2023-04-05,32146.702455273717
2023-04-06,30389.649196264752
2023-04-07,28786.818904366057
2023-04-08,26326.870999187635
2023-04-09,25096.295758521417
2023-04-10,25481.22138580237
2023-04-11,19946.632197700797
2023-04-12,31395.626509148107
2023-04-13,29830.635302063827
2023-04-14,29679.95803436856
2023-04-15,23758.13147701373
2023-04-16,27758.37716210473
2023-04-17,28981.46279022666
2023-04-18,28581.21911432849
2023-04-19,28191.288366634923
2023-04-20,28105.65286549283
2023-04-21,26963.77564042096
2023-04-22,23104.94190386076
2023-04-23,22431.660235012052
2023-04-24,28350.80481818865
2023-04-25,29022.78758548241
2023-04-26,30198.39849325639
2023-04-27,29901.528466906107
2023-04-28,29314.17411592537
2023-04-29,23974.91690622707
2023-04-30,24968.178332186206
2023-05-01,23928.567234663886
2023-05-02,29414.304607694918
2023-05-03,28728.039783841694
2023-05-04,29229.96764007032
2023-05-05,28524.58003114181
2023-05-06,24930.90360325545
2023-05-07,23612.787668883306
2023-05-08,27536.981596125137
2023-05-09,27590.996232533864
2023-05-10,27645.943026471745
2023-05-11,27757.317783762734
2023-05-12,25954.92668566077
2023-05-13,22454.68832516683
2023-05-14,21066.17748388153
2023-05-15,26247.218329221017
2023-05-16,27809.669708625548
2023-05-17,26467.56185238666
2023-05-18,23730.20961103278
2023-05-19,25001.17794723493
2023-05-20,21388.669350592045
2023-05-21,21537.862161938774
2023-05-22,25034.99331985909
2023-05-23,24844.567477624467
2023-05-24,28705.784777724126
2023-05-25,26496.331433782532
2023-05-26,25897.973134722597
2023-05-27,22407.935447380227
2023-05-28,22471.58576231836
2023-05-29,26676.273166348466
2023-05-30,27201.76769462449
2023-05-31,27591.568307292422
2023-06-01,27268.85277864163
