snapshot,backstop
2023-01-01,35443.98389034855
2023-01-08,281100.89117207134
2023-01-15,117510.36455207443
2023-01-22,106023.12030475732
2023-01-29,103000.95693472924
2023-02-05,9987.668041759422
2023-02-12,8986.552261094932
2023-02-19,28145.010871575974
2023-02-26,34917.33843571344
2023-03-05,0.0
2023-03-12,2442.7264140087805
2023-03-19,20460.38396342116
2023-03-26,3902.4520742469876
2023-04-02,2977.89349271441
2023-04-09,0.0
2023-04-16,0.0
2023-04-23,0.0
2023-04-30,0.0
2023-05-07,0.0
2023-05-14,0.0
2023-05-21,0.0
2023-05-28,0.0
2023-06-04,0.0
2023-06-11,0.0
2023-06-18,0.0
2023-06-25,0.0
2023-07-02,0.0
2023-07-09,0.0
2023-07-16,0.0
2023-07-23,0.0
2023-07-30,0.0
2023-08-06,0.0
2023-08-13,0.0
2023-08-20,0.0
2023-08-27,0.0
2023-09-03,0.0
2023-09-10,0.0
2023-09-17,0.0
2023-09-24,0.0
2023-10-01,0.0
2023-10-08,0.0
2023-10-15,0.0
2023-10-22,6483.8984896971415
2023-10-29,139263.8298310494
2023-11-05,100370.40890108509
2023-11-12,94790.36711234663
2023-11-19,78124.29968518579
2023-11-26,112448.81529598159
2023-12-03,111577.47345102011
2023-12-10,231885.89252844168
2023-12-17,234514.11992885917
2023-12-24,149741.95270112605
2023-12-31,175922.8068328959
