snapshot,solar
2023-01-01,6939.4826133514525
2023-01-02,3679.8163361589754
2023-01-03,40023.00026679501
2023-01-04,3118.8140368267204
2023-01-05,14555.994817707391
2023-01-06,3342.218943422775
2023-01-07,7960.113333595222
2023-01-08,6299.181198103316
2023-01-09,7189.007107677414
2023-01-10,46735.6278407546
2023-01-11,50666.031029500045
2023-01-12,30692.038017151677
2023-01-13,29421.868252853583
2023-01-14,61405.42910474721
2023-01-15,36269.9136793261
2023-01-16,78388.18593541569
2023-01-17,11901.350663726262
2023-01-18,36772.933968446414
2023-01-19,27266.111659528968
2023-01-20,21902.18812719804
2023-01-21,47886.367858281934
2023-01-22,75188.97398567098
2023-01-23,28238.341877535786
2023-01-24,13611.253466728202
2023-01-25,7129.127795800091
2023-01-26,77893.14312525436
2023-01-27,71727.93534290673
2023-01-28,34599.916403052855
2023-01-29,37341.42496788227
2023-01-30,78349.99196340474
2023-01-31,44717.68204039273
2023-02-01,77781.79731260709
2023-02-02,72899.9732273678
2023-02-03,34613.334449273185
2023-02-04,75645.30187885495
2023-02-05,24595.645666101467
2023-02-06,79189.12183083843
2023-02-07,59345.894331465766
2023-02-08,46243.54968506876
2023-02-09,74145.60952862373
2023-02-10,64563.55708857337
2023-02-11,67233.63018349129
2023-02-12,62165.40514246546
2023-02-13,69703.85233102574
2023-02-14,49210.26910006997
2023-02-15,34173.47400212672
2023-02-16,47484.121800386085
2023-02-17,30561.336472361076
2023-02-18,73412.05303807654
2023-02-19,60909.9613804985
2023-02-20,69218.23513563794
2023-02-21,70824.90310051708
2023-02-22,70890.27551840631
2023-02-23,21907.248346453496
2023-02-24,33247.23746278629
2023-02-25,75447.6206239052
2023-02-26,59151.51005555074
2023-02-27,64636.07642497024
2023-02-28,65951.55061959889
2023-03-01,65170.220643215536
2023-03-02,64918.93853725657
2023-03-03,63502.81285912615
2023-03-04,57972.330151030284
2023-03-05,56821.87419867889
2023-03-06,67623.44173046993
2023-03-07,40052.62142079201
2023-03-08,79740.89188737005
2023-03-09,74126.25385096956
2023-03-10,73278.6034273816
2023-03-11,64036.71094265595
2023-03-12,64101.3514150907
2023-03-13,17562.414744520658
2023-03-14,77176.6736681222
2023-03-15,69714.69296750292
2023-03-16,68697.2886327174
2023-03-17,37314.86545068916
2023-03-18,63187.684543452895
2023-03-19,66022.31480703197
2023-03-20,65577.51489268908
2023-03-21,68628.52577542441
2023-03-22,27679.652658013896
2023-03-23,60762.36574549781
2023-03-24,44365.7763996333
2023-03-25,75214.6051145193
2023-03-26,62420.948193095384
2023-03-27,72683.07093487795
2023-03-28,73426.21257466519
2023-03-29,72809.65340260498
2023-03-30,37634.02590826441
2023-03-31,44033.607542820915
2023-04-01,78052.31027122439
2023-04-02,52993.08287995126
2023-04-03,61431.20919084096
2023-04-04,61558.2872119002
2023-04-05,62499.0046827676
2023-04-06,62542.257862851795
2023-04-07,54737.93036354033
2023-04-08,49333.50590920734
2023-04-09,47644.10349210739
2023-04-10,48921.13862159867
2023-04-11,54818.38235653869
2023-04-12,56606.163219585076
2023-04-13,58773.283192945615
2023-04-14,58232.34507749745
2023-04-15,54000.76388108737
2023-04-16,47987.316809061434
2023-04-17,54942.47053540971
2023-04-18,53875.64839798294
2023-04-19,53842.31041914104
2023-04-20,53894.07015623103
2023-04-21,51690.73136446514
2023-04-22,44191.311544277
2023-04-23,43586.06865140032
2023-04-24,54458.64569596561
2023-04-25,58554.2364042024
2023-04-26,56060.75157977985
2023-04-27,55810.307554518484
2023-04-28,55300.20164480874
2023-04-29,46423.38943907841
2023-04-30,48600.00043227597
2023-05-01,45141.597535792134
2023-05-02,58948.80858101418
2023-05-03,53612.05958442821
2023-05-04,54983.123312191485
2023-05-05,55123.00081641988
2023-05-06,47083.88278879607
2023-05-07,45793.49147233717
2023-05-08,55259.95377786421
2023-05-09,53289.24022967566
2023-05-10,53841.72997511936
2023-05-11,52413.6606146482
2023-05-12,48377.136226395545
2023-05-13,41617.09784539368
2023-05-14,41359.68856563893
2023-05-15,49829.255396553606
2023-05-16,52254.07860208691
2023-05-17,51970.84311482316
2023-05-18,45127.23724553275
2023-05-19,47871.20176795909
2023-05-20,42688.039958959875
2023-05-21,41300.40596122014
2023-05-22,50581.668072600856
2023-05-23,50993.13500098648
2023-05-24,51478.756120472535
2023-05-25,50664.96090015368
2023-05-26,49624.41763584529
2023-05-27,43299.12037343102
2023-05-28,42859.44566303727
2023-05-29,53051.42326594427
2023-05-30,51676.80878899153
2023-05-31,53414.58954889183
2023-06-01,52535.14032639451
2023-06-02,50152.95120352594
2023-06-03,42180.166162704685
2023-06-04,42018.282448518585
2023-06-05,48640.71914111105
2023-06-06,45035.54949618045
2023-06-07,51597.61337708344
2023-06-08,52129.67321455778
2023-06-09,50924.783253861264
2023-06-10,43262.94095021453
2023-06-11,43458.292356992286
2023-06-12,50990.1033560917
2023-06-13,50518.75805577325
2023-06-14,51527.48773041542
2023-06-15,52608.81500298742
2023-06-16,50100.98932492126
2023-06-17,42491.2895053101
2023-06-18,43028.87186166543
2023-06-19,50098.343681232174
2023-06-20,51153.98272385258
2023-06-21,51568.860050699994
2023-06-22,48935.48104382854
2023-06-23,41069.60125767698
2023-06-24,37926.331842408836
2023-06-25,39360.491966410846
2023-06-26,49043.68214493638
2023-06-27,53085.60811533895
2023-06-28,52200.38163719228
2023-06-29,51712.07030029422
2023-06-30,48331.94381991522
2023-07-01,42009.09799927389
2023-07-02,40916.930449834894
2023-07-03,48390.21127107843
2023-07-04,49240.93925533729
2023-07-05,48358.846638870375
2023-07-06,55994.09346097754
2023-07-07,47313.48656299047
2023-07-08,41272.45287690145
2023-07-09,44522.15181772229
2023-07-10,42400.18079628006
2023-07-11,46988.270081214236
2023-07-12,44260.368164690626
2023-07-13,43560.71887925181
2023-07-14,42958.57567810747
2023-07-15,37974.32251341394
2023-07-16,39211.02567343632
2023-07-17,41914.9138025163
2023-07-18,41179.155214431565
2023-07-19,40961.68626769604
2023-07-20,39985.42072522074
2023-07-21,39610.187092847416
2023-07-22,35723.68261973443
2023-07-23,36599.365446366006
2023-07-24,39745.132001507
2023-07-25,40693.426050566704
2023-07-26,40301.09443621311
2023-07-27,45465.758797502975
2023-07-28,45923.0734751274
2023-07-29,36813.70214661427
2023-07-30,37254.35560400851
2023-07-31,40704.938806224105
2023-08-01,42158.232019139636
2023-08-02,43206.12130627475
2023-08-03,45037.4324474075
2023-08-04,42944.66917948087
2023-08-05,38206.03593319883
2023-08-06,35667.11085702972
2023-08-07,46726.28877325247
2023-08-08,36534.4313281928
2023-08-09,45535.29474838147
2023-08-10,66601.82346410697
2023-08-11,48322.93846255396
2023-08-12,42543.648155064075
2023-08-13,41505.41495736179
2023-08-14,51390.89941071743
2023-08-15,51275.45144656595
2023-08-16,52599.16298630316
2023-08-17,51100.154672610246
2023-08-18,48660.18301379255
2023-08-19,43325.95877179924
2023-08-20,44966.10104499845
2023-08-21,50719.7831904676
2023-08-22,51159.560611071414
2023-08-23,53403.18083403027
2023-08-24,52994.3972197408
2023-08-25,47409.64429694183
2023-08-26,42742.337386274354
2023-08-27,48970.897504160625
2023-08-28,53984.20623633967
2023-08-29,52043.5206747885
2023-08-30,51139.528714145505
2023-08-31,49067.91866586319
2023-09-01,53452.36969576303
2023-09-02,43234.32217383574
2023-09-03,43384.54923380614
2023-09-04,50582.57250124664
2023-09-05,52521.28011349733
2023-09-06,52150.82318267917
2023-09-07,53500.44403856533
2023-09-08,52673.356643819076
2023-09-09,44580.525309683464
2023-09-10,42970.37188260307
2023-09-11,49441.58195718814
2023-09-12,53244.55293835202
2023-09-13,51461.13856878079
2023-09-14,51810.653085089725
2023-09-15,51803.51139212083
2023-09-16,43936.698710613746
2023-09-17,43444.4920614428
2023-09-18,52357.32332048817
2023-09-19,53246.86383484658
2023-09-20,53861.618845209
2023-09-21,52897.4143978931
2023-09-22,51546.520324116085
2023-09-23,46331.990942183606
2023-09-24,43225.70128208712
2023-09-25,51802.35237322455
2023-09-26,52125.90816179189
2023-09-27,55569.857465319554
2023-09-28,54013.765300092185
2023-09-29,44882.33569273211
2023-09-30,52668.12678882862
2023-10-01,45671.91384854417
2023-10-02,54406.92342506987
2023-10-03,33145.225105099904
2023-10-04,73978.63264804169
2023-10-05,58817.59703351521
2023-10-06,59539.223107002996
2023-10-07,51748.76336148925
2023-10-08,52884.18008134847
2023-10-09,61100.246871796684
2023-10-10,56751.880237417376
2023-10-11,60975.24491870244
2023-10-12,58777.07204264896
2023-10-13,27677.33329552735
2023-10-14,71563.24938774637
2023-10-15,53070.285896573376
2023-10-16,63139.33965221348
2023-10-17,64244.54827128102
2023-10-18,62631.43430561549
2023-10-19,67230.43390596521
2023-10-20,67376.93443402555
2023-10-21,15585.420843035856
2023-10-22,46532.21858434882
2023-10-23,15732.12742139434
2023-10-24,19860.889168274436
2023-10-25,19509.389000545132
2023-10-26,25025.831304896572
2023-10-27,49388.46747974497
2023-10-28,37022.8050926624
2023-10-29,19309.465320545518
2023-10-30,31342.04714076808
2023-10-31,21456.909027317422
2023-11-01,74665.81690902768
2023-11-02,31939.500768980666
2023-11-03,43877.70330012705
2023-11-04,27792.637283319207
2023-11-05,30199.022201596003
2023-11-06,19230.176192710664
2023-11-07,77288.57992158574
2023-11-08,65194.303257443484
2023-11-09,17057.091389533096
2023-11-10,15928.051291693555
2023-11-11,47719.619622435974
2023-11-12,25722.59286609174
2023-11-13,80126.18751438962
2023-11-14,40613.13213007282
2023-11-15,24980.42295691583
2023-11-16,40978.816340852456
2023-11-17,58840.57087179445
2023-11-18,48075.58586549518
2023-11-19,40733.03032694807
2023-11-20,65111.44863458982
2023-11-21,25738.83203030061
2023-11-22,7855.491424865085
2023-11-23,42257.59095648273
2023-11-24,59548.06212073684
2023-11-25,68280.09073944789
2023-11-26,67966.5106248549
2023-11-27,48096.10526531676
2023-11-28,61270.571697221414
2023-11-29,23726.836905540396
2023-11-30,30895.609906308524
2023-12-01,63844.887574438624
2023-12-02,40295.55311423354
2023-12-03,67084.76014870638
2023-12-04,48691.16737650841
2023-12-05,61453.23539940446
2023-12-06,17621.423032530653
2023-12-07,13585.791267764338
2023-12-08,14897.973109473205
2023-12-09,8516.589714915055
2023-12-10,15785.149816647749
2023-12-11,11224.051356966125
2023-12-12,69099.95449763941
2023-12-13,29605.397047227085
2023-12-14,32855.61882182077
2023-12-15,27305.451474941765
2023-12-16,6216.339862166241
2023-12-17,1372.4764708728312
2023-12-18,20231.162614089935
2023-12-19,48947.97740176046
2023-12-20,61976.01914271938
2023-12-21,2723.1755692214615
2023-12-22,49730.866720637125
2023-12-23,67807.86276659723
2023-12-24,4747.487040373938
2023-12-25,24222.92562282574
2023-12-26,61077.38149974011
2023-12-27,69185.82673758575
2023-12-28,3429.591371582927
2023-12-29,11013.33461613042
2023-12-30,23008.938066868013
2023-12-31,8396.543086371223
