snapshot,solar
2023-01-01,6939.4826133514525
2023-01-08,78979.1389326094
2023-01-15,262379.91503201064
2023-01-22,299306.1121982683
2023-01-29,270541.1429791603
2023-02-05,408603.72653800197
2023-02-12,452886.7677905268
2023-02-19,365455.06812454463
2023-02-26,400687.03024325706
2023-03-05,438973.80343387654
2023-03-12,462959.8746747298
2023-03-19,399675.93481403723
2023-03-26,404649.3887788732
2023-04-02,431631.9635144091
2023-04-09,399746.2987132156
2023-04-16,379339.3931583143
2023-04-23,356022.6110689072
2023-04-30,375207.53275062947
2023-05-07,360685.96409097913
2023-05-14,346158.5072347356
2023-05-21,331041.06204713555
2023-05-28,339501.5037665271
2023-06-04,345029.36174497136
2023-06-11,335049.5717900008
2023-06-18,341266.3148371646
2023-06-25,320113.09256610996
2023-07-02,337299.71446678584
2023-07-09,335092.18188387784
2023-07-16,297353.4617863945
2023-07-23,275974.4111688125
2023-07-30,286196.54251154
2023-08-06,287924.5405487554
2023-08-13,327769.8398889135
2023-08-20,343317.91134678706
2023-08-27,347399.8010426869
2023-09-03,346306.41539454175
2023-09-10,348979.3736720941
2023-09-17,345142.62871358806
2023-09-24,353467.43294682365
2023-10-01,356734.2596305331
2023-10-08,384520.5447615674
2023-10-15,389915.31265041255
2023-10-22,386740.32999648544
2023-10-29,185848.97478806335
2023-11-05,261273.63663113612
2023-11-12,268140.4145414942
2023-11-19,334347.7460064684
2023-11-26,336758.02653127786
2023-12-03,335214.3246117656
2023-12-10,180551.32971724388
2023-12-17,177679.28953163422
2023-12-24,256164.55125539954
2023-12-31,200334.5410011042
