snapshot,h2
2023-01-01,0.0
2023-01-02,0.0
2023-01-03,0.0
2023-01-04,0.0
2023-01-05,0.0
2023-01-06,0.0
2023-01-07,0.0
2023-01-08,0.0
2023-01-09,0.0
2023-01-10,0.0
2023-01-11,0.0
2023-01-12,0.0
2023-01-13,2.7358174564026173e-14
2023-01-14,-345.71920922131034
2023-01-15,0.0
2023-01-16,-1037.157627663931
2023-01-17,0.0
2023-01-18,0.0
2023-01-19,1200.0
2023-01-20,182.87683688524123
2023-01-21,0.0
2023-01-22,-1037.157627663931
2023-01-23,8.86757334228605e-12
2023-01-24,1037.157627663922
2023-01-25,0.0
2023-01-26,-1728.5960461065517
2023-01-27,-2074.3152553278624
2023-01-28,1102.9113014344114
2023-01-29,1800.0000000000023
2023-01-30,-828.5960461065588
2023-01-31,-1231.3350247951
2023-02-01,-1728.5960461065508
2023-02-02,-1474.3152553278626
2023-02-03,2400.000000000001
2023-02-04,462.8423723360689
2023-02-05,2400.0000000000014
2023-02-06,-137.15762766393095
2023-02-07,0.0
2023-02-08,0.0
2023-02-09,-345.719209221314
2023-02-10,-2765.7536737704827
2023-02-11,-2765.753673770481
2023-02-12,-2765.753673770484
2023-02-13,-819.8621418033142
2023-02-14,2399.9999999999973
2023-02-15,2399.999999999999
2023-02-16,2399.999999999999
2023-02-17,2400.0
2023-02-18,-828.596046106552
2023-02-19,-2765.753673770481
2023-02-20,-2765.7536737704822
2023-02-21,-2765.7536737704854
2023-02-22,1525.684744672137
2023-02-23,5200.172322745859
2023-02-24,2400.0
2023-02-25,-137.1576276639321
2023-02-26,-1037.1576276639335
2023-02-27,-1037.157627663927
2023-02-28,-1037.15762766393
2023-03-01,-1037.1576276639307
2023-03-02,-1382.8768368852407
2023-03-03,-1382.876836885241
2023-03-04,-1382.876836885242
2023-03-05,-1382.8768368852434
2023-03-06,2217.1231631147575
2023-03-07,6900.000000000027
2023-03-08,-128.4237233607205
2023-03-09,-2765.7536737704813
2023-03-10,-2765.7536737704822
2023-03-11,-2765.753673770484
2023-03-12,1525.6847446721358
2023-03-13,7600.172322745842
2023-03-14,-828.5960461065356
2023-03-15,-2765.7536737704827
2023-03-16,-2074.315255327892
2023-03-17,5668.664975204926
2023-03-18,-828.596046106552
2023-03-19,-2765.7536737704822
2023-03-20,-2765.7536737704813
2023-03-21,182.68396837708906
2023-03-22,3900.0000000000005
2023-03-23,900.0
2023-03-24,1377.4194252704235
2023-03-25,-828.5960461065501
2023-03-26,-2765.753673770483
2023-03-27,-2765.7536737704822
2023-03-28,-2765.7536737704827
2023-03-29,1525.6847446721358
2023-03-30,5500.172322745853
2023-03-31,2400.0000000000027
2023-04-01,600.0000000000007
2023-04-02,0.0
2023-04-03,0.0
2023-04-04,0.0
2023-04-05,0.0
2023-04-06,0.0
2023-04-07,0.0
2023-04-08,0.0
2023-04-09,0.0
2023-04-10,0.0
2023-04-11,0.0
2023-04-12,0.0
2023-04-13,0.0
2023-04-14,0.0
2023-04-15,0.0
2023-04-16,0.0
2023-04-17,0.0
2023-04-18,0.0
2023-04-19,0.0
2023-04-20,0.0
2023-04-21,0.0
2023-04-22,0.0
2023-04-23,0.0
2023-04-24,0.0
2023-04-25,0.0
2023-04-26,0.0
2023-04-27,0.0
2023-04-28,0.0
2023-04-29,0.0
2023-04-30,-691.4384184426202
2023-05-01,0.0
2023-05-02,-345.71920922131005
2023-05-03,0.0
2023-05-04,0.0
2023-05-05,0.0
2023-05-06,0.0
2023-05-07,0.0
2023-05-08,-691.4384184426203
2023-05-09,-345.71920922130244
2023-05-10,1.3642420526593924e-12
2023-05-11,9.094947017729282e-13
2023-05-12,4.547473508864641e-13
2023-05-13,4.547473508864641e-13
2023-05-14,4.547473508864641e-13
2023-05-15,1.3642420526593924e-12
2023-05-16,1.3642420526593924e-12
2023-05-17,1.8189894035458565e-12
2023-05-18,1.3642420526593924e-12
2023-05-19,-691.4384184426226
2023-05-20,-345.71920922130676
2023-05-21,4.547473508864641e-13
2023-05-22,9.094947017729282e-13
2023-05-23,1.3642420526593924e-12
2023-05-24,1.8189894035458565e-12
2023-05-25,1.3642420526593924e-12
2023-05-26,1.3642420526593924e-12
2023-05-27,-345.71920922130903
2023-05-28,-345.7192092213154
2023-05-29,-345.71920922131085
2023-05-30,3.637978807091713e-12
2023-05-31,2.7284841053187847e-12
2023-06-01,2.7284841053187847e-12
2023-06-02,3.637978807091713e-12
2023-06-03,2.7284841053187847e-12
2023-06-04,9.094947017729282e-13
2023-06-05,-345.71920922130903
2023-06-06,-345.71920922131085
2023-06-07,0.0
2023-06-08,0.0
2023-06-09,0.0
2023-06-10,0.0
2023-06-11,0.0
2023-06-12,0.0
2023-06-13,0.0
2023-06-14,0.0
2023-06-15,0.0
2023-06-16,0.0
2023-06-17,0.0
2023-06-18,0.0
2023-06-19,0.0
2023-06-20,0.0
2023-06-21,0.0
2023-06-22,0.0
2023-06-23,0.0
2023-06-24,0.0
2023-06-25,0.0
2023-06-26,0.0
2023-06-27,0.0
2023-06-28,0.0
2023-06-29,0.0
2023-06-30,0.0
2023-07-01,0.0
2023-07-02,0.0
2023-07-03,0.0
2023-07-04,0.0
2023-07-05,0.0
2023-07-06,0.0
2023-07-07,-691.4384184426208
2023-07-08,-3.637978807091713e-12
2023-07-09,-1.8189894035458565e-12
2023-07-10,-2.7284841053187847e-12
2023-07-11,-2.7284841053187847e-12
2023-07-12,-9.094947017729282e-13
2023-07-13,-7.411513893463052
2023-07-14,0.0
2023-07-15,0.0
2023-07-16,0.0
2023-07-17,0.0
2023-07-18,0.0
2023-07-19,0.0
2023-07-20,0.0
2023-07-21,0.0
2023-07-22,0.0
2023-07-23,0.0
2023-07-24,0.0
2023-07-25,0.0
2023-07-26,0.0
2023-07-27,0.0
2023-07-28,9.094947017729282e-13
2023-07-29,0.0
2023-07-30,-345.71920922130994
2023-07-31,0.0
2023-08-01,0.0
2023-08-02,0.0
2023-08-03,-316.8278160212776
2023-08-04,-1.8189894035458565e-12
2023-08-05,-9.094947017729282e-13
2023-08-06,-9.094947017729282e-13
2023-08-07,-1.8189894035458565e-12
2023-08-08,-3.637978807091713e-12
2023-08-09,-2.7284841053187847e-12
2023-08-10,-345.7192092213145
2023-08-11,-345.7192092213181
2023-08-12,0.0
2023-08-13,0.0
2023-08-14,0.0
2023-08-15,0.0
2023-08-16,0.0
2023-08-17,0.0
2023-08-18,0.0
2023-08-19,-345.71920922131176
2023-08-20,-691.4384184426281
2023-08-21,0.0
2023-08-22,0.0
2023-08-23,0.0
2023-08-24,0.0
2023-08-25,0.0
2023-08-26,0.0
2023-08-27,-345.71920922131176
2023-08-28,-345.71920922130994
2023-08-29,0.0
2023-08-30,0.0
2023-08-31,0.0
2023-09-01,0.0
2023-09-02,0.0
2023-09-03,0.0
2023-09-04,0.0
2023-09-05,0.0
2023-09-06,0.0
2023-09-07,0.0
2023-09-08,0.0
2023-09-09,0.0
2023-09-10,0.0
2023-09-11,0.0
2023-09-12,0.0
2023-09-13,0.0
2023-09-14,0.0
2023-09-15,-21.479879306477674
2023-09-16,0.0
2023-09-17,0.0
2023-09-18,0.0
2023-09-19,0.0
2023-09-20,0.0
2023-09-21,0.0
2023-09-22,0.0
2023-09-23,0.0
2023-09-24,0.0
2023-09-25,0.0
2023-09-26,0.0
2023-09-27,0.0
2023-09-28,-345.71920922131034
2023-09-29,0.0
2023-09-30,-1037.1576276640017
2023-10-01,-1037.157627663932
2023-10-02,-1037.157627663934
2023-10-03,1990.978699655715
2023-10-04,4577.686275549182
2023-10-05,-1037.1576276639335
2023-10-06,-345.71920922129357
2023-10-07,-1037.1576276639266
2023-10-08,-1037.157627663934
2023-10-09,-1037.1576276639307
2023-10-10,-345.71920922130994
2023-10-11,-691.4384184426261
2023-10-12,-1037.157627663929
2023-10-13,9272.46367392633
2023-10-14,1790.5510211555713
2023-10-15,-2074.3152553278605
2023-10-16,-1728.5960461065513
2023-10-17,-1728.596046106551
2023-10-18,-1728.5960461065492
2023-10-19,-1728.5960461065551
2023-10-20,-2074.3152553278637
2023-10-21,0.0
2023-10-22,600.0
2023-10-23,1200.0000000000018
2023-10-24,1800.0
2023-10-25,2100.0
2023-10-26,1500.0000000000027
2023-10-27,900.0
2023-10-28,300.00000000000847
2023-10-29,1200.0000000000132
2023-10-30,1200.0000000000375
2023-10-31,1000.1723227458617
2023-11-01,-391.43841844262124
2023-11-02,0.0
2023-11-03,391.43841844262147
2023-11-04,0.0
2023-11-05,300.00000000000136
2023-11-06,0.0
2023-11-07,-1728.5960461065517
2023-11-08,-1728.5960461065524
2023-11-09,300.0
2023-11-10,2099.9999999999995
2023-11-11,900.0000000000005
2023-11-12,0.0
2023-11-13,-879.9655354508266
2023-11-14,0.0
2023-11-15,737.157627663931
2023-11-16,300.0
2023-11-17,0.0
2023-11-18,0.0
2023-11-19,0.0
2023-11-20,-345.7192092213109
2023-11-21,345.7192092213109
2023-11-22,0.0
2023-11-23,0.0
2023-11-24,-345.71920922131034
2023-11-25,-1428.5960461065515
2023-11-26,-1728.5960461065508
2023-11-27,0.0
2023-11-28,600.0
2023-11-29,1200.0
2023-11-30,1199.9999999999998
2023-12-01,157.19209221310285
2023-12-02,300.00000000000006
2023-12-03,-300.0000000000001
2023-12-04,0.0
2023-12-05,300.00000000000006
2023-12-06,45.71920922131036
2023-12-07,0.0
2023-12-08,0.0
2023-12-09,0.0
2023-12-10,0.0
2023-12-11,0.0
2023-12-12,-345.71920922131034
2023-12-13,45.71920922131034
2023-12-14,300.0
2023-12-15,0.0
2023-12-16,0.0
2023-12-17,0.0
2023-12-18,0.0
2023-12-19,-345.71920922131034
2023-12-20,300.0
2023-12-21,45.71920922131034
2023-12-22,0.0
2023-12-23,-691.4384184426207
2023-12-24,691.4384184426207
2023-12-25,0.0
2023-12-26,-1046.126943840381
2023-12-27,-691.4384184426208
2023-12-28,1137.5653622830018
2023-12-29,600.0
2023-12-30,0.0
2023-12-31,0.0
