snapshot,backstop
2023-01-01,34408.99273301043
2023-01-02,46369.4296577806
2023-01-03,17862.35780262
2023-01-04,47495.85890940129
2023-01-05,45827.354887555965
2023-01-06,45871.15993680752
2023-01-07,38379.47236713794
2023-01-08,40575.39826121461
2023-01-09,43237.98694839678
2023-01-10,33598.76654717064
2023-01-11,37604.20169105656
2023-01-12,40703.01351642508
2023-01-13,34570.64041833748
2023-01-14,14739.353562780001
2023-01-15,11772.125501838342
2023-01-16,0.0
2023-01-17,11362.937805469384
2023-01-18,21483.40845637446
2023-01-19,18033.679819321806
2023-01-20,28448.59569140381
2023-01-21,16345.72643325
2023-01-22,0.0
2023-01-23,0.0
2023-01-24,17392.00687379824
2023-01-25,44753.66309666059
2023-01-26,17792.04043875
2023-01-27,0.0
2023-01-28,0.0
2023-01-29,15941.323331855345
2023-01-30,17146.51222185
2023-01-31,0.0
2023-02-01,0.0
2023-02-02,0.0
2023-02-03,0.0
2023-02-04,13793.261700530631
2023-02-05,0.0
2023-02-06,14039.815995171357
2023-02-07,0.0
2023-02-08,2874.275642945099
2023-02-09,16703.22046646993
2023-02-10,3699.511037057344
2023-02-11,0.0
2023-02-12,0.0
2023-02-13,0.0
2023-02-14,0.0
2023-02-15,0.0
2023-02-16,12636.59699027363
2023-02-17,32205.54019942693
2023-02-18,14682.912925199998
2023-02-19,0.0
2023-02-20,0.0
2023-02-21,0.0
2023-02-22,0.0
2023-02-23,8023.589517638063
2023-02-24,23344.515087636973
2023-02-25,16919.42720595
2023-02-26,0.0
2023-02-27,0.0
2023-02-28,0.0
2023-03-01,0.0
2023-03-02,0.0
2023-03-03,0.0
2023-03-04,0.0
2023-03-05,0.0
2023-03-06,0.0
2023-03-07,0.0
2023-03-08,0.0
2023-03-09,0.0
2023-03-10,0.0
2023-03-11,0.0
2023-03-12,0.0
2023-03-13,7617.815405050116
2023-03-14,17767.289301539997
2023-03-15,0.0
2023-03-16,0.0
2023-03-17,0.0
2023-03-18,0.0
2023-03-19,1863.7220644691495
2023-03-20,0.0
2023-03-21,0.0
2023-03-22,0.0
2023-03-23,5119.783338421404
2023-03-24,0.0
