snapshot,backstop
2023-01-01,34408.99273301043
2023-01-08,282381.0318225179
2023-01-15,216226.0881860049
2023-01-22,95674.34820581946
2023-01-29,95879.03374106418
2023-02-05,30939.773922380635
2023-02-12,37316.823141643734
2023-02-19,59525.05011490056
2023-02-26,48287.53181122504
2023-03-05,0.0
2023-03-12,0.0
2023-03-19,27248.826771059263
2023-03-26,5119.783338421404
2023-04-02,2614.1306052623277
2023-04-09,0.0
2023-04-16,0.0
2023-04-23,0.0
2023-04-30,0.0
2023-05-07,0.0
2023-05-14,0.0
2023-05-21,0.0
2023-05-28,0.0
2023-06-04,0.0
2023-06-11,0.0
2023-06-18,0.0
2023-06-25,0.0
2023-07-02,0.0
2023-07-09,0.0
2023-07-16,0.0
2023-07-23,0.0
2023-07-30,0.0
2023-08-06,0.0
2023-08-13,0.0
2023-08-20,0.0
2023-08-27,0.0
2023-09-03,0.0
2023-09-10,0.0
2023-09-17,0.0
2023-09-24,0.0
2023-10-01,0.0
2023-10-08,11324.450453929607
2023-10-15,0.0
2023-10-22,13112.993614844097
2023-10-29,152770.65985875824
2023-11-05,152986.77937588893
2023-11-12,128740.6850051216
2023-11-19,140115.6426064985
2023-11-26,151570.68592550504
2023-12-03,175584.0501754813
2023-12-10,252051.14183782117
2023-12-17,271452.18316282093
2023-12-24,216326.1274960999
2023-12-31,211271.47415401298
