snapshot,solar
2023-01-01,7974.473770689565
2023-01-02,3159.801419839395
2023-01-03,44917.338286049424
2023-01-04,3035.307423099093
2023-01-05,9858.752410883972
2023-01-06,4526.22261926248
2023-01-07,8064.486533657686
2023-01-08,4156.174129085389
2023-01-09,8853.94925756322
2023-01-10,19517.388414445075
2023-01-11,15422.834056040836
2023-01-12,11994.748437998569
2023-01-13,15802.754780476775
2023-01-14,34290.09952307292
2023-01-15,55105.282204709016
2023-01-16,73270.53618561507
2023-01-17,12420.535377914184
2023-01-18,49048.31611141641
2023-01-19,22736.309587468208
2023-01-20,25327.00765250776
2023-01-21,62453.177629642
2023-01-22,70895.17245917706
2023-01-23,45920.36785088954
2023-01-24,21913.45946437971
2023-01-25,8338.720442910677
2023-01-26,73151.2972286749
2023-01-27,71475.77938934795
2023-01-28,21433.04995085963
2023-01-29,23880.16719895952
2023-01-30,74269.04014751334
2023-01-31,54332.41252525536
2023-02-01,66551.72150311661
2023-02-02,76036.6442291134
2023-02-03,30499.776738458182
2023-02-04,71348.59322671226
2023-02-05,23843.463997985316
2023-02-06,74937.65551055779
2023-02-07,44044.50407662508
2023-02-08,37928.57455610094
2023-02-09,53700.325000803896
2023-02-10,70056.41421126602
2023-02-11,64633.94654170911
2023-02-12,61566.53612299788
2023-02-13,66899.43059693967
2023-02-14,39555.070062211715
2023-02-15,43383.77932154421
2023-02-16,32664.141318741582
2023-02-17,16948.777630040644
2023-02-18,69011.10602141575
2023-02-19,60903.79107769179
2023-02-20,69521.17360509654
2023-02-21,70818.73279771037
2023-02-22,70885.8906040813
2023-02-23,15968.477195888217
2023-02-24,29351.24802347202
2023-02-25,71046.61846215632
2023-02-26,59732.837967674
2023-02-27,64626.5180314512
2023-02-28,65941.93708099175
2023-03-01,65108.48792234933
2023-03-02,65575.2260153986
2023-03-03,64170.53441138772
2023-03-04,57831.985898860454
2023-03-05,57379.02112913597
2023-03-06,67667.9832768393
2023-03-07,47049.009617346164
2023-03-08,74668.77827322567
2023-03-09,73991.41479101575
2023-03-10,73273.30979848922
2023-03-11,64030.54063984927
2023-03-12,64095.181112284
2023-03-13,16625.964042139552
2023-03-14,72480.13810606214
2023-03-15,69708.57780978434
2023-03-16,69311.53985135497
2023-03-17,42370.50298395886
2023-03-18,35181.06394768435
2023-03-19,67360.02886190919
2023-03-20,65647.91905867762
2023-03-21,68496.02238152741
2023-03-22,30313.95414570501
2023-03-23,70329.67270733124
2023-03-24,37247.027112610536
2023-03-25,68924.19315217825
2023-03-26,62194.5891043571
2023-03-27,71767.83757688626
2023-03-28,72968.83407179295
2023-03-29,47184.45839440987
2023-03-30,50851.59125076471
2023-03-31,50375.00694629419
2023-04-01,74510.72796247121
2023-04-02,52952.53879945287
2023-04-03,62208.98212331181
2023-04-04,61717.1639839383
2023-04-05,62600.471775878585
2023-04-06,62756.11767183944
2023-04-07,54014.614228446015
2023-04-08,51956.94204292173
2023-04-09,46920.21597896808
2023-04-10,49048.03385175926
2023-04-11,55275.07942158442
2023-04-12,56639.62707330816
2023-04-13,57917.85114274069
2023-04-14,58699.21509955774
2023-04-15,53709.626335367226
2023-04-16,46969.83183020856
2023-04-17,55058.72755080076
2023-04-18,55219.87235089538
2023-04-19,53787.30467699647
2023-04-20,53864.74099135414
2023-04-21,51644.574579752116
2023-04-22,44029.242005031534
2023-04-23,43557.092026280836
2023-04-24,53948.2747027355
2023-04-25,59320.22774737309
2023-04-26,55729.1730360396
2023-04-27,56578.34475155571
2023-04-28,55051.75259377094
2023-04-29,45926.336494810785
2023-04-30,47391.4511057985
2023-05-01,47346.18808268535
2023-05-02,56101.60566709423
2023-05-03,54973.18061801166
2023-05-04,56221.0680556469
2023-05-05,54601.83915403145
2023-05-06,47074.065135363664
2023-05-07,45783.673818904776
2023-05-08,53467.38451733144
2023-05-09,52595.42537428835
2023-05-10,53831.91232168696
2023-05-11,52403.62932167282
2023-05-12,49418.09980561834
2023-05-13,42040.824996316165
2023-05-14,41798.378407021715
2023-05-15,50959.82547353023
2023-05-16,52243.83301171037
2023-05-17,51959.99411772374
2023-05-18,45117.419592100334
2023-05-19,47113.874256562725
2023-05-20,42051.17040229922
2023-05-21,40844.69334622582
2023-05-22,50571.85041916847
2023-05-23,50279.81301320999
2023-05-24,53021.36682010108
2023-05-25,50624.23392470222
2023-05-26,49614.59998241289
2023-05-27,42708.32640327234
2023-05-28,42250.262173082316
2023-05-29,52442.239775989314
2023-05-30,52837.43996290562
2023-05-31,53404.77189545944
2023-06-01,52525.32267296213
2023-06-02,51236.15639187471
2023-06-03,42170.34850927227
2023-06-04,42909.72048129014
2023-06-05,48565.97098973123
2023-06-06,43947.11180136676
2023-06-07,51561.38490426342
2023-06-08,52087.484889761006
2023-06-09,50881.41002546044
2023-06-10,43188.907456093744
2023-06-11,43408.675190486734
2023-06-12,50943.113621433644
2023-06-13,51604.50670917799
2023-06-14,52643.37964610585
2023-06-15,51969.47387831967
2023-06-16,49997.24664955239
2023-06-17,42414.9001795265
2023-06-18,42996.20379639413
2023-06-19,50661.53187920494
2023-06-20,51139.29266868939
2023-06-21,51534.54344059144
2023-06-22,48903.903539862906
2023-06-23,40585.94470229254
2023-06-24,37872.91067016392
2023-06-25,39691.88343301267
2023-06-26,49267.394583314264
2023-06-27,52130.78719638293
2023-06-28,51566.64640498603
2023-06-29,51674.731369503825
2023-06-30,48312.110092683964
2023-07-01,40456.073492747506
2023-07-02,41266.169921951696
2023-07-03,48382.192180975624
2023-07-04,49311.96409223232
2023-07-05,48213.236634768145
2023-07-06,49299.346570493886
2023-07-07,46628.49568666177
2023-07-08,39297.81582961024
2023-07-09,39766.36355682472
2023-07-10,42833.413150420325
2023-07-11,46566.440899424684
2023-07-12,44256.68293272901
2023-07-13,44975.58998761898
2023-07-14,43420.201525732584
2023-07-15,38386.88885257251
2023-07-16,38389.31509629789
2023-07-17,42355.64243025845
2023-07-18,41636.91315567911
2023-07-19,40951.86861426362
2023-07-20,40385.66900584931
2023-07-21,40423.65670484451
2023-07-22,36102.2928981556
2023-07-23,37387.93116993172
2023-07-24,40598.77815136549
2023-07-25,40748.27707745259
2023-07-26,40523.80557519008
2023-07-27,40302.74189477848
2023-07-28,41190.0176464469
2023-07-29,36884.6945436012
2023-07-30,36644.06221199914
2023-07-31,41636.37157273805
2023-08-01,41348.05464421096
2023-08-02,44063.70951235755
2023-08-03,44476.529926344505
2023-08-04,42934.88928330509
2023-08-05,38610.923375440325
2023-08-06,37526.41990826548
2023-08-07,48581.47312227601
2023-08-08,28719.438526843434
2023-08-09,38473.86795600827
2023-08-10,77414.22107769741
2023-08-11,48267.19094163789
2023-08-12,40780.46180152314
2023-08-13,42806.9933098671
2023-08-14,50038.65383224552
2023-08-15,50921.09464831372
2023-08-16,54791.31346118532
2023-08-17,50911.30309568401
2023-08-18,50065.003465355294
2023-08-19,43357.18494288124
2023-08-20,42084.18974508777
2023-08-21,50346.1946776917
2023-08-22,51734.93337607533
2023-08-23,52914.04234550665
2023-08-24,52188.56498432169
2023-08-25,46944.779768358465
2023-08-26,43349.663726256615
2023-08-27,43851.42315727353
2023-08-28,48697.40003645561
2023-08-29,51219.56445055791
2023-08-30,50516.486728207805
2023-08-31,50156.27275283768
2023-09-01,52319.47368662016
2023-09-02,43279.09440000543
2023-09-03,42363.112740897144
2023-09-04,50211.25832593272
2023-09-05,52625.974673847544
2023-09-06,52355.87905812145
2023-09-07,53877.9903103042
2023-09-08,52011.773571790414
2023-09-09,44206.18245753801
2023-09-10,42855.488957174886
2023-09-11,49982.25308558624
2023-09-12,53543.30012716771
2023-09-13,51898.35221978184
2023-09-14,51164.36551156949
2023-09-15,51527.92566089946
2023-09-16,44393.90472353003
2023-09-17,42978.14484234489
2023-09-18,51205.29654232083
2023-09-19,53901.81723007414
2023-09-20,53392.79648247435
2023-09-21,53776.15949225589
2023-09-22,52318.19501551898
2023-09-23,45828.07861756086
2023-09-24,44295.36318170678
2023-09-25,53609.89903821777
2023-09-26,55162.278332219124
2023-09-27,54965.568358388846
2023-09-28,54614.357105420655
2023-09-29,54667.66249012231
2023-09-30,45484.446524736595
2023-10-01,46044.53134607457
2023-10-02,54262.65464899682
2023-10-03,14584.101238602336
2023-10-04,70835.85709878094
2023-10-05,62842.016602226475
2023-10-06,33095.0420031393
2023-10-07,67444.35320790166
2023-10-08,54533.62041253078
2023-10-09,61775.198855052426
2023-10-10,58298.1040902159
2023-10-11,63927.9931672219
2023-10-12,60692.62406033349
2023-10-13,35175.165291484285
2023-10-14,66918.07048157725
2023-10-15,52164.712402162935
2023-10-16,63131.15904888025
2023-10-17,65874.47073207941
2023-10-18,63280.91228644877
2023-10-19,67871.49042449667
