snapshot,solar
2023-01-01,7974.473770689565
2023-01-08,77718.08282187744
2023-01-15,160987.0566743064
2023-01-22,316151.0550037407
2023-01-29,266112.84152602195
2023-02-05,396881.6523681545
2023-02-12,406867.9560200607
2023-02-19,329366.09602858534
2023-02-26,387324.97865607875
2023-03-05,440633.71048957505
2023-03-12,464776.2175090494
2023-03-19,373037.8156028934
2023-03-26,403153.37766238715
2023-04-02,420610.9950020721
2023-04-09,402174.50780530396
2023-04-16,378259.2647545261
2023-04-23,357161.5541811112
2023-04-30,373945.56043208414
2023-05-07,362101.62053173804
2023-05-14,345555.6547439358
2023-05-21,330290.81020015245
2023-05-28,339070.4527359493
2023-06-04,347525.99968975363
2023-06-11,333640.9452571633
2023-06-18,342568.8244805102
2023-06-25,320390.0103338178
2023-07-02,334673.9130615702
2023-07-09,320899.4145515667
2023-07-16,298828.532444796
2023-07-23,279243.9739789823
2023-07-30,276892.37710083387
2023-08-06,290596.898222662
2023-08-13,325043.6467358532
2023-08-20,342168.74319075287
2023-08-27,341329.602035484
2023-09-03,338551.40479558177
2023-09-10,348144.54735470924
2023-09-17,345488.2461708797
2023-09-24,354717.7065619118
2023-10-01,364548.74319517985
2023-10-08,357597.6452121783
2023-10-15,398951.8683480482
2023-10-22,381315.7960110611
2023-10-29,176014.28237651987
2023-11-05,205775.3656097355
2023-11-12,220266.52790324762
2023-11-19,255950.61311765175
2023-11-26,290870.0331002508
2023-12-03,255291.10240277072
2023-12-10,171693.65644770005
2023-12-17,136684.2534659996
2023-12-24,184516.80093666975
2023-12-31,160555.44447475314
