snapshot,battery
2023-01-01,4.547473508864641e-12
2023-01-08,-125.56159652031732
2023-01-15,-20454.86549386535
2023-01-22,-11150.564438739091
2023-01-29,30930.177690319426
2023-02-05,-5975.005118845139
2023-02-12,-23756.996375851075
2023-02-19,-250.0750910739207
2023-02-26,-1643.7162481908708
2023-03-05,-372.8448046242029
2023-03-12,-2313.665237685407
2023-03-19,2036.6930022673005
2023-03-26,540.388417313332
2023-04-02,-4328.145168328811
2023-04-09,-3650.919083323319
2023-04-16,-1175.9674522115529
2023-04-23,-3111.468041945962
2023-04-30,-959.3800112086146
2023-05-07,-475.2825890130025
2023-05-14,-1207.4690406298005
2023-05-21,-760.00354251096
2023-05-28,-485.77469203860073
2023-06-04,-695.2961547337482
2023-06-11,-471.14794314968276
2023-06-18,-803.2072519629464
2023-06-25,-766.7243183918517
2023-07-02,-711.2139864520304
2023-07-09,-870.3818987040604
2023-07-16,-855.342923217283
2023-07-23,-834.8660992198584
2023-07-30,-655.0763702911318
2023-08-06,546.0127934621632
2023-08-13,-1031.9270016335558
2023-08-20,396.0498733018576
2023-08-27,-169.27574807279143
2023-09-03,1930.2393966681439
2023-09-10,1126.7009693099499
2023-09-17,-69.08589782976014
2023-09-24,-629.4794878642533
2023-10-01,-304.84197446476446
2023-10-08,1337.3735675376238
2023-10-15,-703.7212940919271
2023-10-22,17437.34456171744
2023-10-29,13410.993423935734
2023-11-05,-184.54595900641198
2023-11-12,-226.06474621998132
2023-11-19,-201.45697864909926
2023-11-26,-22708.372409669835
2023-12-03,9988.14633534947
2023-12-10,12152.366725768536
2023-12-17,-146.30107488236695
2023-12-24,-165.34473830314437
2023-12-31,-197.25379816358372
