snapshot,backstop
2023-01-01,34610.020945087264
2023-01-02,47192.474914176746
2023-01-03,17862.35780262
2023-01-04,42473.95120806931
2023-01-05,45688.32233250422
2023-01-06,46264.68501900679
2023-01-07,40083.48709909139
2023-01-08,41528.86100336236
2023-01-09,45495.569860464915
2023-01-10,39589.794045800474
2023-01-11,42466.998822876856
2023-01-12,43092.016218343415
2023-01-13,36481.658322396186
2023-01-14,23377.197507569937
2023-01-15,18730.592550459576
2023-01-16,17688.72750696
2023-01-17,20905.60301179336
2023-01-18,26527.71304739434
2023-01-19,21487.78205603009
2023-01-20,41066.46366655051
2023-01-21,16345.72643325
2023-01-22,5026.674494383567
2023-01-23,11990.431645997798
2023-01-24,43704.28499654118
2023-01-25,44796.62575416719
2023-01-26,17965.36543875
2023-01-27,0.0
2023-01-28,0.0
2023-01-29,7262.308413521041
2023-01-30,10491.738421487706
2023-01-31,0.0
2023-02-01,2119.987639417182
2023-02-02,6058.052438324055
2023-02-03,0.0
2023-02-04,9513.945108747313
2023-02-05,780.6368427377968
2023-02-06,19405.656968099996
2023-02-07,0.0
2023-02-08,28930.103440731218
2023-02-09,20685.214711116252
2023-02-10,0.0
2023-02-11,0.0
2023-02-12,0.0
2023-02-13,0.0
2023-02-14,0.0
2023-02-15,13396.480324881313
2023-02-16,27660.34685436117
2023-02-17,40381.62417361673
2023-02-18,14883.703398867085
2023-02-19,0.0
2023-02-20,0.0
2023-02-21,0.0
2023-02-22,0.0
2023-02-23,14858.008399052651
2023-02-24,31464.24335720556
2023-02-25,16919.42720595
2023-02-26,0.0
2023-02-27,0.0
2023-02-28,0.0
2023-03-01,0.0
2023-03-02,0.0
2023-03-03,0.0
2023-03-04,0.0
2023-03-05,0.0
2023-03-06,0.0
2023-03-07,5416.014429793398
2023-03-08,19018.59797184
2023-03-09,0.0
2023-03-10,0.0
2023-03-11,0.0
2023-03-12,0.0
2023-03-13,13023.108219057513
2023-03-14,17767.289301539997
2023-03-15,0.0
2023-03-16,0.0
2023-03-17,0.0
2023-03-18,12244.776697506057
2023-03-19,4579.186174270115
2023-03-20,0.0
2023-03-21,0.0
2023-03-22,0.0
2023-03-23,8337.74948451123
2023-03-24,0.0
2023-03-25,13901.584618573263
2023-03-26,0.0
2023-03-27,0.0
2023-03-28,0.0
2023-03-29,0.0
2023-03-30,0.0
2023-03-31,0.0
2023-04-01,0.0
2023-04-02,0.0
2023-04-03,0.0
2023-04-04,0.0
2023-04-05,0.0
2023-04-06,0.0
