snapshot,backstop
2023-01-01,34610.020945087264
2023-01-08,281094.13937883085
2023-01-15,249233.82732791136
2023-01-22,149048.69021636187
2023-01-29,125719.0162489772
2023-02-05,28964.360450714055
2023-02-12,69020.97511994747
2023-02-19,96322.1547517263
2023-02-26,63241.67896220821
2023-03-05,0.0
2023-03-12,24434.6124016334
2023-03-19,47614.36039237368
2023-03-26,22239.334103084493
2023-04-02,0.0
2023-04-09,0.0
2023-04-16,0.0
2023-04-23,0.0
2023-04-30,0.0
2023-05-07,0.0
2023-05-14,0.0
2023-05-21,0.0
2023-05-28,0.0
2023-06-04,0.0
2023-06-11,0.0
2023-06-18,0.0
2023-06-25,0.0
2023-07-02,0.0
2023-07-09,0.0
2023-07-16,0.0
2023-07-23,0.0
2023-07-30,0.0
2023-08-06,0.0
2023-08-13,0.0
2023-08-20,0.0
2023-08-27,0.0
2023-09-03,0.0
2023-09-10,0.0
2023-09-17,0.0
2023-09-24,0.0
2023-10-01,0.0
2023-10-08,33985.18059380539
2023-10-15,0.0
2023-10-22,31586.627385237298
2023-10-29,207099.593207113
2023-11-05,226028.44252348028
2023-11-12,182594.00752084388
2023-11-19,215350.06838308254
2023-11-26,152664.04134737846
2023-12-03,278352.34554594586
2023-12-10,290618.66695660615
2023-12-17,313938.65746282187
2023-12-24,222797.46706295747
2023-12-31,212892.2412005429
