snapshot,solar
2023-01-01,7773.445558612741
2023-01-02,2336.7561634432514
2023-01-03,52012.727527141535
2023-01-04,2506.5672083308746
2023-01-05,10068.994585992861
2023-01-06,4132.697537063205
2023-01-07,6282.160972908609
2023-01-08,3202.7113869376376
2023-01-09,6596.366345495083
2023-01-10,13300.424213640477
2023-01-11,10474.492703801618
2023-01-12,9620.657908255818
2023-01-13,13563.679657219489
2023-01-14,20373.10178719654
2023-01-15,27124.030218188287
2023-01-16,66891.54935414021
2023-01-17,7554.406763557817
2023-01-18,28423.698301698903
2023-01-19,35020.71753380364
2023-01-20,12308.87097155495
2023-01-21,44642.709270327345
2023-01-22,46538.40652678044
2023-01-23,35521.32973086685
2023-01-24,11210.606691158817
2023-01-25,9628.589481652814
2023-01-26,67501.75349253771
2023-01-27,68788.31523310719
2023-01-28,30557.102929447705
2023-01-29,37952.490561147024
2023-01-30,68346.37881820505
2023-01-31,60703.338553396
2023-02-01,48141.33187261148
2023-02-02,69634.89832551085
2023-02-03,41247.46070710725
2023-02-04,64382.77692046783
2023-02-05,23057.724395678215
2023-02-06,69191.6153055293
2023-02-07,35661.26217311491
2023-02-08,21900.98260332243
2023-02-09,62589.87768888498
2023-02-10,64428.96639934761
2023-02-11,62041.67620131369
2023-02-12,59029.0212980031
2023-02-13,64360.20730229788
2023-02-14,32724.334933618768
2023-02-15,34382.71230597239
2023-02-16,24862.084617097404
2023-02-17,8459.820071623268
2023-02-18,63330.572275804574
2023-02-19,58364.56778304997
2023-02-20,65971.63004535987
2023-02-21,68279.5095030686
2023-02-22,68345.87904674985
2023-02-23,13361.556523684148
2023-02-24,20941.177018834947
2023-02-25,65392.17188021871
2023-02-26,59806.7816248231
2023-02-27,64965.914715005194
2023-02-28,66009.14255553769
2023-03-01,65501.38947502633
2023-03-02,65316.26622180413
2023-03-03,63234.928504688134
2023-03-04,57704.44579659229
2023-03-05,57120.06133554149
2023-03-06,66640.04986208711
2023-03-07,25346.27537478791
2023-03-08,69737.56232594259
2023-03-09,68691.20549748302
2023-03-10,68420.56176363936
2023-03-11,61491.3173452075
2023-03-12,61608.13214498937
2023-03-13,15581.80361640345
2023-03-14,66827.57479184326
2023-03-15,67143.26735146897
2023-03-16,66772.21506813662
2023-03-17,28169.447858402767
2023-03-18,37626.17421444751
2023-03-19,62860.46858235282
2023-03-20,58815.73026937355
2023-03-21,69153.5142372658
2023-03-22,30278.22244214825
2023-03-23,67127.94380549593
2023-03-24,20223.867699893417
2023-03-25,51017.64686374097
2023-03-26,61610.4744025714
2023-03-27,70129.13109518087
2023-03-28,67984.37569614651
2023-03-29,64428.246029104674
2023-03-30,68565.22970648723
2023-03-31,64322.09147081476
2023-04-01,56108.36588957812
2023-04-02,52824.75591568204
2023-04-03,62252.92262324676
2023-04-04,62081.19670217409
2023-04-05,62637.47086390017
2023-04-06,62050.36868151672
2023-04-07,54553.758476107745
2023-04-08,49848.92840281865
2023-04-09,47274.119564673325
2023-04-10,49288.99717555941
2023-04-11,55803.61164641825
2023-04-12,60891.22293964384
2023-04-13,57707.97097351414
2023-04-14,58734.968947011344
2023-04-15,52898.27801659016
2023-04-16,47042.53445585558
2023-04-17,54719.300804553204
2023-04-18,53725.38359604239
2023-04-19,53558.564949383785
2023-04-20,54010.41825650979
2023-04-21,51742.37888622739
2023-04-22,45775.40538184822
2023-04-23,43642.250037121135
2023-04-24,52851.08839822664
2023-04-25,58296.049474531814
2023-04-26,57967.11824332418
2023-04-27,58633.498747312144
2023-04-28,55206.03362637917
2023-04-29,45420.24988945206
2023-04-30,46256.571967780736
2023-05-01,43572.97411569073
2023-05-02,58545.34849191588
