snapshot,solar
2023-01-01,7773.445558612741
2023-01-08,80542.61538181797
2023-01-15,101052.75283379732
2023-01-22,241380.3587218633
2023-01-29,261160.1881199181
2023-02-05,375513.9095929767
2023-02-12,374843.401669516
2023-02-19,286484.29928946425
2023-02-26,362098.70564273925
2023-03-05,439852.1486041953
2023-03-12,421935.10431413684
2023-03-19,344980.9514830554
2023-03-26,358227.39972048934
2023-04-02,444362.1958029942
2023-04-09,400698.76531443745
2023-04-16,382367.5841545927
2023-04-23,357173.70191168593
2023-04-30,374630.61034700676
2023-05-07,360356.3076174681
2023-05-14,343399.5327022971
2023-05-21,333989.84079370624
2023-05-28,339871.9962070055
2023-06-04,359192.5230753014
2023-06-11,336743.1363532777
2023-06-18,349034.38820902316
2023-06-25,323589.8188218765
2023-07-02,336145.6792726715
2023-07-09,317956.16078872513
2023-07-16,299065.7984249803
2023-07-23,280804.98597444076
2023-07-30,288236.62832676776
2023-08-06,304771.66625923495
2023-08-13,321244.50277407595
2023-08-20,343407.5497913061
2023-08-27,343456.02257315407
2023-09-03,342818.02174053073
2023-09-10,348828.80418943625
2023-09-17,344472.1813175812
2023-09-24,352286.4054830749
2023-10-01,352234.83002730674
2023-10-08,318583.19763036957
2023-10-15,398460.2907719058
2023-10-22,342705.99282538565
2023-10-29,132811.8056552836
2023-11-05,125845.84183503155
2023-11-12,161971.3345148324
2023-11-19,176016.51468724266
2023-11-26,278411.78830239276
2023-12-03,137739.48635426533
2023-12-10,143337.73402258116
2023-12-17,91436.67997363793
2023-12-24,175234.2323909592
2023-12-31,158471.25205605215
