snapshot,h2
2023-01-01,0.0
2023-01-02,0.0
2023-01-03,-173.04249999989997
2023-01-04,173.04249999989997
2023-01-05,0.0
2023-01-06,0.0
2023-01-07,0.0
2023-01-08,0.0
2023-01-09,0.0
2023-01-10,0.0
2023-01-11,0.0
2023-01-12,0.0
2023-01-13,0.0
2023-01-14,0.0
2023-01-15,0.0
2023-01-16,-519.1274999996999
2023-01-17,0.0
2023-01-18,492.19535164464446
2023-01-19,26.932148355055475
2023-01-20,0.0
2023-01-21,0.0
2023-01-22,0.0
2023-01-23,0.0
2023-01-24,0.0
2023-01-25,0.0
2023-01-26,-865.2124999994999
2023-01-27,-1038.2549999993998
2023-01-28,0.0
2023-01-29,599.9999999999995
2023-01-30,-265.21249999949987
2023-01-31,-865.2124999994999
2023-02-01,300.0
2023-02-02,-219.12749999969992
2023-02-03,141.41700988061984
2023-02-04,80.87250000030008
2023-02-05,299.9999999999884
2023-02-06,380.8725000003001
2023-02-07,0.0
2023-02-08,1149.8579901164044
2023-02-09,-392.1699999995996
2023-02-10,-1384.3399999991998
2023-02-11,-1384.3399999991998
2023-02-12,-1384.3399999991989
2023-02-13,-1038.2549999993998
2023-02-14,0.0
2023-02-15,1130.9836822416528
2023-02-16,1799.999999999999
2023-02-17,2400.0
2023-02-18,-312.7511822445645
2023-02-19,-1384.3399999992096
2023-02-20,-1384.3399999991998
2023-02-21,-1384.3399999992002
2023-02-22,-438.25499999942167
2023-02-23,2400.0000000000023
2023-02-24,2156.487499996509
2023-02-25,377.29249998988064
2023-02-26,-1211.2974999992998
2023-02-27,-1038.2549999993998
2023-02-28,-1211.2974999993005
2023-03-01,-1211.2974999993003
2023-03-02,-1211.2974999993007
2023-03-03,-1211.2974999992994
2023-03-04,-1211.2974999993003
2023-03-05,-1211.2974999992978
2023-03-06,-438.2549999993985
2023-03-07,2826.062499997493
2023-03-08,380.8725000002987
2023-03-09,-519.1274999996999
2023-03-10,-865.2124999995021
2023-03-11,-1384.3399999991998
2023-03-12,-438.25499999939984
2023-03-13,2399.9999999999973
2023-03-14,34.78750000049922
2023-03-15,-1384.339999999198
2023-03-16,-438.2549999993985
2023-03-17,2400.000000000001
2023-03-18,2400.0
2023-03-19,34.787500000500586
2023-03-20,-1384.3399999991984
2023-03-21,-438.2549999993985
2023-03-22,2399.999999999999
2023-03-23,1153.9150000002
2023-03-24,2400.0
2023-03-25,900.0
2023-03-26,0.0
2023-03-27,0.0
2023-03-28,0.0
2023-03-29,0.0
2023-03-30,0.0
2023-03-31,0.0
2023-04-01,0.0
2023-04-02,-173.04249999989997
2023-04-03,-173.04249999989997
2023-04-04,-173.04249999989997
2023-04-05,0.0
2023-04-06,0.0
2023-04-07,0.0
2023-04-08,0.0
2023-04-09,0.0
2023-04-10,-173.04249999989997
2023-04-11,0.0
2023-04-12,0.0
2023-04-13,0.0
2023-04-14,0.0
2023-04-15,0.0
2023-04-16,0.0
2023-04-17,-173.04249999989997
2023-04-18,0.0
2023-04-19,0.0
2023-04-20,0.0
2023-04-21,1.1368683772161603e-13
2023-04-22,-1.1368683772161603e-13
2023-04-23,0.0
2023-04-24,0.0
2023-04-25,0.0
2023-04-26,0.0
2023-04-27,0.0
2023-04-28,0.0
2023-04-29,0.0
2023-04-30,0.0
2023-05-01,0.0
2023-05-02,0.0
2023-05-03,0.0
2023-05-04,0.0
2023-05-05,0.0
2023-05-06,-173.04249999989997
2023-05-07,0.0
2023-05-08,0.0
2023-05-09,0.0
2023-05-10,-173.04249999989997
2023-05-11,-173.04249999989997
2023-05-12,0.0
2023-05-13,0.0
2023-05-14,0.0
2023-05-15,0.0
2023-05-16,0.0
2023-05-17,0.0
2023-05-18,0.0
2023-05-19,0.0
2023-05-20,-173.04249999989997
2023-05-21,-173.04249999989997
2023-05-22,0.0
2023-05-23,0.0
2023-05-24,0.0
2023-05-25,0.0
2023-05-26,-173.04249999989997
2023-05-27,-173.04249999989997
2023-05-28,-173.04249999989997
2023-05-29,-173.04249999990043
2023-05-30,-173.04249999989997
2023-05-31,0.0
2023-06-01,-173.04249999989952
2023-06-02,0.0
2023-06-03,-173.04249999989997
2023-06-04,-173.04249999989952
2023-06-05,-173.04249999989997
2023-06-06,-346.0849999998004
2023-06-07,0.0
2023-06-08,-173.04249999989952
2023-06-09,-346.0849999997995
2023-06-10,-519.1274999996995
2023-06-11,0.0
2023-06-12,0.0
2023-06-13,-346.0849999998004
2023-06-14,-346.08499999979995
2023-06-15,-173.04249999989952
2023-06-16,-173.04249999990043
2023-06-17,-519.1274999996999
2023-06-18,0.0
2023-06-19,0.0
2023-06-20,0.0
2023-06-21,0.0
2023-06-22,0.0
2023-06-23,0.0
2023-06-24,0.0
2023-06-25,0.0
2023-06-26,0.0
2023-06-27,0.0
2023-06-28,0.0
2023-06-29,0.0
2023-06-30,0.0
2023-07-01,0.0
2023-07-02,0.0
2023-07-03,0.0
2023-07-04,0.0
2023-07-05,0.0
2023-07-06,0.0
2023-07-07,0.0
2023-07-08,0.0
2023-07-09,0.0
2023-07-10,0.0
2023-07-11,0.0
2023-07-12,0.0
2023-07-13,0.0
2023-07-14,-173.04249999990043
2023-07-15,0.0
2023-07-16,0.0
2023-07-17,0.0
2023-07-18,0.0
2023-07-19,0.0
2023-07-20,0.0
2023-07-21,0.0
2023-07-22,0.0
2023-07-23,0.0
2023-07-24,-346.0849999997995
2023-07-25,-173.04249999990043
2023-07-26,-519.1274999997004
2023-07-27,-64.75253583645735
2023-07-28,0.0
2023-07-29,0.0
2023-07-30,0.0
2023-07-31,0.0
2023-08-01,-173.04249999990043
2023-08-02,-692.1699999996008
2023-08-03,-402.5660939527261
2023-08-04,-692.1699999996003
2023-08-05,-692.1699999995999
2023-08-06,-401.4738702207401
2023-08-07,-519.127499999699
2023-08-08,0.0
2023-08-09,6645.85894408013
2023-08-10,3426.9575000000877
2023-08-11,-346.08499999979995
2023-08-12,-346.08499999979995
2023-08-13,0.0
2023-08-14,-173.04249999989952
2023-08-15,-173.04249999989997
2023-08-16,-173.04249999989975
2023-08-17,0.0
2023-08-18,-173.04249999989997
2023-08-19,-346.08499999979995
2023-08-20,-346.0849999997995
2023-08-21,-173.04249999989997
2023-08-22,-173.04249999989997
2023-08-23,-173.04249999989997
2023-08-24,-346.08499999980177
2023-08-25,-173.04249999989952
2023-08-26,0.0
2023-08-27,-173.04249999990043
2023-08-28,-346.08499999979995
2023-08-29,-346.08499999979995
2023-08-30,0.0
2023-08-31,0.0
2023-09-01,-173.04249999989952
2023-09-02,-346.08499999979995
2023-09-03,0.0
2023-09-04,0.0
2023-09-05,-173.04249999990043
2023-09-06,0.0
2023-09-07,-173.04249999989952
2023-09-08,0.0
2023-09-09,-346.08499999980177
2023-09-10,-209.3939440859058
2023-09-11,0.0
2023-09-12,0.0
2023-09-13,0.0
2023-09-14,0.0
2023-09-15,0.0
2023-09-16,0.0
2023-09-17,-346.0849999997995
2023-09-18,-346.08499999979995
2023-09-19,-519.1274999996999
2023-09-20,-346.08499999979995
2023-09-21,-519.1274999996995
2023-09-22,-173.04249999989952
2023-09-23,-173.04249999989952
2023-09-24,-519.1274999996995
2023-09-25,-346.0849999997995
2023-09-26,0.0
2023-09-27,0.0
2023-09-28,0.0
2023-09-29,0.0
2023-09-30,-519.1274999997013
2023-10-01,-519.1274999997008
2023-10-02,3253.915000000183
2023-10-03,4581.76750000292
2023-10-04,34.78750000050013
2023-10-05,-438.2549999994003
2023-10-06,2400.0
2023-10-07,380.8725000003061
2023-10-08,-865.2124999994998
2023-10-09,-865.2124999994996
2023-10-10,-692.1699999995999
2023-10-11,-865.2124999994999
2023-10-12,-865.2124999994962
2023-10-13,0.0
2023-10-14,-776.1118787316672
2023-10-15,-865.2124999995008
2023-10-16,-1038.2549999994003
2023-10-17,-1038.2549999993998
2023-10-18,-865.2124999994984
2023-10-19,-865.2124999994994
2023-10-20,-957.8931212777508
2023-10-21,600.0
2023-10-22,1799.9999999999982
2023-10-23,2399.999999999998
2023-10-24,1837.447502911219
2023-10-25,1800.0
2023-10-26,1740.8524970927979
2023-10-27,899.9999999999897
2023-10-28,0.0
2023-10-29,0.0
2023-10-30,0.0
2023-10-31,0.0
2023-11-01,0.0
2023-11-02,0.0
2023-11-03,0.0
2023-11-04,0.0
2023-11-05,0.0
2023-11-06,0.0
2023-11-07,-313.5632702646312
2023-11-08,0.0
2023-11-09,300.0
2023-11-10,13.563270264631168
2023-11-11,0.0
2023-11-12,0.0
2023-11-13,0.0
2023-11-14,0.0
2023-11-15,0.0
2023-11-16,0.0
2023-11-17,0.0
2023-11-18,0.0
2023-11-19,0.0
2023-11-20,0.0
2023-11-21,0.0
2023-11-22,0.0
2023-11-23,-346.08499999979995
2023-11-24,126.95750000010003
2023-11-25,219.12749999969995
2023-11-26,-346.08499999979995
2023-11-27,46.08499999979995
2023-11-28,300.0
2023-11-29,-173.04249999989997
2023-11-30,173.04249999989997
2023-12-01,0.0
2023-12-02,0.0
2023-12-03,0.0
2023-12-04,0.0
2023-12-05,0.0
2023-12-06,0.0
2023-12-07,0.0
2023-12-08,0.0
2023-12-09,0.0
2023-12-10,0.0
2023-12-11,0.0
2023-12-12,0.0
2023-12-13,0.0
2023-12-14,0.0
2023-12-15,0.0
2023-12-16,0.0
2023-12-17,0.0
2023-12-18,0.0
2023-12-19,-173.04249999989997
2023-12-20,173.04249999989997
2023-12-21,0.0
2023-12-22,0.0
2023-12-23,-173.04249999989997
2023-12-24,173.04249999989997
2023-12-25,0.0
2023-12-26,-173.04249999989997
2023-12-27,-173.04249999989997
2023-12-28,300.0
2023-12-29,46.08499999979995
2023-12-30,0.0
2023-12-31,0.0
