snapshot,h2
2023-01-01,0.0
2023-01-08,0.0
2023-01-15,0.0
2023-01-22,1.4210854715202004e-14
2023-01-29,-1303.4674999989002
2023-02-05,-527.2629901177913
2023-02-12,-3014.4595098804934
2023-02-19,2595.6374999984782
2023-02-26,515.5474999892704
2023-03-05,-8306.039999995199
2023-03-12,-438.2549999994085
2023-03-19,5446.9800000024015
2023-03-26,5031.320000001602
2023-04-02,-173.04249999989997
2023-04-09,-346.08499999979995
2023-04-16,-173.04249999989997
2023-04-23,-173.04249999989997
2023-04-30,0.0
2023-05-07,-173.04249999989997
2023-05-14,-346.08499999979995
2023-05-21,-346.08499999979995
2023-05-28,-519.1274999996999
2023-06-04,-865.2124999994994
2023-06-11,-1557.3824999990989
2023-06-18,-1557.3824999991002
2023-06-25,0.0
2023-07-02,0.0
2023-07-09,0.0
2023-07-16,-173.04249999990043
2023-07-23,0.0
2023-07-30,-1103.0075358358577
2023-08-06,-3053.5924641721676
2023-08-13,8861.518944080919
2023-08-20,-1384.3399999991987
2023-08-27,-1211.2974999993016
2023-09-03,-1211.2974999992994
2023-09-10,-901.5639440855075
2023-09-17,-346.0849999997995
2023-09-24,-2595.637499998498
2023-10-01,-1384.3399999992016
2023-10-08,9347.87500000501
2023-10-15,-4929.131878729264
2023-10-22,-2364.8281212755505
2023-10-29,8678.300000004005
2023-11-05,0.0
2023-11-12,-5.861977570020827e-14
2023-11-19,0.0
2023-11-26,-346.08499999979995
2023-12-03,346.08499999979995
2023-12-10,0.0
2023-12-17,0.0
2023-12-24,0.0
2023-12-31,0.0
