snapshot,solar
2023-01-01,13749.522208290506
2023-01-02,3597.2846721327646
2023-01-03,60861.94390093676
2023-01-04,2143.572126762139
2023-01-05,13922.896608801737
2023-01-06,2408.5143924329705
2023-01-07,6547.051915812347
2023-01-08,6173.9059520182245
2023-01-09,6089.893802580253
2023-01-10,40127.53210662128
2023-01-11,50911.12329987253
2023-01-12,24430.531865592857
2023-01-13,17483.967280356323
2023-01-14,52852.15152093273
2023-01-15,16675.693844538357
2023-01-16,72258.25001701954
2023-01-17,8412.477065726194
2023-01-18,13971.325926274385
2023-01-19,35617.32849139518
2023-01-20,31420.677954158728
2023-01-21,45977.378560987636
2023-01-22,33216.89350461424
2023-01-23,27229.22872145152
2023-01-24,15255.029538179464
2023-01-25,6872.122646770638
2023-01-26,72616.83573722989
2023-01-27,68481.0581997702
2023-01-28,59120.96170757651
2023-01-29,37702.94755506654
2023-01-30,73771.82261353184
2023-01-31,61865.01645713935
2023-02-01,73519.947474226
2023-02-02,70838.59184637407
2023-02-03,47389.65671243156
2023-02-04,69727.78337341474
2023-02-05,53179.03806110818
2023-02-06,73867.73813948326
2023-02-07,56456.0507606598
2023-02-08,17457.324883223635
2023-02-09,73924.3671246049
2023-02-10,62081.15528625832
2023-02-11,64646.24283692946
2023-02-12,59040.76744284349
2023-02-13,66230.4498749158
2023-02-14,65349.03039127449
2023-02-15,29276.566918379263
2023-02-16,39581.47202357936
2023-02-17,15919.588712453926
2023-02-18,68009.54654867906
2023-02-19,58402.623992839886
2023-02-20,67446.25185962876
2023-02-21,68291.47854918489
2023-02-22,64886.69680174139
2023-02-23,42784.2378342508
2023-02-24,35653.41933296663
2023-02-25,70071.14615309321
2023-02-26,58921.383943581124
2023-02-27,64323.09436967297
2023-02-28,65695.3373439557
2023-03-01,64861.888185313306
2023-03-02,64676.76493209114
2023-03-03,63456.77039584464
2023-03-04,57390.7187645776
2023-03-05,56806.33430352679
2023-03-06,67387.41978223773
2023-03-07,28501.626452838496
2023-03-08,74442.62376249066
2023-03-09,72357.80066201046
2023-03-10,70772.14271363732
2023-03-11,61503.286391323796
2023-03-12,61594.01402743209
2023-03-13,15550.394819352448
2023-03-14,71511.32271657772
2023-03-15,67155.23639758526
2023-03-16,66128.33194187292
2023-03-17,26945.494936956467
2023-03-18,60550.00050637039
2023-03-19,49352.724200055214
2023-03-20,72227.52503393263
2023-03-21,66038.63718395768
2023-03-22,23989.130122254403
2023-03-23,47135.09641421196
2023-03-24,23821.84284090399
2023-03-25,69112.98515456528
2023-03-26,59952.66016331343
2023-03-27,69598.64524546544
2023-03-28,71217.34636556434
2023-03-29,70853.81880209029
2023-03-30,50140.27894300889
2023-03-31,59880.23666437803
2023-04-01,68236.06363382105
2023-04-02,53074.487395220305
2023-04-03,62690.84870290201
2023-04-04,62266.678287381015
2023-04-05,63115.996250232645
2023-04-06,61835.19023559566
2023-04-07,55468.86427793419
2023-04-08,48843.16923288999
2023-04-09,48164.84486000591
2023-04-10,48072.678903679305
2023-04-11,54905.88232722882
2023-04-12,62134.06266490992
2023-04-13,57193.81243995462
2023-04-14,58153.88611146321
2023-04-15,52553.21739544159
2023-04-16,50260.072262859016
2023-04-17,57302.12224554756
2023-04-18,54151.53783783003
2023-04-19,53581.784206309945
2023-04-20,54046.08998099836
2023-04-21,51041.693211681915
2023-04-22,44297.74035612824
2023-04-23,42878.54690180023
2023-04-24,51871.75041801636
2023-04-25,57926.72231798143
2023-04-26,58444.06968067365
2023-04-27,56397.15813735285
2023-04-28,55320.12948063726
2023-04-29,45916.33581007717
2023-04-30,46937.0343178943
2023-05-01,43792.78822597217
2023-05-02,59304.75238304292
2023-05-03,57294.01324465196
2023-05-04,55028.30909567809
2023-05-05,54438.74085037923
2023-05-06,47073.854027047855
2023-05-07,46250.19284363379
2023-05-08,53437.954290167036
2023-05-09,52530.59125972373
2023-05-10,53754.71844023693
2023-05-11,52401.81581146125
2023-05-12,49417.670915576375
2023-05-13,42485.66338792713
2023-05-14,41798.20399115665
2023-05-15,50958.9944037733
2023-05-16,56297.322784988726
2023-05-17,51960.055708664666
2023-05-18,46065.56081887947
2023-05-19,47113.69984069764
2023-05-20,41633.60138765801
2023-05-21,41736.13920846611
2023-05-22,49985.72211606063
2023-05-23,51049.38138428695
2023-05-24,52061.06266203977
2023-05-25,55816.85790593271
2023-05-26,52422.18549124587
2023-05-27,43143.46109993383
2023-05-28,45085.53374861841
2023-05-29,53356.96244865883
2023-05-30,52837.265547040515
2023-05-31,55715.458296263736
2023-06-01,51406.310835492506
2023-06-02,51231.533610663406
2023-06-03,42593.061403725274
2023-06-04,42443.89052781849
2023-06-05,48008.74595878956
2023-06-06,43938.15022444152
2023-06-07,51555.06459224608
2023-06-08,52668.33382867683
2023-06-09,52590.68650251778
2023-06-10,43663.02454693654
2023-06-11,43405.99528284558
2023-06-12,52134.55714920745
2023-06-13,51598.34214683714
2023-06-14,52087.45186963494
2023-06-15,52569.125357247874
2023-06-16,49918.75701195939
2023-06-17,42862.54928674632
2023-06-18,42990.58046885785
2023-06-19,50672.793783193425
2023-06-20,51114.22616868087
2023-06-21,51521.642984532125
2023-06-22,48891.14192476667
2023-06-23,41023.998740687166
2023-06-24,37873.769277072504
2023-06-25,39690.89918010171
2023-06-26,53095.050800537836
2023-06-27,51583.06377327943
2023-06-28,52155.54087201919
2023-06-29,51669.918169963166
2023-06-30,48390.45146371279
2023-07-01,41968.22212209872
2023-07-02,40500.80634228468
2023-07-03,48369.890291923664
2023-07-04,48775.801135959395
2023-07-05,49095.93406900845
2023-07-06,58319.125929333655
2023-07-07,50750.83398565625
2023-07-08,44492.970251631064
2023-07-09,42167.00459990011
2023-07-10,45081.743427668946
2023-07-11,44392.334018482776
2023-07-12,44572.5445250977
2023-07-13,43978.950060285104
2023-07-14,43836.33598053777
2023-07-15,46071.30950906685
2023-07-16,40725.11117174776
2023-07-17,42355.69681742843
2023-07-18,42074.11752154231
2023-07-19,40951.69419839853
2023-07-20,39975.42865592325
2023-07-21,40025.936157141274
2023-07-22,36103.395295142065
2023-07-23,36992.891013490196
2023-07-24,39614.121569174466
2023-07-25,40708.56251577571
2023-07-26,42897.904238691066
2023-07-27,40765.95902808532
2023-07-28,40356.41163831681
2023-07-29,36884.520127736134
2023-07-30,36248.04514535082
2023-07-31,42118.45995994081
2023-08-01,42613.31884012381
2023-08-02,43139.8841058321
2023-08-03,44477.6297448957
2023-08-04,42933.99946666928
