snapshot,solar
2023-01-01,13749.522208290506
2023-01-08,95655.16956889695
2023-01-15,208570.89372049432
2023-01-22,240874.3315201759
2023-01-29,287278.18410604476
2023-02-05,450291.8565382257
2023-02-12,407473.64647400286
2023-02-19,342769.2784621218
2023-02-26,408054.6144744468
2023-03-05,437210.90829498216
2023-03-12,436558.9137919706
2023-03-19,357193.5055187704
2023-03-26,362277.87691313936
2023-04-02,443000.8770495483
2023-04-09,402385.59184694145
2023-04-16,383273.6121055365
2023-04-23,357299.5147402963
2023-04-30,372813.20016263303
2023-05-07,363182.650670406
2023-05-14,345826.6180962491
2023-05-21,335765.37415312795
2023-05-28,349564.20440811815
2023-06-04,349584.48266966274
2023-06-11,335830.0009364539
2023-06-18,344161.36329049093
2023-06-25,320788.4720590345
2023-07-02,339363.0535438958
2023-07-09,341971.5602634126
2023-07-16,308658.3286928869
2023-07-23,278479.15965906606
2023-07-30,277475.5242631303
2023-08-06,290901.3931265753
2023-08-13,326845.374548553
2023-08-20,343314.8014289205
2023-08-27,343475.4642776121
2023-09-03,342302.9054811851
2023-09-10,347937.75920788327
2023-09-17,346034.01397166867
2023-09-24,354842.9450619514
2023-10-01,357867.9668083138
2023-10-08,384174.52812361316
2023-10-15,381910.0324813769
2023-10-22,350105.27422854933
2023-10-29,165118.6054234297
2023-11-05,160167.40507645946
2023-11-12,198929.45555398424
2023-11-19,273242.04583234177
2023-11-26,316839.38620680675
2023-12-03,260594.0693923822
2023-12-10,133730.74603848232
2023-12-17,170316.8835877072
2023-12-24,244007.72238267644
2023-12-31,189995.35349973504
