snapshot,battery
2023-01-01,-28.945424275882942
2023-01-08,-144.98758648055446
2023-01-15,-173.56317999181056
2023-01-22,-1630.2830197787625
2023-01-29,-17298.84087035116
2023-02-05,-4900.243584648284
2023-02-12,-7049.578279043934
2023-02-19,-286.9686316925163
2023-02-26,-1065.6260449615347
2023-03-05,-376.95096216505954
2023-03-12,-2304.800246976659
2023-03-19,11452.497369120912
2023-03-26,-9493.5509143355
2023-04-02,-3890.2939369455225
2023-04-09,-4034.6742053423513
2023-04-16,-408.76183240882347
2023-04-23,-3537.984208689226
2023-04-30,-681.7763797158768
2023-05-07,-462.9677687676549
2023-05-14,-1202.040341666866
2023-05-21,-758.1536322903466
2023-05-28,-484.7897871933792
2023-06-04,-694.2063421942839
2023-06-11,-469.630694162749
2023-06-18,-802.5489054752597
2023-06-25,-762.3047996263567
2023-07-02,-712.2258212505185
2023-07-09,-865.2025870075067
2023-07-16,-849.3989844892894
2023-07-23,-835.1391784138323
2023-07-30,-653.0370240385028
2023-08-06,3140.106318614086
2023-08-13,-3686.394241755457
2023-08-20,268.2655475776173
2023-08-27,428.1922601473543
2023-09-03,1383.7018217198702
2023-09-10,404.8095258619178
2023-09-17,774.8632863669154
2023-09-24,-611.8050872754766
2023-10-01,-293.52169162536757
2023-10-08,1285.6652363588728
2023-10-15,-105.63377422445228
2023-10-22,30316.78579918174
2023-10-29,-161.86747421894233
2023-11-05,-156.8881316754987
2023-11-12,-199.27958067176314
2023-11-19,-239.4950734495278
2023-11-26,-22662.39788586191
2023-12-03,9991.522292000742
2023-12-10,12060.194105977684
2023-12-17,-136.84689254999648
2023-12-24,-215.90346829829105
2023-12-31,-194.96931943503387
