snapshot,onwind
2023-01-01,10085.040383272917
2023-01-08,177357.87226940735
2023-01-15,180858.54441881453
2023-01-22,120631.6049633588
2023-01-29,164879.1682155026
2023-02-05,164298.37716943838
2023-02-12,148263.7112632917
2023-02-19,133117.74923500893
2023-02-26,140200.00417796557
2023-03-05,62584.71641600815
2023-03-12,109500.2422105755
2023-03-19,121928.12730049016
2023-03-26,158333.97731503483
2023-04-02,121697.72801309657
2023-04-09,45106.56348844346
2023-04-16,101816.7909704185
2023-04-23,37299.27303556389
2023-04-30,65732.46692354858
2023-05-07,38683.799534987025
2023-05-14,20456.619610939444
2023-05-21,19566.867246398513
2023-05-28,13432.591211224739
2023-06-04,11462.022163283604
2023-06-11,4718.653236692899
2023-06-18,21632.28807442897
2023-06-25,33172.40807774912
2023-07-02,44770.52848925162
2023-07-09,34846.160500860104
2023-07-16,49111.861117604625
2023-07-23,5090.262249130938
2023-07-30,13208.527979929235
2023-08-06,22328.38206775804
2023-08-13,93949.1257448703
2023-08-20,63451.15531884561
2023-08-27,60549.17195266413
2023-09-03,41572.38294967777
2023-09-10,59246.13234112466
2023-09-17,84217.1636911231
2023-09-24,96254.06614097816
2023-10-01,104500.18134865347
2023-10-08,103515.98211736997
2023-10-15,110586.47216235909
2023-10-22,131861.93248073457
2023-10-29,169739.02913115223
2023-11-05,165696.2400773823
2023-11-12,65092.87115767523
2023-11-19,165918.76623740903
2023-11-26,162016.19353830026
2023-12-03,128540.08182124954
2023-12-10,158302.78319854787
2023-12-17,169939.28270635035
2023-12-24,202899.07603007485
2023-12-31,199165.1691518184
