snapshot,backstop
2023-01-01,0.0
2023-01-08,8365.010762675143
2023-01-15,0.0
2023-01-22,12229.925349501487
2023-01-29,8590.07136786562
2023-02-05,104.13983178071464
2023-02-12,7507.587459398547
2023-02-19,0.0
2023-02-26,0.0
2023-03-05,1427.1049190474907
2023-03-12,3752.717072205417
2023-03-19,110.23517113038058
2023-03-26,515.1665961540236
2023-04-02,249.2184110794729
2023-04-09,0.0
2023-04-16,0.0
2023-04-23,0.0
2023-04-30,0.0
2023-05-07,0.0
2023-05-14,0.0
2023-05-21,0.0
2023-05-28,0.0
2023-06-04,0.0
2023-06-11,0.0
2023-06-18,0.0
2023-06-25,0.0
2023-07-02,0.0
2023-07-09,0.0
2023-07-16,0.0
2023-07-23,0.0
2023-07-30,0.0
2023-08-06,0.0
2023-08-13,0.0
2023-08-20,0.0
2023-08-27,0.0
2023-09-03,0.0
2023-09-10,0.0
2023-09-17,0.0
2023-09-24,0.0
2023-10-01,0.0
2023-10-08,0.0
2023-10-15,0.0
2023-10-22,0.0
2023-10-29,2224.8125145788617
2023-11-05,0.0
2023-11-12,37514.752540115354
2023-11-19,36540.957173589864
2023-11-26,10613.505571094229
2023-12-03,68702.22949086026
2023-12-10,53889.85137957039
2023-12-17,23774.27455010169
2023-12-24,0.0
2023-12-31,0.0
