snapshot,solar
2023-01-01,401.21425958130976
2023-01-08,3782.9761407670426
2023-01-15,17043.151406777397
2023-01-22,21214.198083757205
2023-01-29,23315.899114425014
2023-02-05,41959.39175322185
2023-02-12,43362.44080528215
2023-02-19,46942.12791604806
2023-02-26,60958.035582145334
2023-03-05,101833.56000221406
2023-03-12,69498.58006498254
2023-03-19,47615.298011000945
2023-03-26,37614.30746042819
2023-04-02,81832.78587550798
2023-04-09,115005.9428325126
2023-04-16,74839.05655293165
2023-04-23,131796.24490431254
2023-04-30,112067.93918591169
2023-05-07,127731.21393623124
2023-05-14,143346.29281529743
2023-05-21,134521.8339836582
2023-05-28,130304.42238675465
2023-06-04,152549.37305541852
2023-06-11,152432.6385914537
2023-06-18,133877.1273123288
2023-06-25,115310.55762982165
2023-07-02,106459.85009647965
2023-07-09,109685.59567580884
2023-07-16,88528.1407509526
2023-07-23,122754.80550121657
2023-07-30,108974.97971049875
2023-08-06,99223.87894648344
2023-08-13,59250.570646625376
2023-08-20,80810.5862759251
2023-08-27,87750.20227398888
2023-09-03,92349.17607004014
2023-09-10,88872.52304840893
2023-09-17,67238.4183931797
2023-09-24,64353.61417867127
2023-10-01,59565.692429459064
2023-10-08,66928.64481115456
2023-10-15,57161.336649271994
2023-10-22,58752.93169211063
2023-10-29,11822.826102824907
2023-11-05,20087.588726727976
2023-11-12,18171.213379516514
2023-11-19,20217.189901374477
2023-11-26,24962.194433928948
2023-12-03,22412.979348994522
2023-12-10,9726.75222971622
2023-12-17,12187.591152369401
2023-12-24,16604.697913376953
2023-12-31,14141.480031033467
