snapshot,onwind
2023-01-01,0.0
2023-01-08,0.0
2023-01-15,-9.943844612484323e-12
2023-01-22,-5.9565534274421575e-12
2023-01-29,0.0
2023-02-05,0.0
2023-02-12,0.0
2023-02-19,0.0
2023-02-26,0.0
2023-03-05,0.0
2023-03-12,0.0
2023-03-19,0.0
2023-03-26,0.0
2023-04-02,0.0
2023-04-09,0.0
2023-04-16,0.0
2023-04-23,0.0
2023-04-30,0.0
2023-05-07,0.0
2023-05-14,0.0
2023-05-21,0.0
2023-05-28,0.0
2023-06-04,0.0
2023-06-11,0.0
2023-06-18,0.0
2023-06-25,0.0
2023-07-02,0.0
2023-07-09,0.0
2023-07-16,0.0
2023-07-23,0.0
2023-07-30,0.0
2023-08-06,0.0
2023-08-13,0.0
2023-08-20,0.0
2023-08-27,0.0
2023-09-03,0.0
2023-09-10,0.0
2023-09-17,0.0
2023-09-24,0.0
2023-10-01,0.0
2023-10-08,0.0
2023-10-15,0.0
2023-10-22,0.0
2023-10-29,2.463096393512387e-13
2023-11-05,-2.1508043107176813e-11
2023-11-12,-1.8072164962018084e-11
2023-11-19,-3.971035618294769e-12
2023-11-26,-5.956553427442148e-12
2023-12-03,0.0
2023-12-10,0.0
2023-12-17,0.0
2023-12-24,0.0
2023-12-31,-5.956553427442153e-12
