snapshot,solar
2023-01-01,6521.025867561288
2023-01-08,61485.56458599568
2023-01-15,269685.2037697938
2023-01-22,301526.13023642724
2023-01-29,259196.7251979525
2023-02-05,379273.3429796514
2023-02-12,451255.30504947586
2023-02-19,364896.27212387265
2023-02-26,390008.21464524907
2023-03-05,445249.9883161185
2023-03-12,460919.61542379373
2023-03-19,388405.07658654155
2023-03-26,394644.0208089806
2023-04-02,411466.00423592614
2023-04-09,418678.4531712919
2023-04-16,394457.6593519884
2023-04-23,373646.0146914799
2023-04-30,390247.66326873907
2023-05-07,375555.86383457365
2023-05-14,356714.0310706186
2023-05-21,343147.33464883897
2023-05-28,351443.1794308616
2023-06-04,357200.30427439825
2023-06-11,345255.74960932
2023-06-18,359016.74678183236
2023-06-25,334977.8499836643
2023-07-02,351573.1391353662
2023-07-09,333640.52114551334
2023-07-16,312188.9364585278
2023-07-23,289002.36844629864
2023-07-30,286114.10484528827
2023-08-06,299563.2363325922
2023-08-13,335688.1738650616
2023-08-20,353983.27617828845
2023-08-27,356280.5379951036
2023-09-03,355943.70169514464
2023-09-10,364473.1206432149
2023-09-17,363713.59765609854
2023-09-24,367487.6385232476
2023-10-01,368546.35622675676
2023-10-08,387869.7774190194
2023-10-15,387267.6973416106
2023-10-22,392055.5115789962
2023-10-29,192159.0596621744
2023-11-05,287415.1228275381
2023-11-12,267665.3918721091
2023-11-19,320262.7554665815
2023-11-26,321289.89191655803
2023-12-03,339710.17848779715
2023-12-10,158091.0981666756
2023-12-17,181301.15417159104
2023-12-24,246930.606907175
2023-12-31,200563.78900865617
