snapshot,biogas_market
2023-01-01,36000.0
2023-01-08,252000.0000000002
2023-01-15,226760.79319159847
2023-01-22,216939.29502863652
2023-01-29,194556.60744935647
2023-02-05,182055.6941527728
2023-02-12,84493.13514087848
2023-02-19,158160.4751904076
2023-02-26,102615.09489822247
2023-03-05,0.0
2023-03-12,57011.30653595143
2023-03-19,99413.46292076884
2023-03-26,100151.24905941013
2023-04-02,97745.36640502677
2023-04-09,0.0
2023-04-16,0.0
2023-04-23,0.0
2023-04-30,0.0
2023-05-07,0.0
2023-05-14,0.0
2023-05-21,0.0
2023-05-28,0.0
2023-06-04,0.0
2023-06-11,0.0
2023-06-18,0.0
2023-06-25,0.0
2023-07-02,0.0
2023-07-09,0.0
2023-07-16,0.0
2023-07-23,0.0
2023-07-30,0.0
2023-08-06,0.0
2023-08-13,29221.616343638954
2023-08-20,0.0
2023-08-27,0.0
2023-09-03,0.0
2023-09-10,0.0
2023-09-17,0.0
2023-09-24,0.0
2023-10-01,0.0
2023-10-08,32989.37995120467
2023-10-15,66496.66131032721
2023-10-22,81000.00000000001
2023-10-29,252000.0000000001
2023-11-05,243000.00000000003
2023-11-12,207000.00000000012
2023-11-19,238500.00000000006
2023-11-26,213454.98910731246
2023-12-03,239963.09528330786
2023-12-10,252000.0000000001
2023-12-17,243348.59952532526
2023-12-24,234000.0
2023-12-31,236440.2658423324
