snapshot,h2
2023-01-01,0.0
2023-01-02,0.0
2023-01-03,0.0
2023-01-04,0.0
2023-01-05,0.0
2023-01-06,0.0
2023-01-07,0.0
2023-01-08,0.0
2023-01-09,0.0
2023-01-10,1.4210854715208466e-14
2023-01-11,0.0
2023-01-12,0.0
2023-01-13,0.0
2023-01-14,4.731554138613321e-12
2023-01-15,1.6965399896065499e-12
2023-01-16,3.777902513181244e-12
2023-01-17,0.0
2023-01-18,0.0
2023-01-19,-3.4573230441073014e-11
2023-01-20,0.0
2023-01-21,1.726649202654579e-12
2023-01-22,-4.224596626814886e-13
2023-01-23,0.0
2023-01-24,1.3828132990132702e-12
2023-01-25,1.1151318402012308e-11
2023-01-26,4.51605154900596e-12
2023-01-27,5.419261858807152e-12
2023-01-28,0.0
2023-01-29,5.804455027007615e-12
2023-01-30,2.709630929403576e-12
2023-01-31,0.0
2023-02-01,-8.367354135283733e-12
2023-02-02,5.4192618588071515e-12
2023-02-03,-1.6155871338926322e-27
2023-02-04,2.7096309294035777e-12
2023-02-05,0.0
2023-02-06,-2.2619117392189133e-13
2023-02-07,1.4089494341447976e-13
2023-02-08,-2.0720730575197013e-12
2023-02-09,9.10388599162587e-12
2023-02-10,-1.1057788274347923e-12
2023-02-11,1.069474359871326e-12
2023-02-12,-5.4192618588071515e-12
2023-02-13,5.419261858807152e-12
2023-02-14,-7.341566321660792e-12
2023-02-15,0.0
2023-02-16,-1.7053025658242081e-13
2023-02-17,0.0
2023-02-18,3.359480942639984e-12
2023-02-19,7.225682478409535e-12
2023-02-20,7.225682478409536e-12
2023-02-21,7.225682478409529e-12
2023-02-22,-2.4865998121286166e-11
2023-02-23,0.0
2023-02-24,0.0
2023-02-25,-2.1756811907587993e-12
2023-02-26,-2.1732135646588976e-12
2023-02-27,-2.1855089737941604e-12
2023-02-28,-4.615801042137391e-13
2023-03-01,-2.237764462619069e-12
2023-03-02,-2.0441117687385664e-12
2023-03-03,2.3584941176316766e-12
2023-03-04,7.40798400399985e-13
2023-03-05,-2.486746497608277e-12
2023-03-06,-2.1394011895369216e-12
2023-03-07,0.0
2023-03-08,2.709630929403576e-12
2023-03-09,2.7096309294035777e-12
2023-03-10,2.709630929403574e-12
2023-03-11,-6.849065152130884e-13
2023-03-12,-9.5372796782773e-12
2023-03-13,0.0
2023-03-14,8.171424458543033e-13
2023-03-15,1.329973515610686e-12
2023-03-16,2.7096309294035757e-12
2023-03-17,0.0
2023-03-18,0.0
2023-03-19,1.806420619602384e-12
2023-03-20,6.2445314548259715e-12
2023-03-21,3.612841239204768e-12
2023-03-22,0.0
2023-03-23,0.0
2023-03-24,-9.767711535605934e-12
2023-03-25,5.5196909286322494e-12
2023-03-26,4.782125020113219e-12
2023-03-27,5.0852164831533e-12
2023-03-28,2.7096309294035765e-12
2023-03-29,1.8064206196023842e-12
2023-03-30,0.0
2023-03-31,0.0
2023-04-01,0.0
2023-04-02,6.0254023992456496e-12
2023-04-03,2.248049213450713e-12
2023-04-04,-8.077935669463161e-28
2023-04-05,7.131337298456048e-13
2023-04-06,0.0
2023-04-07,0.0
2023-04-08,6.2527760746888824e-12
2023-04-09,0.0
2023-04-10,-7.649776217278113e-13
2023-04-11,6.480149750132114e-12
2023-04-12,0.0
2023-04-13,3.410605131648483e-13
2023-04-14,-8.077935669463161e-28
2023-04-15,-3.855433305940323e-12
2023-04-16,6.59383658785373e-12
2023-04-17,0.0
2023-04-18,2.5545205062398965e-12
2023-04-19,0.0
2023-04-20,0.0
2023-04-21,0.0
2023-04-22,0.0
2023-04-23,0.0
2023-04-24,3.410605131648481e-13
2023-04-25,-2.141769783748686e-12
2023-04-26,0.0
2023-04-27,9.348008234154122e-12
2023-04-28,2.7027965643371756e-12
2023-04-29,0.0
2023-04-30,-4.0660211197960055e-12
2023-05-01,1.3756107364315538e-11
2023-05-02,3.4106051316484817e-12
2023-05-03,-2.883945171561891e-12
2023-05-04,-1.023181539494545e-12
2023-05-05,-2.1600499167107013e-12
2023-05-06,-3.9068083879035356e-12
2023-05-07,2.2737367544323085e-13
2023-05-08,0.0
2023-05-09,0.0
2023-05-10,-7.036846496601682e-13
2023-05-11,0.0
2023-05-12,-3.5746495541327455e-12
2023-05-13,0.0
2023-05-14,5.027908400732714e-12
2023-05-15,-2.8490376280333274e-12
2023-05-16,0.0
2023-05-17,0.0
2023-05-18,-3.1811964618041183e-12
2023-05-19,0.0
2023-05-20,3.5924529129208622e-12
2023-05-21,-3.5924529129208586e-12
2023-05-22,-1.3642420526593924e-12
2023-05-23,9.094947017729274e-13
2023-05-24,0.0
2023-05-25,0.0
2023-05-26,0.0
2023-05-27,5.946082026698188e-12
2023-05-28,0.0
2023-05-29,-6.640949123400692e-13
2023-05-30,0.0
2023-05-31,0.0
2023-06-01,-2.3507993773771407e-12
2023-06-02,0.0
2023-06-03,3.637915031680072e-12
2023-06-04,-7.056968246113272e-13
2023-06-05,6.821210263296951e-13
2023-06-06,4.733043012099492e-12
2023-06-07,-2.3491371236166134e-11
2023-06-08,1.7705620519970342e-12
2023-06-09,0.0
2023-06-10,-3.2311742677852644e-27
2023-06-11,-7.2363943044085e-13
2023-06-12,-1.3742791978325275e-13
2023-06-13,-6.821210263296962e-13
2023-06-14,4.252956387071211e-12
2023-06-15,0.0
2023-06-16,0.0
2023-06-17,0.0
2023-06-18,-2.206593308082116e-12
2023-06-19,2.0463630789890853e-12
2023-06-20,4.547473508864674e-13
2023-06-21,0.0
2023-06-22,0.0
2023-06-23,3.904006007270497e-14
2023-06-24,0.0
2023-06-25,-3.570835360741515e-12
2023-06-26,-6.821210263296929e-13
2023-06-27,4.9704283355661056e-12
2023-06-28,3.2918308079240407e-12
2023-06-29,0.0
2023-06-30,6.321677242324883e-12
2023-07-01,0.0
2023-07-02,0.0
2023-07-03,0.0
2023-07-04,0.0
2023-07-05,0.0
2023-07-06,0.0
2023-07-07,0.0
2023-07-08,0.0
2023-07-09,0.0
2023-07-10,0.0
2023-07-11,0.0
2023-07-12,0.0
2023-07-13,0.0
2023-07-14,0.0
2023-07-15,-1.2804566941906004e-12
2023-07-16,0.0
2023-07-17,0.0
2023-07-18,0.0
2023-07-19,0.0
2023-07-20,-7.423959955307034e-13
2023-07-21,0.0
2023-07-22,0.0
2023-07-23,-7.377245481161725e-13
2023-07-24,-1.4754490962323547e-12
2023-07-25,-1.4416367211103637e-12
2023-07-26,0.0
2023-07-27,-7.39807568707125e-13
2023-07-28,-2.216348853837566e-12
2023-07-29,0.0
2023-07-30,-7.398075687071121e-13
2023-07-31,0.0
2023-08-01,0.0
2023-08-02,0.0
2023-08-03,-7.398075687071315e-13
2023-08-04,-7.398075687071185e-13
2023-08-05,-7.39807568707125e-13
2023-08-06,0.0
2023-08-07,0.0
2023-08-08,0.0
2023-08-09,0.0
2023-08-10,-7.39807568707125e-13
2023-08-11,0.0
2023-08-12,0.0
2023-08-13,0.0
2023-08-14,0.0
2023-08-15,0.0
2023-08-16,0.0
2023-08-17,0.0
2023-08-18,0.0
2023-08-19,0.0
2023-08-20,0.0
2023-08-21,-7.39807568707125e-13
2023-08-22,-7.39807568707125e-13
2023-08-23,-6.987553001194148e-13
2023-08-24,0.0
2023-08-25,0.0
2023-08-26,0.0
2023-08-27,0.0
2023-08-28,0.0
2023-08-29,0.0
2023-08-30,0.0
2023-08-31,0.0
2023-09-01,0.0
2023-09-02,0.0
2023-09-03,0.0
2023-09-04,0.0
2023-09-05,0.0
2023-09-06,0.0
2023-09-07,0.0
2023-09-08,0.0
2023-09-09,0.0
2023-09-10,0.0
2023-09-11,0.0
2023-09-12,0.0
2023-09-13,0.0
2023-09-14,0.0
2023-09-15,-7.407984003999201e-13
2023-09-16,0.0
2023-09-17,0.0
2023-09-18,0.0
2023-09-19,-7.398075687071315e-13
2023-09-20,-7.398075687071315e-13
2023-09-21,0.0
2023-09-22,0.0
2023-09-23,0.0
2023-09-24,0.0
2023-09-25,-7.398075687071315e-13
2023-09-26,0.0
2023-09-27,0.0
2023-09-28,0.0
2023-09-29,0.0
2023-09-30,0.0
2023-10-01,0.0
2023-10-02,0.0
2023-10-03,0.0
2023-10-04,0.0
2023-10-05,-5.47699454252665e-12
2023-10-06,4.397373689185213e-11
2023-10-07,-1.229540913526959e-12
2023-10-08,9.836327308215668e-14
2023-10-09,-2.6396464531426594e-12
2023-10-10,0.0
2023-10-11,4.327984015614902e-12
2023-10-12,-1.446099412660839e-12
2023-10-13,0.0
2023-10-14,-1.4484857950918887e-11
2023-10-15,3.209373745943293e-12
2023-10-16,-2.387376874910724e-13
2023-10-17,2.7096309294035794e-12
2023-10-18,4.269654796248802e-12
2023-10-19,-1.7843411095374642e-12
2023-10-20,2.709630929403576e-12
2023-10-21,0.0
2023-10-22,6.795387378521606e-12
2023-10-23,-8.14169709615653e-12
2023-10-24,-1.0570744280443552e-13
2023-10-25,0.0
2023-10-26,2.3984338992005406e-12
2023-10-27,9.588186674131302e-12
2023-10-28,0.0
2023-10-29,5.276142788340298e-12
2023-10-30,-7.812544976062806e-12
2023-10-31,0.0
2023-11-01,1.8064206196023844e-12
2023-11-02,0.0
2023-11-03,-1.8064206196023844e-12
2023-11-04,0.0
2023-11-05,-1.3926637620897964e-12
2023-11-06,0.0
2023-11-07,4.516051549005961e-12
2023-11-08,4.51605154900596e-12
2023-11-09,0.0
2023-11-10,-1.1084466677857563e-12
2023-11-11,-7.923656430226164e-12
2023-11-12,0.0
2023-11-13,2.7096309294035757e-12
2023-11-14,0.0
2023-11-15,-2.709630929403576e-12
2023-11-16,-6.92779167366098e-13
2023-11-17,6.92779167366098e-13
2023-11-18,0.0
2023-11-19,0.0
2023-11-20,-4.083089131213216e-12
2023-11-21,0.0
2023-11-22,3.147624738629019e-12
2023-11-23,0.0
2023-11-24,0.0
2023-11-25,4.51605154900596e-12
2023-11-26,4.516051549005961e-12
2023-11-27,0.0
2023-11-28,9.032103098011921e-13
2023-11-29,-1.9218554250518813e-11
2023-11-30,1.7170265209642818e-11
2023-12-01,-6.98381405713592e-12
2023-12-02,-8.661271952979234e-14
2023-12-03,8.661271952979214e-14
2023-12-04,1.0097419586828951e-28
2023-12-05,-3.916195400539201e-13
2023-12-06,-5.115907697472721e-13
2023-12-07,0.0
2023-12-08,0.0
2023-12-09,0.0
2023-12-10,0.0
2023-12-11,0.0
2023-12-12,1.8064206196023842e-12
2023-12-13,-2.256608578789912e-12
2023-12-14,1.4758135576150934e-12
2023-12-15,0.0
2023-12-16,0.0
2023-12-17,0.0
2023-12-18,0.0
2023-12-19,3.456564539616319e-12
2023-12-20,-2.4782455821309126e-12
2023-12-21,2.9835815742215724e-13
2023-12-22,0.0
2023-12-23,1.8064206196023844e-12
2023-12-24,-9.427583763868148e-12
2023-12-25,0.0
2023-12-26,9.032103098011935e-13
2023-12-27,1.806420619602384e-12
2023-12-28,0.0
2023-12-29,1.4537704373651647e-11
2023-12-30,-1.8924440512255668e-11
2023-12-31,0.0
