snapshot,backstop
2023-01-01,37643.830920726585
2023-01-08,311301.2475936245
2023-01-15,108441.80958940955
2023-01-22,96603.23920112438
2023-01-29,109528.91375790651
2023-02-05,16168.89394914794
2023-02-12,14066.01501645172
2023-02-19,15309.109166117345
2023-02-26,33736.12969413315
2023-03-05,0.0
2023-03-12,0.0
2023-03-19,19837.07508208035
2023-03-26,2463.153475619903
2023-04-02,13900.960034865111
2023-04-09,0.0
2023-04-16,0.0
2023-04-23,0.0
2023-04-30,0.0
2023-05-07,0.0
2023-05-14,0.0
2023-05-21,0.0
2023-05-28,0.0
2023-06-04,0.0
2023-06-11,0.0
2023-06-18,0.0
2023-06-25,0.0
2023-07-02,0.0
2023-07-09,0.0
2023-07-16,0.0
2023-07-23,0.0
2023-07-30,0.0
2023-08-06,0.0
2023-08-13,0.0
2023-08-20,0.0
2023-08-27,0.0
2023-09-03,0.0
2023-09-10,0.0
2023-09-17,0.0
2023-09-24,0.0
2023-10-01,0.0
2023-10-08,0.0
2023-10-15,0.0
2023-10-22,5186.0976699
2023-10-29,121155.40468957816
2023-11-05,64628.639719751125
2023-11-12,95683.27146069033
2023-11-19,73983.293566658
2023-11-26,118654.56834861677
2023-12-03,95837.79428674906
2023-12-10,256408.30803093474
2023-12-17,236725.84955280824
2023-12-24,157693.92331272733
2023-12-31,176042.36491904428
