snapshot,h2
2023-01-01,57886.87183853459
2023-01-08,100572.7973787932
2023-01-15,-176514.05783793298
2023-01-22,144956.349856232
2023-01-29,-6714.556939714144
2023-02-05,-13442.761766610247
2023-02-12,-111111.98921445888
2023-02-19,-17409.71450025597
2023-02-26,-75869.18307080747
2023-03-05,148904.20597536545
2023-03-12,87098.78299274789
2023-03-19,8425.49635909759
2023-03-26,-76296.07318139182
2023-04-02,-67681.36446755385
2023-04-09,175843.1154436934
2023-04-16,-10552.066356493853
2023-04-23,-35204.046086179995
2023-04-30,-892.5312787345069
2023-05-07,-39303.10996845687
2023-05-14,-79310.76812724085
2023-05-21,28629.948054878656
2023-05-28,17758.86724094341
2023-06-04,-22672.492225142145
2023-06-11,32822.174674366885
2023-06-18,53624.24951533722
2023-06-25,102.87415836660966
2023-07-02,47468.037674213745
2023-07-09,3570.35368100149
2023-07-16,-16368.24791685906
2023-07-23,-61709.77237282454
2023-07-30,-40618.784691341614
2023-08-06,44359.6529394594
2023-08-13,-147870.32852960547
2023-08-20,6750.898103765692
2023-08-27,-32797.09102214148
2023-09-03,135327.01299409717
2023-09-10,59220.36670052838
2023-09-17,61645.925084437724
2023-09-24,-2039.1057388533306
2023-10-01,-9247.020040418254
2023-10-08,-60730.02327285213
2023-10-15,-66064.87545317282
2023-10-22,-120400.2283860782
2023-10-29,-18855.843864331306
2023-11-05,-6925.860476965159
2023-11-12,275030.11481112277
2023-11-19,-23641.204732878912
2023-11-26,-34783.505126660224
2023-12-03,67865.44204787131
2023-12-10,-70185.01532251807
2023-12-17,67046.10359627637
2023-12-24,-126566.8065772212
2023-12-31,-53131.21257543501
