snapshot,h2
2023-01-01,0.0
2023-01-02,0.0
2023-01-03,7.684630709543504e-16
2023-01-04,9.860761315262648e-32
2023-01-05,-7.684630709543506e-16
2023-01-06,0.0
2023-01-07,0.0
2023-01-08,0.0
2023-01-09,0.0
2023-01-10,0.0
2023-01-11,0.0
2023-01-12,0.0
2023-01-13,0.0
2023-01-14,0.0
2023-01-15,0.0
2023-01-16,9.744044582881073e-16
2023-01-17,-9.744044582881075e-16
2023-01-18,0.0
2023-01-19,0.0
2023-01-20,0.0
2023-01-21,2.4806164693831852e-15
2023-01-22,0.0
2023-01-23,0.0
2023-01-24,1.5541396544835684e-15
2023-01-25,0.0
2023-01-26,4.134360782305308e-15
2023-01-27,6.6149772516884934e-15
2023-01-28,4.961232938766369e-15
2023-01-29,0.0
2023-01-30,0.0
2023-01-31,1.6537443129221208e-15
2023-02-01,-4.1102254539474313e-14
2023-02-02,2.4806164693831856e-15
2023-02-03,0.0
2023-02-04,2.4806164693831856e-15
2023-02-05,0.0
2023-02-06,2.480616469383186e-15
2023-02-07,0.0
2023-02-08,0.0
2023-02-09,1.9603578471486704e-14
2023-02-10,6.6149772516884934e-15
2023-02-11,6.614977251688492e-15
2023-02-12,6.61497725168849e-15
2023-02-13,6.6149772516884934e-15
2023-02-14,-5.527157302287612e-14
2023-02-15,2.4584687256322605e-14
2023-02-16,2.1042234616784454e-15
2023-02-17,0.0
2023-02-18,-2.9241715863037816e-14
2023-02-19,4.961232938766366e-15
2023-02-20,5.788105095227431e-15
2023-02-21,1.3531144890277648e-14
2023-02-22,4.9612329387663705e-15
2023-02-23,0.0
2023-02-24,0.0
2023-02-25,-4.10583896530416e-15
2023-02-26,6.3229318241549154e-15
2023-02-27,4.18585576476588e-15
2023-02-28,5.228646303230122e-15
2023-03-01,1.8842984259525334e-14
2023-03-02,5.244943071191996e-15
2023-03-03,-2.3629688495645902e-15
2023-03-04,5.654398412995557e-15
2023-03-05,5.654398412995548e-15
2023-03-06,4.961232938766378e-15
2023-03-07,4.2575210976544393e-16
2023-03-08,4.8275262565345e-15
2023-03-09,5.78810509522743e-15
2023-03-10,5.788105095227444e-15
2023-03-11,5.788105095227434e-15
2023-03-12,4.9612329387663594e-15
2023-03-13,0.0
2023-03-14,4.134360782305316e-15
2023-03-15,6.43974999516837e-15
2023-03-16,4.9612329387663776e-15
2023-03-17,0.0
2023-03-18,0.0
2023-03-19,0.0
2023-03-20,0.0
2023-03-21,2.480616469383185e-15
2023-03-22,3.944304526105059e-31
2023-03-23,2.892830671832563e-15
2023-03-24,0.0
2023-03-25,0.0
2023-03-26,0.0
2023-03-27,0.0
2023-03-28,0.0
2023-03-29,0.0
2023-03-30,0.0
2023-03-31,0.0
2023-04-01,0.0
2023-04-02,0.0
2023-04-03,0.0
2023-04-04,0.0
2023-04-05,0.0
2023-04-06,0.0
2023-04-07,0.0
2023-04-08,0.0
2023-04-09,0.0
2023-04-10,0.0
2023-04-11,0.0
2023-04-12,0.0
2023-04-13,0.0
2023-04-14,0.0
2023-04-15,0.0
2023-04-16,0.0
2023-04-17,0.0
2023-04-18,0.0
2023-04-19,0.0
2023-04-20,0.0
2023-04-21,0.0
2023-04-22,0.0
2023-04-23,0.0
2023-04-24,0.0
2023-04-25,0.0
2023-04-26,1.152694606431901e-15
2023-04-27,0.0
2023-04-28,-1.9721522630525295e-31
2023-04-29,-1.9721522630525295e-31
2023-04-30,7.68463070954691e-16
2023-05-01,-3.944304526105059e-31
2023-05-02,0.0
2023-05-03,-7.888609052210118e-31
2023-05-04,7.684630709547206e-16
2023-05-05,9.60578838693308e-16
2023-05-06,1.1526946064318955e-15
2023-05-07,0.0
2023-05-08,9.605788386933037e-16
2023-05-09,1.7290419096480093e-15
2023-05-10,1.5369261419093187e-15
2023-05-11,-7.888609052210118e-30
2023-05-12,0.0
2023-05-13,5.76347303216128e-16
2023-05-14,1.1526946064318947e-15
2023-05-15,-1.5777218104420236e-30
2023-05-16,-3.1554436208840472e-30
2023-05-17,7.684630709546875e-16
2023-05-18,9.466330862652142e-30
2023-05-19,4.733165431326071e-30
2023-05-20,1.5777218104420236e-30
2023-05-21,3.1554436208840472e-30
2023-05-22,0.0
2023-05-23,1.5777218104420236e-30
2023-05-24,1.1526946064318713e-15
2023-05-25,1.3448103741704463e-15
2023-05-26,7.684630709547237e-16
2023-05-27,1.262177448353619e-29
2023-05-28,6.310887241768095e-30
2023-05-29,1.3448103741704778e-15
2023-05-30,1.9211576773865573e-15
2023-05-31,0.0
2023-06-01,1.3448103741706703e-15
2023-06-02,1.7290419096476283e-15
2023-06-03,2.497504980602374e-15
2023-06-04,1.3448103741704968e-15
2023-06-05,9.6057883869328e-16
2023-06-06,1.1526946064315965e-15
2023-06-07,1.1526946064318679e-15
2023-06-08,5.76347303216098e-16
2023-06-09,9.60578838693318e-16
2023-06-10,1.5369261419094727e-15
2023-06-11,2.3053892128637295e-15
2023-06-12,9.605788386932296e-16
2023-06-13,-3.155443620884047e-29
2023-06-14,5.763473032161675e-16
2023-06-15,3.265968051557224e-15
2023-06-16,-6.310887241768095e-30
2023-06-17,1.1526946064320572e-15
2023-06-18,-6.310887241768095e-30
2023-06-19,-1.262177448353619e-29
2023-06-20,7.684630709547048e-16
2023-06-21,-6.310887241768095e-30
2023-06-22,6.310887241768095e-30
2023-06-23,0.0
2023-06-24,0.0
2023-06-25,-1.262177448353619e-29
2023-06-26,-6.310887241768095e-30
2023-06-27,-1.8932661725304283e-29
2023-06-28,-2.524354896707238e-29
2023-06-29,9.6057883869328e-16
2023-06-30,1.1526946064318434e-15
2023-07-01,2.6896207483413343e-15
2023-07-02,2.8817365160791736e-15
2023-07-03,7.68463070954749e-16
2023-07-04,1.3448103741704557e-15
2023-07-05,-2.524354896707238e-29
2023-07-06,2.8817365160794994e-15
2023-07-07,5.76347303216098e-16
2023-07-08,-6.310887241768095e-30
2023-07-09,-1.262177448353619e-29
2023-07-10,1.152694606431912e-15
2023-07-11,2.1132734451251424e-15
2023-07-12,0.0
2023-07-13,7.684630709547427e-16
2023-07-14,2.4975049806024183e-15
2023-07-15,1.5369261419090456e-15
2023-07-16,-1.262177448353619e-29
2023-07-17,7.684630709547174e-16
2023-07-18,-1.262177448353619e-29
2023-07-19,5.763473032157699e-16
2023-07-20,2.1132734451248135e-15
2023-07-21,1.5369261419090184e-15
2023-07-22,1.262177448353619e-29
2023-07-23,7.684630709546417e-16
2023-07-24,2.524354896707238e-29
2023-07-25,0.0
2023-07-26,6.310887241768094e-29
2023-07-27,1.3448103741703485e-15
2023-07-28,1.7290419096475115e-15
2023-07-29,2.524354896707238e-29
2023-07-30,-1.262177448353619e-29
2023-07-31,0.0
2023-08-01,1.262177448353619e-29
2023-08-02,0.0
2023-08-03,0.0
2023-08-04,0.0
2023-08-05,2.3053892128630416e-15
2023-08-06,0.0
2023-08-07,0.0
2023-08-08,0.0
2023-08-09,0.0
2023-08-10,0.0
2023-08-11,0.0
2023-08-12,0.0
2023-08-13,0.0
2023-08-14,0.0
2023-08-15,0.0
2023-08-16,0.0
2023-08-17,0.0
2023-08-18,0.0
2023-08-19,0.0
2023-08-20,0.0
2023-08-21,1.1526946064315271e-15
2023-08-22,1.1526946064315397e-15
2023-08-23,0.0
2023-08-24,0.0
2023-08-25,0.0
2023-08-26,0.0
2023-08-27,9.60578838692933e-16
2023-08-28,0.0
2023-08-29,0.0
2023-08-30,0.0
2023-08-31,0.0
2023-09-01,0.0
2023-09-02,9.605788386930213e-16
2023-09-03,0.0
2023-09-04,1.905788415966784e-13
2023-09-05,9.605788386929456e-16
2023-09-06,0.0
2023-09-07,0.0
2023-09-08,0.0
2023-09-09,0.0
2023-09-10,0.0
2023-09-11,0.0
2023-09-12,9.605788386929456e-16
2023-09-13,0.0
2023-09-14,0.0
2023-09-15,0.0
2023-09-16,0.0
2023-09-17,0.0
2023-09-18,0.0
2023-09-19,0.0
2023-09-20,1.3448103741701339e-15
2023-09-21,0.0
2023-09-22,0.0
2023-09-23,1.3400974775409741e-15
2023-09-24,0.0
2023-09-25,1.3448103741700834e-15
2023-09-26,8.268721564610465e-16
2023-09-27,1.6537443129221182e-15
2023-09-28,1.135806095212743e-15
2023-09-29,-1.3616988853895768e-15
2023-09-30,2.5390255548899154e-15
2023-10-01,2.597434640396393e-15
2023-10-02,8.268721564610717e-16
2023-10-03,0.0
2023-10-04,-3.25822449970367e-16
2023-10-05,2.480616469383205e-15
2023-10-06,0.0
2023-10-07,2.480616469383205e-15
2023-10-08,2.4806164693831446e-15
2023-10-09,2.212572930752086e-15
2023-10-10,3.50454513039797e-16
2023-10-11,1.0020994129804654e-15
2023-10-12,2.48061646938317e-15
2023-10-13,6.931654742291474e-16
2023-10-14,9.26801816255322e-16
2023-10-15,1.060508498487524e-15
2023-10-16,1.5784467161966417e-15
2023-10-17,-1.646200376519987e-13
2023-10-18,4.841611952718071e-16
2023-10-19,2.1547940194123484e-15
2023-10-20,1.9042691661670186e-15
2023-10-21,0.0
2023-10-22,0.0
2023-10-23,0.0
2023-10-24,0.0
2023-10-25,0.0
2023-10-26,0.0
2023-10-27,0.0
2023-10-28,0.0
2023-10-29,0.0
2023-10-30,0.0
2023-10-31,0.0
2023-11-01,2.48061646938319e-15
2023-11-02,0.0
2023-11-03,0.0
2023-11-04,-7.968602623288872e-14
2023-11-05,0.0
2023-11-06,0.0
2023-11-07,1.6018338023244117e-16
2023-11-08,0.0
2023-11-09,0.0
2023-11-10,0.0
2023-11-11,-9.16293264858748e-16
2023-11-12,9.951777166339382e-16
2023-11-13,0.0
2023-11-14,1.7904142619795635e-15
2023-11-15,-2.2345034718296253e-15
2023-11-16,0.0
2023-11-17,0.0
2023-11-18,1.1955976804927485e-15
2023-11-19,0.0
2023-11-20,-1.4950742928884693e-15
2023-11-21,0.0
2023-11-22,0.0
2023-11-23,1.6537443129221232e-15
2023-11-24,1.6537443129221228e-15
2023-11-25,1.653744312922124e-15
2023-11-26,0.0
2023-11-27,-4.96123293876637e-15
2023-11-28,1.6018338023244206e-16
2023-11-29,8.268721564610616e-16
2023-11-30,-8.268721564610616e-16
2023-12-01,0.0
2023-12-02,0.0
2023-12-03,0.0
2023-12-04,8.268721564610616e-16
2023-12-05,-8.268721564610617e-16
2023-12-06,0.0
2023-12-07,0.0
2023-12-08,0.0
2023-12-09,0.0
2023-12-10,0.0
2023-12-11,0.0
2023-12-12,0.0
2023-12-13,0.0
2023-12-14,0.0
2023-12-15,0.0
2023-12-16,0.0
2023-12-17,0.0
2023-12-18,0.0
2023-12-19,8.268721564610616e-16
2023-12-20,-8.268721564610617e-16
2023-12-21,0.0
2023-12-22,0.0
2023-12-23,0.0
2023-12-24,0.0
2023-12-25,0.0
2023-12-26,0.0
2023-12-27,8.268721564610616e-16
2023-12-28,-8.268721564610616e-16
2023-12-29,0.0
2023-12-30,0.0
2023-12-31,0.0
